geo,time,boende_efter_bostadstyp_flerbostadshus_hyresratt
8021,2014,160
8021,2015,165
8021,2016,202
8021,2017,207
8022,2000,1189
8022,2001,1189
8022,2002,1207
8022,2003,1207
8022,2004,1215
8022,2005,1215
8022,2006,1174
8022,2007,1186
8022,2008,1178
8022,2009,1268
8022,2010,1284
8022,2011,1268
8022,2012,1231
8022,2013,1241
8022,2014,1284
8022,2015,1372
8022,2016,1389
8022,2017,1460
8023,2000,129
8023,2001,129
8023,2002,129
8023,2003,129
8023,2004,140
8023,2005,140
8023,2006,141
8023,2007,122
8023,2008,130
8023,2009,127
8023,2010,183
8023,2011,199
8023,2012,183
8023,2013,225
8023,2014,193
8023,2015,253
8023,2016,295
8023,2017,289
8024,2000,1534
8024,2001,1534
8024,2002,1684
8024,2003,1684
8024,2004,1791
8024,2005,1791
8024,2006,2095
8024,2007,2221
8024,2008,2291
8024,2009,2331
8024,2010,2422
8024,2011,2505
8024,2012,2238
8024,2013,2328
8024,2014,2383
8024,2015,2463
8024,2016,2610
8024,2017,2630
8025,2000,17
8025,2001,17
8025,2002,17
8025,2003,17
8025,2004,17
8025,2005,17
8025,2006,16
8025,2007,10
8025,2008,11
8025,2009,15
8025,2010,15
8025,2011,18
8025,2012,19
8025,2013,22
8025,2014,33
8025,2015,34
8025,2016,58
8025,2017,49
8026,2000,16
8026,2001,16
8026,2002,20
8026,2003,20
8026,2004,23
8026,2005,23
8026,2006,22
8026,2007,14
8026,2008,19
8026,2009,17
8026,2010,15
8026,2011,17
8026,2012,17
8026,2013,21
8026,2014,18
8026,2015,27
8026,2016,34
8026,2017,22
8037,2000,0
8037,2001,0
8037,2002,0
8037,2003,0
8037,2004,0
8037,2005,0
8037,2006,0
8037,2007,0
8037,2008,0
8037,2009,0
8037,2010,0
8037,2011,0
8037,2012,0
8037,2013,0
8037,2014,0
8037,2015,0
8037,2016,0
8037,2017,0
8038,2000,0
8038,2001,0
8038,2002,0
8038,2003,0
8038,2004,0
8038,2005,0
8038,2006,0
8038,2007,0
8038,2008,0
8038,2009,0
8038,2010,0
8038,2011,0
8038,2012,0
8038,2013,0
8038,2014,0
8038,2015,0
8038,2016,0
8038,2017,0
8039,2000,154
8039,2001,154
8039,2002,147
8039,2003,147
8039,2004,149
8039,2005,149
8039,2006,151
8039,2007,149
8039,2008,141
8039,2009,134
8039,2010,146
8039,2011,146
8039,2012,144
8039,2013,135
8039,2014,142
8039,2015,169
8039,2016,167
8039,2017,162
8041,2000,26
8041,2001,26
8041,2002,8
8041,2003,8
8041,2004,38
8041,2005,38
8041,2006,39
8041,2007,38
8041,2008,43
8041,2009,44
8041,2010,39
8041,2011,46
8041,2012,42
8041,2013,41
8041,2014,96
8041,2015,154
8041,2016,158
8041,2017,157
8042,2000,129
