geo,time,forvarvsfrekvens_kvinnor
8006,2005,"76,2"
8006,2006,"80,5"
8006,2007,"80,9"
8006,2008,"78,7"
8006,2009,"76,1"
8006,2010,"78,2"
8006,2011,"77,7"
8006,2012,"80,2"
8006,2013,"75,3"
8006,2014,"79,6"
8006,2015,"84,6"
8006,2016,"85,8"
8007,2000,"74,4"
8007,2001,"74,4"
8007,2002,"75,6"
8007,2003,"75,3"
8007,2004,77
8007,2005,"76,3"
8007,2006,"76,1"
8007,2007,"77,6"
8007,2008,"74,9"
8007,2009,69
8007,2010,"74,1"
8007,2011,"71,7"
8007,2012,"74,2"
8007,2013,"76,1"
8007,2014,"77,6"
8007,2015,"79,8"
8007,2016,"79,2"
8008,2000,"73,8"
8008,2001,"73,8"
8008,2002,"74,9"
8008,2003,"70,8"
8008,2004,73
8008,2005,"74,3"
8008,2006,79
8008,2007,"80,4"
8008,2008,"77,8"
8008,2009,"75,9"
8008,2010,"77,4"
8008,2011,"78,5"
8008,2012,"79,1"
8008,2013,"80,5"
8008,2014,"78,1"
8008,2015,"82,5"
8008,2016,81
8009,2000,"74,9"
8009,2001,"74,9"
8009,2002,"77,9"
8009,2003,"76,1"
8009,2004,"75,7"
8009,2005,"77,2"
8009,2006,"79,4"
8009,2007,"79,1"
8009,2008,78
8009,2009,"76,2"
8009,2010,"79,6"
8009,2011,"78,9"
8009,2012,"79,6"
8009,2013,"81,6"
8009,2014,"80,7"
8009,2015,"76,7"
8009,2016,"79,7"
8011,2000,"78,5"
8011,2001,"78,5"
8011,2002,79
8011,2003,"77,3"
8011,2004,"77,1"
8011,2005,"79,5"
8011,2006,"81,4"
8011,2007,"85,1"
8011,2008,"81,8"
8011,2009,"81,6"
8011,2010,"81,9"
8011,2011,"83,2"
8011,2012,"80,4"
8011,2013,"82,5"
8011,2014,"82,6"
8011,2015,"80,4"
8011,2016,"85,4"
8012,2000,"67,9"
8012,2001,"67,9"
8012,2002,"68,5"
8012,2003,"70,4"
8012,2004,"72,2"
8012,2005,"71,7"
8012,2006,"73,1"
8012,2007,"73,1"
8012,2008,"65,5"
8012,2009,"65,5"
8012,2010,"67,1"
8012,2011,"66,5"
8012,2012,"70,7"
8012,2013,"70,3"
8012,2014,"70,2"
8012,2015,"68,8"
8012,2016,"71,4"
8013,2000,"40,9"
8013,2001,"40,9"
8013,2002,"44,2"
8013,2003,"38,3"
8013,2004,43
8013,2005,"40,7"
8013,2006,"42,6"
8013,2007,"48,5"
8013,2008,"34,4"
8013,2009,"30,9"
8013,2010,33
8013,2011,"31,9"
8013,2012,"33,3"
8013,2013,"38,2"
8013,2014,"32,1"
8013,2015,"40,5"
8013,2016,"45,9"
8014,2000,"58,1"
8014,2001,"58,1"
8014,2002,"56,8"
8014,2003,"58,4"
8014,2004,"59,6"
8014,2005,"59,4"
8014,2006,"62,8"
8014,2007,"59,9"
8014,2008,"52,2"
8014,2009,"46,5"
8014,2010,46
8014,2011,"42,1"
8014,2012,"44,5"
8014,2013,"46,9"
8014,2014,"47,7"
8014,2015,"49,6"
8014,2016,"54,5"
8015,2000,"83,9"
8015,2001,"83,9"
8015,2002,"87,6"
8015,2003,"81,2"
8015,2004,85
8015,2005,"85,1"
8015,2006,"86,1"
8015,2007,91
8015,2008,91
8015,2009,"85,2"
8015,2010,"81,5"
8015,2011,"84,8"
8015,2012,"84,5"
8015,2013,"84,4"
8015,2014,88
8015,2015,"91,5"
8015,2016,"89,7"
8016,2000,"90,5"
8016,2001,"90,5"
8016,2002,"87,3"
8016,2003,"87,3"
8016,2004,"86,3"
8016,2005,"85,3"
8016,2006,"87,6"
8016,2007,"90,3"
8016,2008,"89,9"
8016,2009,"89,7"
8016,2010,"85,1"
8016,2011,"85,8"
8016,2012,"87,4"
8016,2013,"86,5"
8016,2014,"89,2"
8016,2015,"91,1"
8016,2016,"91,4"
8017,2000,"59,5"
8017,2001,"59,5"
8017,2002,"57,6"
8017,2003,"51,9"
8017,2004,"55,3"
8017,2005,"54,5"
8017,2006,"62,7"
8017,2007,"50,3"
8017,2008,"57,1"
8017,2009,"52,6"
8017,2010,"60,4"
8017,2011,"53,7"
8017,2012,"55,3"
8017,2013,"49,7"
8017,2014,"51,9"
8017,2015,53
8017,2016,"50,9"
8018,2000,"84,5"
8018,2001,"84,5"
8018,2002,"85,5"
8018,2003,"84,6"
8018,2004,"83,8"
8018,2005,"85,7"
8018,2006,"89,7"
8018,2007,"86,1"
8018,2008,"85,1"
8018,2009,"86,6"
8018,2010,"84,8"
8018,2011,"86,2"
8018,2012,"88,5"
8018,2013,"85,8"
8018,2014,"87,3"
8018,2015,"87,9"
8018,2016,"86,8"
8019,2000,"83,7"
8019,2001,"83,7"
8019,2002,"88,9"
8019,2003,"88,1"
8019,2004,"84,8"
8019,2005,"82,2"
8019,2006,"83,9"
8019,2007,"84,1"
8019,2008,"86,4"
8019,2009,"85,3"
8019,2010,"88,3"
8019,2011,"86,7"
8019,2012,"90,8"
8019,2013,"83,2"
8019,2014,"90,1"
8019,2015,"91,6"
8019,2016,"91,4"
8021,2000,"71,1"
8021,2001,"71,1"
8021,2002,"74,4"
8021,2003,"77,1"
8021,2004,"75,6"
8021,2005,"77,8"
8021,2006,72
8021,2007,78
8021,2008,"76,3"
8021,2009,"73,7"
8021,2010,"70,1"
8021,2011,"73,6"
8021,2012,"72,6"
8021,2013,"81,3"
8021,2014,"76,9"
8021,2015,"77,3"
8021,2016,"67,5"
8022,2000,"45,3"
8022,2001,"45,3"
8022,2002,"49,3"
8022,2003,"42,9"
8022,2004,"41,7"
8022,2005,"43,5"
8022,2006,"41,1"
8022,2007,"42,6"
8022,2008,"42,8"
8022,2009,"33,5"
8022,2010,"32,9"
8022,2011,"35,7"
8022,2012,"34,2"
8022,2013,"35,2"
8022,2014,"35,7"
8022,2015,"34,6"
8022,2016,37
8023,2000,"58,8"
8023,2001,"58,8"
8023,2002,"46,3"
8023,2003,50
8023,2004,"59,3"
8023,2005,"57,4"
8023,2006,"67,7"
8023,2007,"65,7"
8023,2008,"73,1"
