geo,time,nettoflytt_utb
8022,2011,-15
8022,2012,-12
8022,2013,2
8022,2014,-1
8022,2015,-2
8022,2016,-14
8022,2017,--
8023,2000,-2
8023,2001,5
8023,2002,-4
8023,2003,2
8023,2004,4
8023,2005,11
8023,2006,-4
8023,2007,3
8023,2008,-3
8023,2009,-3
8023,2010,17
8023,2011,3
8023,2012,1
8023,2013,11
8023,2014,6
8023,2015,15
8023,2016,2
8023,2017,--
8024,2000,11
8024,2001,3
8024,2002,-9
8024,2003,29
8024,2004,13
8024,2005,-3
8024,2006,16
8024,2007,26
8024,2008,7
8024,2009,-31
8024,2010,18
8024,2011,-1
8024,2012,-28
8024,2013,-10
8024,2014,-8
8024,2015,-1
8024,2016,-14
8024,2017,--
8025,2000,1
8025,2001,3
8025,2002,4
8025,2003,-2
8025,2004,-1
8025,2005,1
8025,2006,2
8025,2007,4
8025,2008,5
8025,2009,1
8025,2010,5
8025,2011,3
8025,2012,6
8025,2013,-2
8025,2014,3
8025,2015,1
8025,2016,4
8025,2017,--
8026,2000,2
8026,2001,6
8026,2002,4
8026,2003,5
8026,2004,-1
8026,2005,1
8026,2006,-3
8026,2007,0
8026,2008,-5
8026,2009,6
8026,2010,3
8026,2011,-1
8026,2012,-2
8026,2013,-4
8026,2014,-5
8026,2015,2
8026,2016,2
8026,2017,--
8037,2000,8
8037,2001,-1
8037,2002,3
8037,2003,4
8037,2004,-1
8037,2005,1
8037,2006,3
8037,2007,-1
8037,2008,0
8037,2009,0
8037,2010,10
8037,2011,13
8037,2012,9
8037,2013,9
8037,2014,-2
8037,2015,7
8037,2016,3
8037,2017,--
8038,2000,4
8038,2001,-1
8038,2002,2
8038,2003,1
8038,2004,0
8038,2005,1
8038,2006,6
8038,2007,-4
8038,2008,0
8038,2009,4
8038,2010,2
8038,2011,4
8038,2012,-1
8038,2013,0
8038,2014,6
8038,2015,-3
8038,2016,3
8038,2017,--
8039,2000,-3
8039,2001,0
8039,2002,6
8039,2003,16
8039,2004,-1
8039,2005,7
8039,2006,6
8039,2007,23
8039,2008,21
8039,2009,14
8039,2010,8
8039,2011,10
8039,2012,-1
8039,2013,4
8039,2014,-4
8039,2015,10
8039,2016,-3
8039,2017,--
8041,2000,1
8041,2001,-1
8041,2002,-3
8041,2003,1
8041,2004,2
8041,2005,-1
8041,2006,3
8041,2007,0
8041,2008,-1
8041,2009,-1
8041,2010,0
8041,2011,1
8041,2012,1
8041,2013,0
8041,2014,7
8041,2015,12
8041,2016,2
8041,2017,--
8042,2000,-3
8042,2001,0
8042,2002,-1
8042,2003,-2
8042,2004,3
8042,2005,-1
8042,2006,4
8042,2007,3
8042,2008,-3
8042,2009,-1
8042,2010,2
8042,2011,-1
8042,2012,0
8042,2013,-4
8042,2014,2
8042,2015,5
8042,2016,-2
8042,2017,--
8043,2000,3
8043,2001,-2
8043,2002,4
8043,2003,-2
8043,2004,-3
8043,2005,4
8043,2006,2
8043,2007,3
8043,2008,-4
8043,2009,1
8043,2010,2
8043,2011,-2
8043,2012,-1
8043,2013,0
8043,2014,1
8043,2015,3
8043,2016,-1
8043,2017,--
8044,2000,-5
8044,2001,0
8044,2002,6
8044,2003,0
8044,2004,3
8044,2005,6
8044,2006,-1
8044,2007,-1
8044,2008,1
8044,2009,0
8044,2010,7
8044,2011,-2
8044,2012,3
8044,2013,-2
8044,2014,1
8044,2015,-2
8044,2016,1
8044,2017,--
8045,2000,-2
8045,2001,1
8045,2002,2
8045,2003,2
8045,2004,2
8045,2005,-1
8045,2006,0
8045,2007,4
8045,2008,-1
8045,2009,0
8045,2010,-2
8045,2011,4
8045,2012,0
8045,2013,-5
8045,2014,7
8045,2015,7
8045,2016,1
8045,2017,--
8057,2000,1
8057,2001,-1
8057,2002,3
8057,2003,5
8057,2004,6
8057,2005,0
8057,2006,0
8057,2007,5
8057,2008,0
8057,2009,5
8057,2010,0
8057,2011,1
8057,2012,-2
8057,2013,0
8057,2014,2
8057,2015,1
8057,2016,3
8057,2017,--
8061,2000,-2
8061,2001,-3
8061,2002,1
8061,2003,-4
8061,2004,1
8061,2005,1
8061,2006,-3
8061,2007,7
8061,2008,5
8061,2009,-3
8061,2010,-1
8061,2011,-2
8061,2012,-7
8061,2013,3
8061,2014,4
8061,2015,3
8061,2016,-2
8061,2017,--
8062,2000,-3
8062,2001,5
8062,2002,3
8062,2003,11
8062,2004,8
8062,2005,6
8062,2006,-2
8062,2007,1
8062,2008,1
8062,2009,8
8062,2010,2
8062,2011,6
8062,2012,-2
8062,2013,0
8062,2014,3
8062,2015,-3
8062,2016,1
8062,2017,--
8063,2000,0
8063,2001,0
