geo,time,befolkning_alder_45_64_ar
8001,2000,245
8001,2001,246
8001,2002,252
8001,2003,271
8001,2004,251
8001,2005,260
8001,2006,251
8001,2007,345
8001,2008,373
8001,2009,368
8001,2010,375
8001,2011,387
8001,2012,400
8001,2013,383
8001,2014,387
8001,2015,374
8001,2016,357
8001,2017,354
8002,2000,180
8002,2001,182
8002,2002,183
8002,2003,182
8002,2004,186
8002,2005,189
8002,2006,177
8002,2007,170
8002,2008,174
8002,2009,173
8002,2010,172
8002,2011,176
8002,2012,184
8002,2013,188
8002,2014,186
8002,2015,186
8002,2016,190
8002,2017,189
8003,2000,452
8003,2001,444
8003,2002,441
8003,2003,445
8003,2004,452
8003,2005,456
8003,2006,470
8003,2007,460
8003,2008,448
8003,2009,432
8003,2010,435
8003,2011,444
8003,2012,425
8003,2013,426
8003,2014,427
8003,2015,441
8003,2016,447
8003,2017,446
8004,2000,186
8004,2001,188
8004,2002,176
8004,2003,183
8004,2004,180
8004,2005,206
8004,2006,212
8004,2007,208
8004,2008,202
8004,2009,203
8004,2010,208
8004,2011,201
8004,2012,205
8004,2013,203
8004,2014,209
8004,2015,209
8004,2016,205
8004,2017,206
8005,2000,214
8005,2001,212
8005,2002,210
8005,2003,207
8005,2004,219
8005,2005,225
8005,2006,226
8005,2007,228
8005,2008,247
8005,2009,240
8005,2010,240
8005,2011,221
8005,2012,214
8005,2013,201
8005,2014,195
8005,2015,185
8005,2016,189
8005,2017,204
8006,2000,136
8006,2001,132
8006,2002,131
8006,2003,134
8006,2004,144
8006,2005,150
8006,2006,143
8006,2007,144
8006,2008,140
8006,2009,149
8006,2010,145
8006,2011,141
8006,2012,141
8006,2013,134
8006,2014,149
8006,2015,149
8006,2016,135
8006,2017,143
8007,2000,190
8007,2001,201
8007,2002,193
8007,2003,193
8007,2004,187
8007,2005,185
8007,2006,202
8007,2007,205
8007,2008,218
8007,2009,231
8007,2010,251
8007,2011,266
8007,2012,260
8007,2013,278
8007,2014,276
8007,2015,288
8007,2016,287
8007,2017,278
8008,2000,266
8008,2001,288
8008,2002,294
8008,2003,307
8008,2004,291
8008,2005,308
8008,2006,307
8008,2007,296
8008,2008,292
8008,2009,309
8008,2010,301
8008,2011,308
8008,2012,308
8008,2013,311
8008,2014,309
8008,2015,324
8008,2016,326
8008,2017,312
8009,2000,342
8009,2001,358
8009,2002,374
8009,2003,380
8009,2004,388
8009,2005,397
8009,2006,418
8009,2007,422
8009,2008,413
8009,2009,408
8009,2010,395
8009,2011,390
8009,2012,400
8009,2013,392
8009,2014,388
8009,2015,392
8009,2016,416
8009,2017,408
8011,2000,350
8011,2001,356
8011,2002,374
8011,2003,374
8011,2004,383
8011,2005,382
8011,2006,370
8011,2007,348
8011,2008,350
8011,2009,360
8011,2010,361
8011,2011,353
8011,2012,354
8011,2013,344
8011,2014,347
8011,2015,333
8011,2016,325
8011,2017,315
8012,2000,332
8012,2001,325
8012,2002,357
8012,2003,371
8012,2004,365
8012,2005,366
8012,2006,369
8012,2007,372
8012,2008,355
8012,2009,352
8012,2010,357
8012,2011,357
8012,2012,349
8012,2013,340
8012,2014,341
8012,2015,324
8012,2016,323
8012,2017,307
8013,2000,49
8013,2001,50
8013,2002,40
8013,2003,39
8013,2004,43
8013,2005,47
8013,2006,51
8013,2007,52
8013,2008,51
8013,2009,53
8013,2010,50
8013,2011,48
8013,2012,47
8013,2013,47
8013,2014,49
8013,2015,49
8013,2016,49
8013,2017,47
8014,2000,257
8014,2001,245
8014,2002,256
8014,2003,268
8014,2004,266
8014,2005,250
8014,2006,275
8014,2007,274
8014,2008,277
8014,2009,269
8014,2010,270
8014,2011,272
8014,2012,270
8014,2013,269
8014,2014,267
8014,2015,268
8014,2016,261
8014,2017,266
8015,2000,84
8015,2001,90
8015,2002,83
8015,2003,85
8015,2004,87
8015,2005,89
8015,2006,89
8015,2007,87
8015,2008,94
8015,2009,94
8015,2010,101
8015,2011,105
8015,2012,107
8015,2013,103
8015,2014,106
8015,2015,110
8015,2016,114
8015,2017,109
8016,2000,131
8016,2001,143
8016,2002,142
8016,2003,148
8016,2004,142
8016,2005,140
8016,2006,141
8016,2007,151
8016,2008,159
8016,2009,161
8016,2010,161
8016,2011,162
8016,2012,164
8016,2013,172
8016,2014,184
8016,2015,184
8016,2016,188
8016,2017,193
8017,2000,79
8017,2001,81
8017,2002,85
8017,2003,76
8017,2004,79
8017,2005,75
8017,2006,73
8017,2007,66
8017,2008,84
8017,2009,86
8017,2010,87
8017,2011,90
8017,2012,95
8017,2013,93
8017,2014,93
8017,2015,88
8017,2016,96
8017,2017,89
8018,2000,260
8018,2001,260
8018,2002,251
8018,2003,241
8018,2004,246
8018,2005,241
8018,2006,233
8018,2007,235
8018,2008,237
8018,2009,245
8018,2010,243
8018,2011,240
8018,2012,237
8018,2013,235
8018,2014,232
8018,2015,247
8018,2016,248
8018,2017,248
8019,2000,166
8019,2001,165
8019,2002,176
8019,2003,184
8019,2004,189
8019,2005,188
8019,2006,187
8019,2007,187
8019,2008,182
8019,2009,187
8019,2010,182
