kommun_13delar,is--kommun_13delar,name,name_long,name_short,shape_lores_svg
k800,TRUE,"Trossö, Saltö m.m.","Trossö, Saltö m.m.","Trossö, Saltö m.m.","""M429.088414.539L430.288415.739L433.168414.779L434.848415.259L435.088415.259L435.807415.499L436.047415.499L437.247415.979L441.807416.939L456.206423.42L472.045422.7L481.164425.58L483.804430.861L488.604433.262L489.563437.102L491.003440.223L463.645454.385L433.408468.547L420.689467.106L408.69466.386L394.531465.426L383.971461.826L375.572458.705L355.653451.744L378.692442.143L384.211436.862L387.571435.422L390.691434.462L398.13428.221L395.251424.62L393.091423.18L388.291415.259L384.931412.139L385.651409.978L388.291409.018L394.771408.058L411.329402.777L414.449400.377L418.769403.017L420.209404.697L419.729406.138L417.329409.498L418.049411.418L422.368412.139L424.528412.859L426.208413.579L427.648413.819L429.088414.539Z"""
k801,TRUE,Wämö,Wämö,Wämö,"""M473.485392.696L476.124393.176L477.804392.456L478.524392.216L480.444391.736L483.564392.456L485.244392.696L487.644393.176L488.844393.416L492.443393.416L495.563394.136L498.443395.096L502.283397.496L498.443399.177L497.243399.657L496.523400.617L496.043402.537L494.603403.497L492.683404.938L491.483406.378L486.444407.578L485.484408.298L482.604410.938L480.204412.859L477.564415.019L479.244422.46L481.164425.58L472.045422.7L456.206423.42L441.807416.939L437.247415.979L436.047415.499L435.807415.499L435.088415.259L434.848415.259L433.168414.779L430.288415.739L429.088414.539L427.648413.819L426.208413.579L424.528412.859L422.368412.139L418.049411.418L417.329409.498L419.729406.138L420.209404.697L418.769403.017L414.449400.377L421.409394.856L426.208393.656L429.328389.815L430.528386.455L427.168382.374L438.927379.014L449.726379.494L456.446383.574L459.086386.455L462.685387.415L462.445387.895L463.165388.855L463.645389.575L464.605390.055L465.085390.535L466.765391.016L468.925391.496L469.405391.736L470.125391.736L473.485392.696Z"""
k802,TRUE,Sunna,Sunna,Sunna,"""M459.806348.289L460.286348.53L461.246348.53L462.206348.77L462.206349.01L462.445349.73L462.685349.73L463.885349.97L464.605349.73L465.085349.49L465.565349.25L466.285349.25L466.525349.49L467.005349.97L467.485349.97L467.725349.49L468.685349.49L469.405349.01L469.885349.01L470.365349.25L471.085349.25L471.805349.49L472.045349.73L472.045350.21L472.765350.21L473.245350.45L473.725350.45L474.925351.17L475.405351.41L475.884351.41L475.884352.13L485.964356.211L492.683358.851L492.683359.091L489.323360.531L484.524362.211L485.964362.932L492.443365.572L487.404365.572L486.924367.492L489.323368.692L490.523369.172L491.243369.652L491.723370.613L492.923370.853L492.203372.053L497.243372.533L502.043373.013L500.363374.933L503.722376.133L503.482376.613L504.682377.094L503.242379.494L502.523381.654L501.083382.374L500.363382.374L499.643382.854L500.123383.094L497.723384.535L498.443384.775L498.683385.015L498.923385.255L499.403385.255L499.163385.255L500.603385.735L502.283386.215L503.962386.695L504.682387.175L505.162387.895L504.922387.895L504.682388.135L505.402388.615L506.602389.095L507.322389.575L508.762390.295L507.082395.576L502.283397.496L498.443395.096L495.563394.136L492.443393.416L488.844393.416L487.644393.176L485.244392.696L483.564392.456L480.444391.736L478.524392.216L477.804392.456L476.124393.176L473.485392.696L470.125391.736L469.405391.736L468.925391.496L466.765391.016L465.085390.535L464.605390.055L463.645389.575L463.165388.855L462.445387.895L462.685387.415L459.086386.455L456.446383.574L449.726379.494L438.927379.014L441.807373.973L441.567370.373L440.607367.012L441.567366.532L445.887365.092L448.047363.892L449.007363.172L450.206361.491L450.686360.771L450.686360.291L450.206359.571L450.206358.611L449.726358.131L449.486357.411L449.726357.411L449.966356.931L449.726356.211L449.007355.731L447.567354.77L447.087354.29L445.647353.81L444.687353.33L444.447352.37L444.447351.41L445.167350.93L446.127350.69L446.847350.69L447.567350.69L448.527350.93L449.726350.93L450.446350.93L451.166350.69L451.886350.45L452.846349.73L454.046349.01L455.246348.77L456.446348.53L457.886348.53L458.846348.53L459.806348.289Z"""
k803,TRUE,Verkö m.m.,Verköm.m.,Verköm.m.,"""M521.721390.295L522.201391.256L522.441391.976L522.441393.176L522.441394.856L522.441397.977L526.761397.737L528.921397.737L528.921396.776L528.921394.616L529.161393.176L529.401392.696L529.401392.456L529.641392.456L529.641392.216L533391.496L534.44391.016L534.68390.776L534.44390.295L537.08390.295L541.88390.295L542.6390.295L540.68393.656L543.079395.816L544.279397.016L544.759399.417L542.12399.417L540.92400.377L541.88402.297L542.36404.697L542.6407.578L541.4408.778L543.559411.418L542.6412.859L544.279416.699L544.759421.98L545.239424.86L545.719426.541L544.279431.821L536.6438.062L562.518441.903L566.598444.063L556.758449.824L549.319455.825L520.761458.465L515.482447.904L507.322445.263L491.003440.223L489.563437.102L488.604433.262L483.804430.861L481.164425.58L479.244422.46L477.564415.019L480.204412.859L482.604410.938L485.484408.298L486.444407.578L491.483406.378L492.683404.938L494.603403.497L496.043402.537L496.523400.617L497.243399.657L498.443399.177L502.283397.496L507.082395.576L508.762390.295L511.642390.535L514.282390.776L515.482391.256L515.961390.535L516.441389.575L517.161389.095L518.361388.135L518.841387.895L519.081388.135L519.321388.135L519.561388.375L520.521388.855L521.241389.335L521.721390.295Z"""
k804,TRUE,Lyckebyvästeromån,Lyckebyvästeromån,Lyckebyvästeromån,"""M508.522371.093L513.562372.773L514.522372.773L515.002372.533L515.961372.533L516.201372.533L516.681372.773L516.921372.533L517.401372.293L518.601372.533L523.161373.493L523.641373.013L524.601372.533L525.801372.053L527.721372.773L529.161373.013L530.36373.013L532.04373.013L534.2374.453L537.08374.693L537.56374.933L537.32375.413L537.56376.133L536.84376.133L535.64376.133L534.68376.373L533.72376.613L533.48377.094L533377.334L532.76377.574L532.28378.294L531.8378.774L531.56379.014L531.56379.494L531.32379.974L530.84380.214L529.88380.454L528.921380.934L528.201381.414L527.481381.654L526.521381.894L525.801382.134L523.161382.614L521.241383.094L520.041383.334L519.321383.574L518.601384.055L518.841384.535L519.321385.255L519.561385.975L519.321387.175L519.081387.655L518.841387.895L518.361388.135L517.161389.095L516.441389.575L515.961390.535L515.482391.256L514.282390.776L511.642390.535L508.762390.295L507.322389.575L506.602389.095L505.402388.615L504.682388.135L504.922387.895L505.162387.895L504.682387.175L503.962386.695L502.283386.215L500.603385.735L499.163385.255L499.403385.255L498.923385.255L498.683385.015L498.443384.775L497.723384.535L500.123383.094L499.643382.854L500.363382.374L501.083382.374L502.523381.654L503.242379.494L504.682377.094L503.482376.613L503.722376.133L500.363374.933L502.043373.013L503.962373.493L505.162373.973L506.842372.773L508.522371.093Z"""
k805,TRUE,Torskors,Torskors,Torskors,"""M502.043360.291L504.202364.132L504.202364.612L504.682364.612L506.122367.012L505.642367.972L505.882368.212L506.842368.212L506.842368.452L508.762368.452L509.002368.452L509.242369.652L509.002370.133L507.802369.893L508.522371.093L506.842372.773L505.162373.973L503.962373.493L502.043373.013L497.243372.533L492.203372.053L492.923370.853L491.723370.613L491.243369.652L490.523369.172L489.323368.692L486.924367.492L487.404365.572L492.443365.572L485.964362.932L484.524362.211L489.323360.531L492.683359.091L492.683358.851L491.003355.731L489.803353.33L487.884349.49L486.684347.569L486.684347.089L486.924346.609L487.164346.129L487.644345.649L487.884344.929L488.604344.689L488.604344.449L488.364343.969L488.844343.489L488.364343.009L488.364342.769L488.604342.769L488.844343.009L489.323343.009L489.323342.769L489.803342.769L490.283342.769L490.763342.769L490.763342.529L490.043342.529L489.803342.289L490.043342.049L490.283341.809L490.763341.809L491.483343.489L492.443345.889L493.163347.089L494.603349.01L496.763351.17L497.963352.85L498.203353.81L497.723355.491L497.003358.611L498.203358.371L498.443358.371L498.443358.851L498.683359.331L500.843358.611L502.043360.291Z"""
k806,TRUE,"Hässlegården,Spandel","Hässlegården,Spandel","Hässlegården,Spandel","""M528.201341.328L528.921341.328L530.12341.088L531.32341.088L533.24340.848L534.68341.328L535.16341.569L535.88342.049L536.36342.049L536.84341.809L537.8343.729L538.28344.209L538.04344.449L536.12344.209L535.4345.169L536.84345.409L536.84345.889L537.08346.609L537.08347.329L537.32348.53L537.8350.93L538.04351.89L538.04352.37L535.4352.61L535.4353.33L535.64353.57L536.12354.29L536.84354.53L537.08354.77L537.32354.77L537.56354.77L537.32355.25L536.84355.491L537.32355.491L537.08355.971L536.6355.971L536.6356.451L537.8356.691L536.36358.371L536.12359.091L536.84359.091L536.84359.331L535.88360.291L539.48361.971L539.48362.451L539.96362.692L538.76363.892L539364.852L539.24366.292L539.48366.772L539.96367.252L539.96369.652L538.76370.853L538.04371.333L537.56371.813L537.56372.533L537.8373.733L537.8374.453L537.56374.933L537.08374.693L534.2374.453L532.04373.013L530.36373.013L529.161373.013L527.721372.773L525.801372.053L524.601372.533L523.641373.013L523.161373.493L518.601372.533L517.401372.293L516.921372.533L516.681372.773L516.201372.533L515.961372.533L515.002372.533L514.522372.773L513.562372.773L508.522371.093L507.802369.893L509.002370.133L509.242369.652L509.002368.452L508.762368.452L506.842368.452L506.842368.212L505.882368.212L505.642367.972L506.122367.012L504.682364.612L504.202364.612L504.202364.132L502.043360.291L500.843358.611L498.683359.331L498.443358.851L498.443358.371L497.003358.611L497.723355.491L498.203353.81L497.963352.85L496.763351.17L494.603349.01L493.163347.089L492.443345.889L491.483343.489L490.763341.809L491.243341.569L491.003340.848L491.243340.128L491.723339.888L492.203339.648L492.923338.928L507.562338.928L515.961338.688L519.801337.008L522.921335.568L525.801334.848L526.041335.328L524.841337.008L524.601337.728L524.121339.168L524.601339.648L526.521340.608L528.201341.328ZM521.721353.33L524.601353.81L523.161353.57L521.721353.33Z"""
k807,TRUE,Lyckeby öster om ån,Lyckebyösteromån,Lyckebyösteromån,"""M542.6376.133L546.679377.094L550.519378.054L554.359379.014L554.119379.254L553.879379.494L553.639379.734L553.399380.214L553.159380.694L552.919380.934L552.439381.654L552.199381.894L551.959382.134L551.479382.614L550.279382.854L549.799383.094L547.159384.055L547.399384.535L548.119385.015L548.119385.255L548.359385.255L547.879385.975L547.639386.455L547.159386.695L544.759386.695L544.519386.695L544.279387.415L542.6390.295L541.88390.295L537.08390.295L534.44390.295L534.68390.776L534.44391.016L533391.496L529.641392.216L529.641392.456L529.401392.456L529.401392.696L529.161393.176L528.921394.616L528.921396.776L528.921397.737L526.761397.737L522.441397.977L522.441394.856L522.441393.176L522.441391.976L522.201391.256L521.721390.295L521.241389.335L520.521388.855L519.561388.375L519.321388.135L519.081388.135L518.841387.895L519.081387.655L519.321387.175L519.561385.975L519.321385.255L518.841384.535L518.601384.055L519.321383.574L520.041383.334L521.241383.094L523.161382.614L525.801382.134L526.521381.894L527.481381.654L528.201381.414L528.921380.934L529.88380.454L530.84380.214L531.32379.974L531.56379.494L531.56379.014L531.8378.774L532.28378.294L532.76377.574L533377.334L533.48377.094L533.72376.613L534.68376.373L535.64376.133L536.84376.133L537.56376.133L537.32375.413L537.56374.933L542.6376.133Z"""
k808,TRUE,Kättilsmålaområdet,Kättilsmålaområdet,Kättilsmålaområdet,"""M604.995232.593L609.075234.993L616.754239.314L617.234239.314L620.834238.594L623.953238.594L628.993238.594L631.393238.354L634.513237.874L636.912237.634L638.592237.874L638.832237.874L640.752239.794L646.512238.114L654.911235.473L655.151234.993L656.351234.273L657.071234.033L658.511233.793L659.471233.073L660.191232.833L661.151232.593L661.391233.073L662.351233.793L663.071234.273L665.23234.513L667.87235.233L669.07235.473L670.51235.713L671.47236.194L672.67236.194L674.59235.713L675.79235.713L677.469235.713L678.429235.954L679.389235.954L681.069235.954L682.029236.194L686.589235.713L686.829236.434L687.549236.914L690.668238.354L693.308239.554L696.428240.994L697.868241.474L701.228242.434L704.587243.395L710.827244.355L714.427244.835L714.667245.555L716.107247.715L717.067248.915L716.827249.876L718.746252.516L718.266253.476L718.986254.676L719.706255.636L719.946256.116L719.226256.356L719.466256.836L717.786258.277L717.067258.997L716.107260.197L715.147261.397L714.907262.597L714.667264.758L713.947264.998L712.267265.478L711.547266.438L710.827267.638L710.107268.358L708.427270.999L707.227272.919L705.787276.039L704.347278.68L702.668281.8L700.988285.161L700.268286.601L699.308288.761L698.108290.441L695.708293.322L695.228294.042L693.308296.682L692.588297.642L691.148299.082L689.709301.003L688.989302.443L686.589306.043L684.189309.404L684.189310.844L682.989312.284L681.789314.925L682.989315.165L682.509315.405L682.269316.125L681.789316.845L681.549317.565L681.309318.045L681.789318.765L681.309319.485L680.829320.446L679.869321.646L679.149322.846L679.149323.086L679.629324.526L680.349325.486L680.589326.686L680.589327.407L679.869328.607L679.869330.047L678.429330.047L676.99329.807L676.03329.807L673.87330.047L673.39329.807L671.95329.807L671.71330.047L669.79330.287L667.63330.767L665.47331.007L664.51331.247L663.55331.487L662.351332.207L661.151332.687L660.911333.167L660.671334.127L660.431334.848L660.191335.328L659.951335.808L660.191336.048L660.911336.768L659.951337.488L658.991338.448L657.791339.168L656.591340.368L655.151341.088L653.951341.569L653.711342.289L652.991343.249L653.471343.489L654.431344.449L654.911344.929L654.911345.889L654.671348.53L651.311349.01L641.712350.69L638.112357.171L638.112357.411L638.352357.891L638.352358.131L637.632358.611L637.152359.091L636.432359.091L634.273362.932L631.153364.612L628.753365.812L626.353368.452L621.074375.173L619.874376.373L617.714379.014L616.994379.734L613.394384.055L610.274387.895L609.315389.095L606.675392.216L603.075396.776L601.395398.937L600.435399.177L596.116399.897L588.916408.778L585.316412.859L583.156412.379L576.917421.02L573.797425.1L575.477427.501L570.917427.981L570.197433.982L569.478443.823L566.598444.063L562.518441.903L536.6438.062L544.279431.821L545.719426.541L545.239424.86L544.759421.98L544.279416.699L542.6412.859L543.559411.418L541.4408.778L542.6407.578L542.36404.697L541.88402.297L540.92400.377L542.12399.417L544.759399.417L544.279397.016L543.079395.816L540.68393.656L542.6390.295L544.279387.415L544.519386.695L544.759386.695L547.159386.695L547.639386.455L547.879385.975L548.359385.255L548.119385.255L548.119385.015L547.399384.535L547.159384.055L549.799383.094L550.279382.854L551.479382.614L551.959382.134L552.199381.894L552.439381.654L552.919380.934L553.159380.694L553.399380.214L553.639379.734L553.879379.494L554.119379.254L554.359379.014L550.519378.054L546.679377.094L542.6376.133L537.56374.933L537.8374.453L537.8373.733L537.56372.533L537.56371.813L538.04371.333L538.76370.853L539.96369.652L539.96367.252L539.48366.772L539.24366.292L539364.852L538.76363.892L539.96362.692L539.48362.451L539.48361.971L535.88360.291L536.84359.331L536.84359.091L536.12359.091L536.36358.371L537.8356.691L536.6356.451L536.6355.971L537.08355.971L537.32355.491L536.84355.491L537.32355.25L537.56354.77L537.32354.77L537.08354.77L536.84354.53L536.12354.29L535.64353.57L535.4353.33L535.4352.61L538.04352.37L538.04351.89L537.8350.93L537.32348.53L537.08347.329L537.08346.609L536.84345.889L536.84345.409L535.4345.169L536.12344.209L538.04344.449L538.28344.209L537.8343.729L536.84341.809L536.36342.049L535.88342.049L535.16341.569L534.68341.328L533.24340.848L531.32341.088L530.12341.088L528.921341.328L528.201341.328L526.521340.608L524.601339.648L524.121339.168L524.601337.728L524.841337.008L526.041335.328L525.801334.848L525.321333.647L527.001332.687L528.201331.967L528.441331.727L529.401331.487L531.32330.047L536.6328.367L536.84327.887L539324.766L540.92322.606L541.64321.886L544.999321.166L544.519320.446L547.399318.045L550.279315.645L554.839311.804L568.278300.763L567.558300.283L566.598299.563L565.398298.842L566.358298.362L567.078297.642L567.798296.922L568.038296.682L568.758296.442L569.478296.202L571.397295.002L572.837294.522L573.797294.042L574.757293.562L576.917292.842L579.077291.881L580.037291.641L581.957291.401L583.156291.161L584.356290.681L584.836290.441L587.476289.001L588.676288.281L590.356286.841L591.076286.601L592.516286.121L593.716285.641L595.156284.68L596.356283.72L598.515283.72L599.235282.52L598.515281.56L596.596280.6L595.636280.6L594.436279.64L593.716278.92L591.316278.44L589.396277.239L589.876275.799L589.876275.079L588.676274.359L588.916274.119L587.716273.639L585.316272.679L585.796270.278L583.156268.838L581.957266.438L580.997266.198L579.077265.958L577.637265.238L575.237264.278L574.517263.557L574.037263.077L573.317261.877L573.077261.397L572.117261.157L571.157260.917L571.157260.677L571.397260.197L573.557258.997L575.477258.517L576.197258.517L580.757257.077L580.997256.596L584.116252.516L585.556252.276L586.996252.756L589.396253.716L589.636252.516L590.116251.796L590.356251.316L590.596250.836L591.556250.356L592.756250.356L592.996249.876L592.276249.155L592.276248.675L593.476248.195L594.676246.995L594.916246.275L595.396245.795L595.396245.075L595.636244.115L593.956243.635L592.996243.155L592.516241.954L592.996240.994L593.716240.514L594.196240.034L594.676239.554L594.916239.074L596.596238.834L597.555238.594L596.835238.114L596.835237.634L596.835236.674L597.795235.713L598.515235.713L598.995234.993L598.755234.513L599.715233.793L600.915232.833L601.635232.833L603.315232.113L604.755231.633L604.995232.593Z"""
k1,TRUE,Östrakommundelen,Östrakommundelen,Östrakommundelen,"""M954.409390.055L948.169394.376L922.731412.379L897.533421.26L873.535436.382L857.456445.743L854.336454.625L854.096461.586L846.417466.866L819.539485.829L815.699492.55L806.82510.553L789.061514.153L785.941511.993L782.342514.153L779.462515.593L778.022516.073L777.542523.034L782.582533.596L769.383539.117L754.024546.318L726.906577.762L696.668619.288L669.07612.087L642.672606.566L616.994569.121L613.634565.76L592.036556.879L555.799544.637L516.921537.436L479.964528.795L418.049523.274L420.449500.951L420.929498.311L421.409493.27L425.008485.829L427.168481.028L430.048475.508L433.408468.547L463.645454.385L491.003440.223L507.322445.263L515.482447.904L520.761458.465L549.319455.825L556.758449.824L566.598444.063L569.478443.823L570.197433.982L570.917427.981L575.477427.501L573.797425.1L576.917421.02L583.156412.379L585.316412.859L588.916408.778L596.116399.897L600.435399.177L601.395398.937L603.075396.776L606.675392.216L609.315389.095L610.274387.895L613.394384.055L616.994379.734L617.714379.014L619.874376.373L621.074375.173L626.353368.452L628.753365.812L631.153364.612L634.273362.932L636.432359.091L637.152359.091L637.632358.611L638.352358.131L638.352357.891L638.112357.411L638.112357.171L641.712350.69L651.311349.01L654.671348.53L654.911345.889L654.911344.929L654.431344.449L653.471343.489L652.991343.249L653.711342.289L653.951341.569L655.151341.088L656.591340.368L657.791339.168L658.991338.448L659.951337.488L660.911336.768L660.191336.048L659.951335.808L660.191335.328L660.431334.848L660.671334.127L660.911333.167L661.151332.687L662.351332.207L663.55331.487L664.51331.247L665.47331.007L667.63330.767L669.79330.287L671.71330.047L671.95329.807L673.39329.807L673.87330.047L676.03329.807L676.99329.807L678.429330.047L679.869330.047L679.869328.607L680.589327.407L680.589326.686L680.349325.486L679.629324.526L679.149323.086L679.149322.846L679.869321.646L680.829320.446L681.309319.485L681.789318.765L681.309318.045L681.549317.565L681.789316.845L682.269316.125L682.509315.405L682.989315.165L681.789314.925L682.989312.284L684.189310.844L684.189309.404L686.589306.043L688.989302.443L689.709301.003L691.148299.082L692.588297.642L693.308296.682L695.228294.042L695.708293.322L698.108290.441L699.308288.761L700.268286.601L700.988285.161L702.668281.8L704.347278.68L705.787276.039L707.227272.919L708.427270.999L710.107268.358L710.827267.638L711.547266.438L712.267265.478L713.947264.998L714.667264.758L714.907262.597L715.147261.397L716.107260.197L717.067258.997L717.786258.277L719.466256.836L719.226256.356L719.946256.116L719.706255.636L718.986254.676L718.266253.476L718.746252.516L716.827249.876L717.067248.915L716.107247.715L714.667245.555L714.427244.835L714.907243.875L715.627242.674L716.107241.474L716.827239.794L717.786238.594L718.266236.914L719.226235.713L720.426232.833L721.866230.913L722.586229.233L723.786227.792L724.746227.312L726.666226.832L727.386226.352L729.786224.432L730.505223.472L731.225222.512L730.985221.311L730.745220.831L731.945220.351L732.665220.111L733.385220.111L737.705220.591L739.865220.831L741.785221.311L742.985221.311L744.424220.831L747.784219.871L749.224219.391L753.544221.071L756.664222.512L757.143222.752L763.623223.952L767.943224.912L778.982226.832L788.341228.753L788.821228.993L789.781228.993L790.741228.512L790.741227.792L791.701227.552L794.101228.512L795.301228.993L796.741229.233L797.221228.753L798.18228.512L798.9228.753L800.1229.473L802.02229.473L802.74229.473L805.62228.272L806.34228.512L808.02229.233L809.22229.713L809.46229.953L810.18229.953L812.819230.433L813.779230.673L816.899231.393L819.059231.393L819.779231.153L820.499231.153L820.979231.153L821.219230.673L821.699230.673L823.139230.193L823.619229.473L824.099229.713L825.058230.193L826.498230.193L827.938230.193L829.378230.673L831.058230.673L831.778230.913L832.978230.433L833.698230.193L834.418230.193L835.378230.433L836.578230.913L838.017231.633L839.217232.353L839.697232.353L840.897231.633L841.857232.113L842.337232.593L843.057232.593L844.257232.113L845.697231.633L846.897231.873L847.617231.873L848.097231.873L849.297231.393L850.737231.393L851.936230.913L852.656230.193L853.616230.193L854.336229.713L855.536229.473L857.216229.953L858.896230.433L859.616230.673L861.536230.673L862.736230.673L867.055229.713L869.695229.713L870.175229.713L872.095229.713L875.935230.193L878.094230.673L879.054231.153L880.014231.393L880.974231.153L881.694230.193L882.414229.233L883.134227.552L884.334226.592L886.014227.552L886.494228.032L887.214228.993L888.414229.233L888.414229.953L888.414230.673L889.134230.673L889.614230.193L891.294230.193L892.493230.193L892.973229.953L893.933229.953L894.413229.713L895.133229.233L896.573228.753L897.773229.473L898.733229.713L899.453230.193L901.133230.673L902.093230.913L902.333231.153L900.893232.593L900.893233.073L902.813233.553L904.732234.033L904.972234.753L905.692235.473L909.292236.194L910.012236.914L911.212236.674L911.692236.194L913.132235.954L913.852235.713L914.572235.473L914.812235.473L914.812234.273L915.772233.793L917.452233.553L918.891233.793L919.371234.273L919.371235.954L920.091236.674L921.051236.914L922.011237.394L922.251237.634L922.011237.874L923.451238.834L924.651240.034L923.451240.514L922.971241.474L922.251242.915L922.731243.395L922.731243.875L922.491244.355L922.731244.835L924.651244.595L926.331244.835L928.971245.315L930.651245.795L932.09246.515L932.09247.475L931.61248.435L930.651248.915L930.171249.155L929.691249.635L929.691250.116L931.131250.596L932.09250.836L933.53251.316L934.01251.316L934.73251.076L936.65251.316L938.81251.316L941.21251.556L942.89252.036L944.33252.276L945.289252.516L945.769252.276L946.969251.316L948.169250.596L949.849249.876L950.809249.876L951.529249.876L952.969249.876L953.449250.116L954.169249.876L954.409249.876L954.409390.055Z"""
