geo,time,inrikes_fodda_summa
8021,2006,235
8021,2007,236
8021,2008,227
8021,2009,232
8021,2010,234
8021,2011,229
8021,2012,216
8021,2013,216
8021,2014,220
8021,2015,221
8021,2016,237
8021,2017,242
8022,2000,770
8022,2001,770
8022,2002,770
8022,2003,739
8022,2004,740
8022,2005,691
8022,2006,701
8022,2007,692
8022,2008,674
8022,2009,685
8022,2010,681
8022,2011,695
8022,2012,721
8022,2013,708
8022,2014,687
8022,2015,655
8022,2016,656
8022,2017,652
8023,2000,167
8023,2001,167
8023,2002,167
8023,2003,174
8023,2004,178
8023,2005,195
8023,2006,201
8023,2007,222
8023,2008,241
8023,2009,237
8023,2010,274
8023,2011,280
8023,2012,264
8023,2013,281
8023,2014,264
8023,2015,279
8023,2016,305
8023,2017,298
8024,2000,983
8024,2001,983
8024,2002,983
8024,2003,975
8024,2004,926
8024,2005,894
8024,2006,883
8024,2007,848
8024,2008,824
8024,2009,836
8024,2010,846
8024,2011,855
8024,2012,848
8024,2013,889
8024,2014,882
8024,2015,890
8024,2016,893
8024,2017,905
8025,2000,643
8025,2001,643
8025,2002,643
8025,2003,647
8025,2004,645
8025,2005,630
8025,2006,614
8025,2007,608
8025,2008,597
8025,2009,593
8025,2010,577
8025,2011,582
8025,2012,601
8025,2013,600
8025,2014,605
8025,2015,598
8025,2016,591
8025,2017,591
8026,2000,837
8026,2001,837
8026,2002,837
8026,2003,850
8026,2004,836
8026,2005,819
8026,2006,825
8026,2007,805
8026,2008,789
8026,2009,794
8026,2010,790
8026,2011,793
8026,2012,800
8026,2013,821
8026,2014,784
8026,2015,791
8026,2016,783
8026,2017,789
8037,2000,232
8037,2001,232
8037,2002,232
8037,2003,244
8037,2004,243
8037,2005,253
8037,2006,248
8037,2007,251
8037,2008,257
8037,2009,250
8037,2010,272
8037,2011,330
8037,2012,342
8037,2013,351
8037,2014,343
8037,2015,350
8037,2016,343
8037,2017,350
8038,2000,324
8038,2001,324
8038,2002,324
8038,2003,335
8038,2004,331
8038,2005,332
8038,2006,337
8038,2007,331
8038,2008,326
8038,2009,318
8038,2010,322
8038,2011,317
8038,2012,314
8038,2013,315
8038,2014,319
8038,2015,314
8038,2016,322
8038,2017,328
8039,2000,609
8039,2001,609
8039,2002,609
8039,2003,634
8039,2004,653
8039,2005,651
8039,2006,656
8039,2007,692
8039,2008,733
8039,2009,733
8039,2010,760
8039,2011,765
8039,2012,743
8039,2013,744
8039,2014,746
8039,2015,766
8039,2016,770
8039,2017,766
8041,2000,223
8041,2001,223
8041,2002,223
8041,2003,245
8041,2004,265
8041,2005,264
8041,2006,267
8041,2007,271
8041,2008,280
8041,2009,275
8041,2010,267
8041,2011,267
8041,2012,257
8041,2013,254
8041,2014,314
8041,2015,366
8041,2016,373
8041,2017,378
8042,2000,274
8042,2001,274
8042,2002,274
8042,2003,276
8042,2004,272
8042,2005,265
8042,2006,268
8042,2007,275
8042,2008,266
8042,2009,254
8042,2010,265
8042,2011,256
8042,2012,261
8042,2013,248
8042,2014,250
8042,2015,241
8042,2016,240
8042,2017,232
8043,2000,357
8043,2001,357
8043,2002,357
8043,2003,346
8043,2004,349
8043,2005,338
8043,2006,329
8043,2007,341
8043,2008,336
8043,2009,333
8043,2010,325
8043,2011,330
8043,2012,324
8043,2013,323
8043,2014,322
8043,2015,317
8043,2016,316
8043,2017,318
8044,2000,301
8044,2001,301
8044,2002,301
8044,2003,310
8044,2004,315
8044,2005,310
8044,2006,313
8044,2007,322
8044,2008,319
8044,2009,311
8044,2010,326
8044,2011,327
8044,2012,327
8044,2013,317
8044,2014,317
8044,2015,320
8044,2016,324
8044,2017,321
8045,2000,183
8045,2001,183
8045,2002,183
8045,2003,187
8045,2004,190
8045,2005,180
8045,2006,178
8045,2007,204
8045,2008,196
8045,2009,192
8045,2010,198
8045,2011,191
8045,2012,193
8045,2013,196
8045,2014,201
8045,2015,213
8045,2016,218
8045,2017,209
8057,2000,352
8057,2001,352
8057,2002,352
8057,2003,369
8057,2004,373
8057,2005,374
8057,2006,360
8057,2007,367
8057,2008,360
8057,2009,372
8057,2010,359
8057,2011,354
8057,2012,350
8057,2013,340
8057,2014,342
8057,2015,327
8057,2016,335
8057,2017,318
8061,2000,747
8061,2001,747
8061,2002,747
8061,2003,729
8061,2004,718
8061,2005,724
8061,2006,716
8061,2007,730
8061,2008,724
8061,2009,713
8061,2010,700
8061,2011,696
8061,2012,682
8061,2013,698
8061,2014,685
8061,2015,689
8061,2016,687
8061,2017,681
8062,2000,734
8062,2001,734
8062,2002,734
8062,2003,740
8062,2004,766
8062,2005,777
8062,2006,760
8062,2007,745
8062,2008,755
8062,2009,751
8062,2010,731
8062,2011,749
8062,2012,749
8062,2013,744
8062,2014,728
8062,2015,718
8062,2016,707
8062,2017,704
8063,2000,1
8063,2001,1
8063,2002,1
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,129
8063,2009,198
8063,2010,248
8063,2011,294
8063,2012,341
8063,2013,364
8063,2014,388
8063,2015,391
8063,2016,397
8063,2017,408
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,50
8064,2012,0
8064,2013,0
8064,2014,5
8064,2015,16
8064,2016,39
8064,2017,50
8065,2000,1
8065,2001,1
8065,2002,1
8065,2003,1
8065,2004,1
8065,2005,0
8065,2006,1
8065,2007,1
8065,2008,2
8065,2009,2
8065,2010,2
8065,2011,1
8065,2012,0
8065,2013,1
8065,2014,0
8065,2015,1
8065,2016,2
8065,2017,1
8066,2000,483
8066,2001,483
8066,2002,483
8066,2003,484
8066,2004,472
8066,2005,444
8066,2006,455
8066,2007,450
8066,2008,411
8066,2009,427
8066,2010,441
8066,2011,448
8066,2012,439
8066,2013,425
8066,2014,421
8066,2015,411
8066,2016,407
8066,2017,399
8067,2000,775
8067,2001,775
8067,2002,775
8067,2003,755
8067,2004,771
8067,2005,767
8067,2006,766
8067,2007,769
8067,2008,764
8067,2009,752
8067,2010,731
8067,2011,726
8067,2012,711
8067,2013,720
8067,2014,728
8067,2015,744
8067,2016,738
8067,2017,740
8068,2000,722
8068,2001,722
8068,2002,722
8068,2003,725
8068,2004,717
8068,2005,718
8068,2006,720
8068,2007,702
8068,2008,701
8068,2009,714
8068,2010,723
8068,2011,749
8068,2012,734
8068,2013,724
8068,2014,718
8068,2015,735
8068,2016,745
8068,2017,729
8069,2000,148
8069,2001,148
8069,2002,148
8069,2003,148
8069,2004,149
8069,2005,146
8069,2006,139
8069,2007,147
8069,2008,142
8069,2009,146
8069,2010,148
8069,2011,151
8069,2012,144
8069,2013,149
8069,2014,147
8069,2015,147
8069,2016,146
8069,2017,146
8071,2000,365
8071,2001,365
8071,2002,365
8071,2003,360
8071,2004,372
8071,2005,365
8071,2006,369
8071,2007,371
8071,2008,366
8071,2009,360
8071,2010,357
8071,2011,341
8071,2012,337
8071,2013,344
8071,2014,352
8071,2015,364
8071,2016,374
8071,2017,379
8072,2000,248
8072,2001,248
8072,2002,248
8072,2003,244
8072,2004,242
8072,2005,235
8072,2006,226
8072,2007,227
8072,2008,216
8072,2009,219
8072,2010,217
8072,2011,206
8072,2012,215
8072,2013,211
8072,2014,205
8072,2015,219
8072,2016,212
8072,2017,216
8073,2000,797
8073,2001,797
8073,2002,797
8073,2003,802
8073,2004,801
8073,2005,786
8073,2006,762
8073,2007,761
8073,2008,752
8073,2009,767
8073,2010,771
8073,2011,743
8073,2012,745
8073,2013,725
8073,2014,727
8073,2015,717
8073,2016,711
8073,2017,703
8074,2000,371
8074,2001,371
8074,2002,371
8074,2003,364
8074,2004,374
8074,2005,385
8074,2006,382
8074,2007,388
8074,2008,383
8074,2009,384
8074,2010,397
8074,2011,404
8074,2012,411
8074,2013,414
8074,2014,392
8074,2015,406
8074,2016,397
8074,2017,395
8075,2000,369
8075,2001,369
8075,2002,369
8075,2003,369
8075,2004,362
8075,2005,361
8075,2006,351
8075,2007,357
8075,2008,356
8075,2009,362
8075,2010,360
8075,2011,359
8075,2012,357
8075,2013,347
8075,2014,347
8075,2015,346
8075,2016,347
8075,2017,333
8076,2000,301
8076,2001,301
8076,2002,301
8076,2003,293
8076,2004,287
8076,2005,291
8076,2006,296
8076,2007,284
8076,2008,279
8076,2009,290
8076,2010,293
8076,2011,290
8076,2012,293
8076,2013,298
8076,2014,290
8076,2015,299
8076,2016,293
8076,2017,288
808,2000,180
808,2001,180
808,2002,180
808,2003,188
808,2004,188
808,2005,187
808,2006,189
808,2007,185
808,2008,181
808,2009,181
808,2010,188
808,2011,194
808,2012,191
808,2013,187
808,2014,190
808,2015,190
808,2016,189
808,2017,190
11,2000,1469
11,2001,1469
11,2002,1469
11,2003,1460
11,2004,1459
11,2005,1438
11,2006,1427
11,2007,1395
11,2008,1388
11,2009,1383
11,2010,1380
11,2011,1363
11,2012,1333
11,2013,1308
11,2014,1348
11,2015,1351
11,2016,1356
11,2017,1364
12,2000,3566
12,2001,3566
12,2002,3566
12,2003,3555
12,2004,3527
12,2005,3504
12,2006,3476
12,2007,3467
12,2008,3452
12,2009,3434
12,2010,3435
12,2011,3384
12,2012,3427
12,2013,3422
12,2014,3414
12,2015,3418
12,2016,3374
12,2017,3383
13,2000,1589
13,2001,1589
13,2002,1589
13,2003,1573
13,2004,1580
13,2005,1584
13,2006,1562
13,2007,1561
13,2008,1527
13,2009,1507
13,2010,1471
13,2011,1439
13,2012,1388
13,2013,1363
13,2014,1365
13,2015,1364
13,2016,1365
13,2017,1378
14,2000,1636
14,2001,1636
14,2002,1636
14,2003,1626
14,2004,1637
14,2005,1623
14,2006,1587
14,2007,1580
14,2008,1573
14,2009,1582
14,2010,1568
14,2011,1551
14,2012,1548
14,2013,1552
14,2014,1540
14,2015,1543
14,2016,1531
14,2017,1530
15,2000,2097
15,2001,2097
15,2002,2097
15,2003,2150
15,2004,2160
15,2005,2197
15,2006,2167
15,2007,2199
15,2008,2221
15,2009,2245
15,2010,2268
15,2011,2250
15,2012,2255
15,2013,2236
15,2014,2271
15,2015,2346
15,2016,2421
15,2017,2517
61,2000,2155
61,2001,2155
61,2002,2155
61,2003,2110
61,2004,2149
61,2005,2107
61,2006,2071
61,2007,2064
61,2008,2081
61,2009,2051
61,2010,2062
61,2011,2076
61,2012,2050
61,2013,2023
61,2014,2006
61,2015,1998
61,2016,1995
61,2017,1993
62,2000,1020
62,2001,1020
62,2002,1020
62,2003,1041
62,2004,1024
62,2005,1014
62,2006,991
62,2007,974
62,2008,953
62,2009,959
62,2010,931
62,2011,914
62,2012,919
62,2013,913
62,2014,896
62,2015,901
62,2016,908
62,2017,929
63,2000,1259
63,2001,1259
63,2002,1259
63,2003,1238
63,2004,1224
63,2005,1192
63,2006,1192
63,2007,1173
63,2008,1133
63,2009,1105
63,2010,1116
63,2011,1116
63,2012,1118
63,2013,1119
63,2014,1134
63,2015,1129
63,2016,1134
63,2017,1132
81,2000,456
81,2001,456
81,2002,456
81,2003,455
81,2004,448
81,2005,442
81,2006,436
81,2007,439
81,2008,448
81,2009,438
81,2010,443
81,2011,431
81,2012,457
81,2013,473
81,2014,473
81,2015,495
81,2016,519
81,2017,529
82,2000,1479
82,2001,1479
82,2002,1479
82,2003,1514
82,2004,1503
82,2005,1516
82,2006,1542
82,2007,1546
82,2008,1551
82,2009,1531
82,2010,1527
82,2011,1530
82,2012,1530
82,2013,1533
82,2014,1503
82,2015,1508
82,2016,1512
82,2017,1518
83,2000,313
83,2001,313
83,2002,313
83,2003,313
83,2004,304
83,2005,314
83,2006,300
83,2007,302
83,2008,304
