geo,time,utrikes_fodda_summa
8022,2005,454
8022,2006,473
8022,2007,494
8022,2008,504
8022,2009,583
8022,2010,603
8022,2011,577
8022,2012,515
8022,2013,538
8022,2014,600
8022,2015,720
8022,2016,736
8022,2017,812
8023,2000,12
8023,2001,12
8023,2002,12
8023,2003,29
8023,2004,23
8023,2005,30
8023,2006,28
8023,2007,26
8023,2008,20
8023,2009,21
8023,2010,49
8023,2011,52
8023,2012,50
8023,2013,65
8023,2014,73
8023,2015,143
8023,2016,182
8023,2017,187
8024,2000,701
8024,2001,701
8024,2002,701
8024,2003,758
8024,2004,865
8024,2005,966
8024,2006,1212
8024,2007,1373
8024,2008,1467
8024,2009,1495
8024,2010,1576
8024,2011,1650
8024,2012,1390
8024,2013,1439
8024,2014,1501
8024,2015,1573
8024,2016,1717
8024,2017,1725
8025,2000,37
8025,2001,37
8025,2002,37
8025,2003,35
8025,2004,46
8025,2005,47
8025,2006,42
8025,2007,51
8025,2008,68
8025,2009,66
8025,2010,73
8025,2011,69
8025,2012,73
8025,2013,71
8025,2014,90
8025,2015,109
8025,2016,150
8025,2017,144
8026,2000,48
8026,2001,48
8026,2002,48
8026,2003,50
8026,2004,47
8026,2005,54
8026,2006,60
8026,2007,68
8026,2008,71
8026,2009,86
8026,2010,72
8026,2011,74
8026,2012,76
8026,2013,84
8026,2014,83
8026,2015,90
8026,2016,106
8026,2017,106
8037,2000,16
8037,2001,16
8037,2002,16
8037,2003,16
8037,2004,15
8037,2005,15
8037,2006,13
8037,2007,12
8037,2008,12
8037,2009,12
8037,2010,15
8037,2011,14
8037,2012,16
8037,2013,18
8037,2014,22
8037,2015,25
8037,2016,34
8037,2017,37
8038,2000,11
8038,2001,11
8038,2002,11
8038,2003,13
8038,2004,13
8038,2005,14
8038,2006,20
8038,2007,28
8038,2008,28
8038,2009,24
8038,2010,28
8038,2011,30
8038,2012,27
8038,2013,25
8038,2014,26
8038,2015,27
8038,2016,29
8038,2017,30
8039,2000,45
8039,2001,45
8039,2002,45
8039,2003,42
8039,2004,42
8039,2005,53
8039,2006,54
8039,2007,76
8039,2008,77
8039,2009,82
8039,2010,82
8039,2011,87
8039,2012,93
8039,2013,92
8039,2014,100
8039,2015,137
8039,2016,134
8039,2017,153
8041,2000,6
8041,2001,6
8041,2002,6
8041,2003,9
8041,2004,9
8041,2005,9
8041,2006,19
8041,2007,18
8041,2008,18
8041,2009,18
8041,2010,18
8041,2011,19
8041,2012,20
8041,2013,20
8041,2014,22
8041,2015,33
8041,2016,37
8041,2017,36
8042,2000,28
8042,2001,28
8042,2002,28
8042,2003,19
8042,2004,17
8042,2005,17
8042,2006,17
8042,2007,21
8042,2008,21
8042,2009,23
8042,2010,25
8042,2011,22
8042,2012,26
8042,2013,29
8042,2014,34
8042,2015,40
8042,2016,51
8042,2017,42
8043,2000,26
8043,2001,26
8043,2002,26
8043,2003,23
8043,2004,29
8043,2005,34
8043,2006,28
8043,2007,30
8043,2008,27
8043,2009,31
8043,2010,35
8043,2011,39
8043,2012,32
8043,2013,36
8043,2014,32
8043,2015,36
8043,2016,39
8043,2017,41
8044,2000,8
8044,2001,8
8044,2002,8
8044,2003,7
8044,2004,10
8044,2005,11
8044,2006,14
8044,2007,14
8044,2008,13
8044,2009,15
8044,2010,16
8044,2011,15
8044,2012,13
8044,2013,15
8044,2014,18
8044,2015,23
8044,2016,28
8044,2017,40
8045,2000,8
8045,2001,8
8045,2002,8
8045,2003,7
8045,2004,8
8045,2005,10
8045,2006,9
8045,2007,12
8045,2008,7
8045,2009,12
8045,2010,14
8045,2011,17
8045,2012,23
8045,2013,26
8045,2014,32
8045,2015,33
8045,2016,33
8045,2017,42
8057,2000,7
8057,2001,7
8057,2002,7
8057,2003,6
8057,2004,7
8057,2005,6
8057,2006,6
8057,2007,18
8057,2008,20
8057,2009,22
8057,2010,22
8057,2011,24
8057,2012,20
8057,2013,22
8057,2014,27
8057,2015,26
8057,2016,26
8057,2017,39
8061,2000,18
8061,2001,18
8061,2002,18
8061,2003,20
8061,2004,17
8061,2005,18
8061,2006,15
8061,2007,16
8061,2008,24
8061,2009,24
8061,2010,25
8061,2011,29
8061,2012,28
8061,2013,27
8061,2014,29
8061,2015,34
8061,2016,32
8061,2017,28
8062,2000,17
8062,2001,17
8062,2002,17
8062,2003,17
8062,2004,13
8062,2005,20
8062,2006,24
8062,2007,25
8062,2008,30
8062,2009,32
8062,2010,38
8062,2011,34
8062,2012,28
8062,2013,27
8062,2014,36
8062,2015,36
8062,2016,37
8062,2017,43
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,9
8063,2009,11
8063,2010,17
8063,2011,20
8063,2012,27
8063,2013,36
8063,2014,37
8063,2015,39
8063,2016,43
8063,2017,38
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,2
8064,2016,5
8064,2017,7
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,1
8065,2010,1
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,25
8066,2001,25
8066,2002,25
8066,2003,21
8066,2004,29
8066,2005,22
8066,2006,17
8066,2007,23
8066,2008,29
8066,2009,35
8066,2010,38
8066,2011,40
8066,2012,53
8066,2013,66
8066,2014,72
8066,2015,61
8066,2016,73
8066,2017,83
8067,2000,25
8067,2001,25
8067,2002,25
8067,2003,25
8067,2004,26
8067,2005,26
8067,2006,21
8067,2007,23
8067,2008,30
8067,2009,29
8067,2010,38
8067,2011,39
8067,2012,43
8067,2013,53
8067,2014,62
8067,2015,57
8067,2016,57
8067,2017,61
8068,2000,17
8068,2001,17
8068,2002,17
8068,2003,19
8068,2004,29
8068,2005,28
8068,2006,33
8068,2007,43
8068,2008,39
8068,2009,30
8068,2010,31
8068,2011,34
8068,2012,30
8068,2013,29
8068,2014,34
8068,2015,61
8068,2016,60
8068,2017,64
8069,2000,3
8069,2001,3
8069,2002,3
8069,2003,4
8069,2004,6
8069,2005,8
8069,2006,6
8069,2007,4
8069,2008,5
8069,2009,4
8069,2010,4
8069,2011,5
8069,2012,4
8069,2013,7
8069,2014,7
8069,2015,4
8069,2016,4
8069,2017,4
8071,2000,17
8071,2001,17
8071,2002,17
8071,2003,20
8071,2004,23
8071,2005,24
8071,2006,24
8071,2007,25
8071,2008,28
8071,2009,27
8071,2010,31
8071,2011,40
8071,2012,46
8071,2013,45
8071,2014,46
8071,2015,55
8071,2016,49
8071,2017,57
8072,2000,17
8072,2001,17
8072,2002,17
8072,2003,17
8072,2004,14
8072,2005,15
8072,2006,16
8072,2007,15
8072,2008,20
8072,2009,17
8072,2010,19
8072,2011,17
8072,2012,17
8072,2013,19
8072,2014,22
8072,2015,21
8072,2016,19
8072,2017,20
8073,2000,123
8073,2001,123
8073,2002,123
8073,2003,125
8073,2004,120
8073,2005,127
8073,2006,132
8073,2007,157
8073,2008,152
8073,2009,125
8073,2010,115
8073,2011,119
8073,2012,126
8073,2013,141
8073,2014,159
8073,2015,209
8073,2016,216
8073,2017,214
8074,2000,10
8074,2001,10
8074,2002,10
8074,2003,10
8074,2004,10
8074,2005,9
8074,2006,9
8074,2007,8
8074,2008,11
8074,2009,11
8074,2010,12
8074,2011,15
8074,2012,14
8074,2013,14
8074,2014,16
8074,2015,24
8074,2016,22
8074,2017,19
8075,2000,7
8075,2001,7
8075,2002,7
8075,2003,12
8075,2004,12
8075,2005,15
8075,2006,17
8075,2007,16
8075,2008,17
8075,2009,17
8075,2010,21
8075,2011,20
8075,2012,17
8075,2013,19
8075,2014,22
8075,2015,30
8075,2016,30
8075,2017,33
8076,2000,8
8076,2001,8
8076,2002,8
8076,2003,9
8076,2004,9
8076,2005,9
8076,2006,7
8076,2007,12
8076,2008,14
8076,2009,15
8076,2010,15
8076,2011,17
8076,2012,15
8076,2013,17
8076,2014,21
8076,2015,19
8076,2016,20
8076,2017,22
808,2000,3
808,2001,3
808,2002,3
808,2003,4
