geo,time,utrikes_fodda_man
8022,2006,230
8022,2007,259
8022,2008,258
8022,2009,305
8022,2010,321
8022,2011,304
8022,2012,262
8022,2013,273
8022,2014,319
8022,2015,392
8022,2016,396
8022,2017,445
8023,2000,2
8023,2001,2
8023,2002,2
8023,2003,20
8023,2004,11
8023,2005,16
8023,2006,12
8023,2007,12
8023,2008,8
8023,2009,8
8023,2010,29
8023,2011,32
8023,2012,33
8023,2013,46
8023,2014,47
8023,2015,84
8023,2016,104
8023,2017,116
8024,2000,376
8024,2001,376
8024,2002,376
8024,2003,437
8024,2004,510
8024,2005,618
8024,2006,814
8024,2007,934
8024,2008,979
8024,2009,938
8024,2010,984
8024,2011,1027
8024,2012,773
8024,2013,773
8024,2014,801
8024,2015,843
8024,2016,933
8024,2017,946
8025,2000,15
8025,2001,15
8025,2002,15
8025,2003,15
8025,2004,20
8025,2005,22
8025,2006,22
8025,2007,27
8025,2008,34
8025,2009,35
8025,2010,34
8025,2011,35
8025,2012,38
8025,2013,37
8025,2014,49
8025,2015,63
8025,2016,95
8025,2017,84
8026,2000,21
8026,2001,21
8026,2002,21
8026,2003,20
8026,2004,20
8026,2005,21
8026,2006,26
8026,2007,30
8026,2008,32
8026,2009,38
8026,2010,33
8026,2011,33
8026,2012,34
8026,2013,38
8026,2014,38
8026,2015,45
8026,2016,54
8026,2017,51
8037,2000,7
8037,2001,7
8037,2002,7
8037,2003,7
8037,2004,7
8037,2005,7
8037,2006,6
8037,2007,6
8037,2008,6
8037,2009,6
8037,2010,7
8037,2011,7
8037,2012,7
8037,2013,8
8037,2014,11
8037,2015,12
8037,2016,16
8037,2017,17
8038,2000,4
8038,2001,4
8038,2002,4
8038,2003,7
8038,2004,5
8038,2005,6
8038,2006,8
8038,2007,12
8038,2008,12
8038,2009,10
8038,2010,12
8038,2011,12
8038,2012,11
8038,2013,11
8038,2014,10
8038,2015,11
8038,2016,13
8038,2017,14
8039,2000,23
8039,2001,23
8039,2002,23
8039,2003,22
8039,2004,20
8039,2005,24
8039,2006,25
8039,2007,38
8039,2008,38
8039,2009,43
8039,2010,43
8039,2011,48
8039,2012,54
8039,2013,42
8039,2014,45
8039,2015,65
8039,2016,66
8039,2017,80
8041,2000,3
8041,2001,3
8041,2002,3
8041,2003,5
8041,2004,4
8041,2005,4
8041,2006,9
8041,2007,9
8041,2008,11
8041,2009,10
8041,2010,11
8041,2011,11
8041,2012,11
8041,2013,11
8041,2014,13
8041,2015,17
8041,2016,18
8041,2017,19
8042,2000,14
8042,2001,14
8042,2002,14
8042,2003,9
8042,2004,8
8042,2005,8
8042,2006,8
8042,2007,12
8042,2008,12
8042,2009,12
8042,2010,14
8042,2011,12
8042,2012,12
8042,2013,16
8042,2014,17
8042,2015,20
8042,2016,27
8042,2017,18
8043,2000,6
8043,2001,6
8043,2002,6
8043,2003,6
8043,2004,8
8043,2005,10
8043,2006,6
8043,2007,9
8043,2008,9
8043,2009,10
8043,2010,12
8043,2011,16
8043,2012,11
8043,2013,10
8043,2014,9
8043,2015,14
8043,2016,15
8043,2017,16
8044,2000,6
8044,2001,6
8044,2002,6
8044,2003,5
8044,2004,6
8044,2005,6
8044,2006,6
8044,2007,7
8044,2008,6
8044,2009,6
8044,2010,7
8044,2011,7
8044,2012,5
8044,2013,8
8044,2014,11
8044,2015,13
8044,2016,15
8044,2017,23
8045,2000,3
8045,2001,3
8045,2002,3
8045,2003,2
8045,2004,3
8045,2005,3
8045,2006,4
8045,2007,4
8045,2008,3
8045,2009,6
8045,2010,8
8045,2011,9
8045,2012,12
8045,2013,13
8045,2014,15
8045,2015,13
8045,2016,14
8045,2017,20
8057,2000,2
8057,2001,2
8057,2002,2
8057,2003,1
8057,2004,2
8057,2005,1
8057,2006,2
8057,2007,8
8057,2008,8
8057,2009,8
8057,2010,8
8057,2011,10
8057,2012,9
8057,2013,9
8057,2014,12
8057,2015,12
8057,2016,13
8057,2017,19
8061,2000,7
8061,2001,7
8061,2002,7
8061,2003,8
8061,2004,8
8061,2005,8
8061,2006,6
8061,2007,7
8061,2008,12
8061,2009,14
8061,2010,14
8061,2011,16
8061,2012,15
8061,2013,15
8061,2014,15
8061,2015,18
8061,2016,17
8061,2017,14
8062,2000,6
8062,2001,6
8062,2002,6
8062,2003,6
8062,2004,5
8062,2005,9
8062,2006,11
8062,2007,10
8062,2008,13
8062,2009,13
8062,2010,18
8062,2011,16
8062,2012,12
8062,2013,12
8062,2014,17
8062,2015,16
8062,2016,16
8062,2017,20
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,7
8063,2009,8
8063,2010,11
8063,2011,11
8063,2012,13
8063,2013,19
8063,2014,19
8063,2015,21
8063,2016,21
8063,2017,18
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,1
8064,2016,2
8064,2017,3
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,1
8065,2010,1
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,14
8066,2001,14
8066,2002,14
8066,2003,12
8066,2004,17
8066,2005,14
8066,2006,10
8066,2007,8
8066,2008,13
8066,2009,17
8066,2010,20
8066,2011,24
8066,2012,34
8066,2013,38
8066,2014,42
8066,2015,40
8066,2016,44
8066,2017,53
8067,2000,14
8067,2001,14
8067,2002,14
8067,2003,12
8067,2004,12
8067,2005,13
8067,2006,11
8067,2007,11
8067,2008,15
8067,2009,14
8067,2010,19
8067,2011,20
8067,2012,22
8067,2013,27
8067,2014,31
8067,2015,26
8067,2016,28
8067,2017,33
8068,2000,8
8068,2001,8
8068,2002,8
8068,2003,8
8068,2004,9
8068,2005,9
8068,2006,10
8068,2007,15
8068,2008,15
8068,2009,12
8068,2010,13
8068,2011,14
8068,2012,14
8068,2013,13
8068,2014,17
8068,2015,29
8068,2016,31
8068,2017,32
8069,2000,3
8069,2001,3
8069,2002,3
8069,2003,4
8069,2004,5
8069,2005,6
8069,2006,4
8069,2007,2
8069,2008,2
8069,2009,2
8069,2010,2
8069,2011,3
8069,2012,2
8069,2013,4
8069,2014,4
8069,2015,3
8069,2016,3
8069,2017,3
8071,2000,11
8071,2001,11
8071,2002,11
8071,2003,12
8071,2004,14
8071,2005,14
8071,2006,14
8071,2007,14
8071,2008,16
8071,2009,15
8071,2010,15
8071,2011,20
8071,2012,22
8071,2013,21
8071,2014,22
8071,2015,29
8071,2016,25
8071,2017,31
8072,2000,8
8072,2001,8
8072,2002,8
8072,2003,8
8072,2004,7
8072,2005,7
8072,2006,7
8072,2007,7
8072,2008,9
8072,2009,9
8072,2010,10
8072,2011,9
8072,2012,8
8072,2013,8
8072,2014,8
8072,2015,8
8072,2016,8
8072,2017,8
8073,2000,60
8073,2001,60
8073,2002,60
8073,2003,61
8073,2004,58
8073,2005,62
8073,2006,59
8073,2007,76
8073,2008,79
8073,2009,66
8073,2010,61
8073,2011,62
8073,2012,65
8073,2013,72
8073,2014,77
8073,2015,103
8073,2016,106
8073,2017,111
8074,2000,4
8074,2001,4
8074,2002,4
8074,2003,4
8074,2004,4
8074,2005,3
8074,2006,3
8074,2007,3
8074,2008,4
8074,2009,3
8074,2010,3
8074,2011,5
8074,2012,5
8074,2013,5
8074,2014,7
8074,2015,9
8074,2016,9
8074,2017,7
8075,2000,4
8075,2001,4
8075,2002,4
8075,2003,7
8075,2004,8
8075,2005,9
8075,2006,10
8075,2007,9
8075,2008,9
8075,2009,9
8075,2010,11
8075,2011,10
8075,2012,8
8075,2013,9
8075,2014,11
8075,2015,15
8075,2016,15
8075,2017,14
8076,2000,6
8076,2001,6
8076,2002,6
8076,2003,5
8076,2004,5
8076,2005,4
8076,2006,2
8076,2007,4
8076,2008,5
8076,2009,4
8076,2010,3
8076,2011,5
8076,2012,5
8076,2013,5
8076,2014,7
8076,2015,6
8076,2016,7
8076,2017,8
808,2000,1
808,2001,1
808,2002,1
808,2003,1
808,2004,2
808,2005,2
808,2006,2
808,2007,3
808,2008,3
808,2009,4
808,2010,4
808,2011,4
808,2012,5
808,2013,5
808,2014,6
808,2015,5
808,2016,5
808,2017,6
11,2000,32
11,2001,32
11,2002,32
11,2003,31
11,2004,30
11,2005,31
11,2006,33
11,2007,30
11,2008,39
11,2009,39
11,2010,46
11,2011,47
11,2012,44
11,2013,41
11,2014,47
11,2015,48
11,2016,51
11,2017,51
12,2000,30
12,2001,30
12,2002,30
12,2003,32
12,2004,36
12,2005,33
12,2006,36
12,2007,38
12,2008,35
12,2009,35
12,2010,33
12,2011,37
12,2012,40
12,2013,40
12,2014,47
12,2015,50
12,2016,63
12,2017,74
13,2000,21
13,2001,21
13,2002,21
13,2003,21
13,2004,19
13,2005,20
13,2006,16
13,2007,19
13,2008,19
13,2009,23
13,2010,21
13,2011,23
13,2012,23
13,2013,25
13,2014,23
13,2015,23
13,2016,25
13,2017,33
14,2000,13
14,2001,13
14,2002,13
14,2003,13
14,2004,15
14,2005,16
14,2006,15
14,2007,16
14,2008,15
14,2009,13
14,2010,15
14,2011,14
14,2012,15
14,2013,17
14,2014,17
14,2015,20
14,2016,20
14,2017,22
15,2000,25
15,2001,25
15,2002,25
15,2003,23
15,2004,26
15,2005,25
15,2006,30
15,2007,30
15,2008,32
15,2009,31
15,2010,38
15,2011,31
15,2012,34
15,2013,33
15,2014,33
15,2015,34
15,2016,38
15,2017,46
61,2000,36
61,2001,36
61,2002,36
61,2003,33
61,2004,29
61,2005,32
61,2006,31
61,2007,34
61,2008,34
61,2009,38
61,2010,35
61,2011,29
61,2012,32
61,2013,33
61,2014,37
61,2015,39
61,2016,43
61,2017,42
62,2000,21
62,2001,21
62,2002,21
