geo,time,nettoflytt_utb_ackumulerat
8021,2001,4
8021,2002,0
8021,2003,3
8021,2004,4
8021,2005,0
8021,2006,0
8021,2007,-2
8021,2008,2
8021,2009,1
8021,2010,2
8021,2011,0
8021,2012,4
8021,2013,4
8021,2014,3
8021,2015,2
8021,2016,3
8021,2017,3
8022,2000,3
8022,2001,5
8022,2002,23
8022,2003,8
8022,2004,12
8022,2005,-4
8022,2006,-3
8022,2007,-8
8022,2008,-12
8022,2009,-25
8022,2010,-24
8022,2011,-39
8022,2012,-51
8022,2013,-49
8022,2014,-50
8022,2015,-52
8022,2016,-66
8022,2017,-66
8023,2000,-2
8023,2001,3
8023,2002,-1
8023,2003,1
8023,2004,5
8023,2005,16
8023,2006,12
8023,2007,15
8023,2008,12
8023,2009,9
8023,2010,26
8023,2011,29
8023,2012,30
8023,2013,41
8023,2014,47
8023,2015,62
8023,2016,64
8023,2017,64
8024,2000,11
8024,2001,14
8024,2002,5
8024,2003,34
8024,2004,47
8024,2005,44
8024,2006,60
8024,2007,86
8024,2008,93
8024,2009,62
8024,2010,80
8024,2011,79
8024,2012,51
8024,2013,41
8024,2014,33
8024,2015,32
8024,2016,18
8024,2017,18
8025,2000,1
8025,2001,4
8025,2002,8
8025,2003,6
8025,2004,5
8025,2005,6
8025,2006,8
8025,2007,12
8025,2008,17
8025,2009,18
8025,2010,23
8025,2011,26
8025,2012,32
8025,2013,30
8025,2014,33
8025,2015,34
8025,2016,38
8025,2017,38
8026,2000,2
8026,2001,8
8026,2002,12
8026,2003,17
8026,2004,16
8026,2005,17
8026,2006,14
8026,2007,14
8026,2008,9
8026,2009,15
8026,2010,18
8026,2011,17
8026,2012,15
8026,2013,11
8026,2014,6
8026,2015,8
8026,2016,10
8026,2017,10
8037,2000,8
8037,2001,7
8037,2002,10
8037,2003,14
8037,2004,13
8037,2005,14
8037,2006,17
8037,2007,16
8037,2008,16
8037,2009,16
8037,2010,26
8037,2011,39
8037,2012,48
8037,2013,57
8037,2014,55
8037,2015,62
8037,2016,65
8037,2017,65
8038,2000,4
8038,2001,3
8038,2002,5
8038,2003,6
8038,2004,6
8038,2005,7
8038,2006,13
8038,2007,9
8038,2008,9
8038,2009,13
8038,2010,15
8038,2011,19
8038,2012,18
8038,2013,18
8038,2014,24
8038,2015,21
8038,2016,24
8038,2017,24
8039,2000,-3
8039,2001,-3
8039,2002,3
8039,2003,19
8039,2004,18
8039,2005,25
8039,2006,31
8039,2007,54
8039,2008,75
8039,2009,89
8039,2010,97
8039,2011,107
8039,2012,106
8039,2013,110
8039,2014,106
8039,2015,116
8039,2016,113
8039,2017,113
8041,2000,1
8041,2001,0
8041,2002,-3
8041,2003,-2
8041,2004,0
8041,2005,-1
8041,2006,2
8041,2007,2
8041,2008,1
8041,2009,0
8041,2010,0
8041,2011,1
8041,2012,2
8041,2013,2
8041,2014,9
8041,2015,21
8041,2016,23
8041,2017,23
8042,2000,-3
8042,2001,-3
8042,2002,-4
8042,2003,-6
8042,2004,-3
8042,2005,-4
8042,2006,0
8042,2007,3
8042,2008,0
8042,2009,-1
8042,2010,1
8042,2011,0
8042,2012,0
8042,2013,-4
8042,2014,-2
8042,2015,3
8042,2016,1
8042,2017,1
8043,2000,3
8043,2001,1
8043,2002,5
8043,2003,3
8043,2004,0
8043,2005,4
8043,2006,6
8043,2007,9
8043,2008,5
8043,2009,6
8043,2010,8
8043,2011,6
8043,2012,5
8043,2013,5
8043,2014,6
8043,2015,9
8043,2016,8
8043,2017,8
