geo,time,utbildningsniva_andel_totalt
8017,2016,27.6
8017,2017,26.5
8018,2000,38.8
8018,2001,38.8
8018,2002,38.8
8018,2003,38.8
8018,2004,38.8
8018,2005,40
8018,2006,39
8018,2007,42.1
8018,2008,42.6
8018,2009,42.7
8018,2010,44.2
8018,2011,44.1
8018,2012,44.5
8018,2013,44.1
8018,2014,45.9
8018,2015,46.2
8018,2016,49
8018,2017,48.5
8019,2000,37.6
8019,2001,37.6
8019,2002,37.6
8019,2003,37.6
8019,2004,37.6
8019,2005,40.4
8019,2006,41.3
8019,2007,41.3
8019,2008,41.3
8019,2009,41.9
8019,2010,45.2
8019,2011,45
8019,2012,47.2
8019,2013,48
8019,2014,53.2
8019,2015,53.6
8019,2016,53.4
8019,2017,52.7
8021,2000,18.5
8021,2001,18.5
8021,2002,18.5
8021,2003,18.5
8021,2004,18.5
8021,2005,16.7
8021,2006,17.1
8021,2007,16.8
8021,2008,20.1
8021,2009,19.9
8021,2010,19.3
8021,2011,19.7
8021,2012,24
8021,2013,23.1
8021,2014,20.4
8021,2015,19.4
8021,2016,20.6
8021,2017,22.5
8022,2000,12.6
8022,2001,12.6
8022,2002,12.6
8022,2003,12.6
8022,2004,12.6
8022,2005,12.3
8022,2006,13.1
8022,2007,13.6
8022,2008,15.1
8022,2009,12.9
8022,2010,13.3
8022,2011,11.9
8022,2012,11.3
8022,2013,12.8
8022,2014,13
8022,2015,13.1
8022,2016,12.8
8022,2017,13.7
8023,2000,20
8023,2001,20
8023,2002,20
8023,2003,20
8023,2004,20
8023,2005,27
8023,2006,26.9
8023,2007,29.3
8023,2008,29.5
8023,2009,28.6
8023,2010,31.5
8023,2011,31.7
8023,2012,31.6
8023,2013,34.7
8023,2014,40.7
8023,2015,34.2
8023,2016,31.7
8023,2017,37.7
8024,2000,12.6
8024,2001,12.6
8024,2002,12.6
8024,2003,12.6
8024,2004,12.6
8024,2005,13.4
8024,2006,13.2
8024,2007,16.8
8024,2008,20.1
8024,2009,20.5
8024,2010,22.9
8024,2011,22.9
8024,2012,16.6
8024,2013,17.1
8024,2014,16.6
8024,2015,17.2
8024,2016,17.3
8024,2017,17.4
8025,2000,15.3
8025,2001,15.3
8025,2002,15.3
8025,2003,15.3
8025,2004,15.3
8025,2005,15.1
8025,2006,15.6
8025,2007,16.2
8025,2008,16.7
8025,2009,16.7
8025,2010,19
8025,2011,19.9
8025,2012,21.3
8025,2013,21.7
8025,2014,22.4
8025,2015,22.6
8025,2016,22.7
8025,2017,24.6
8026,2000,23
8026,2001,23
8026,2002,23
8026,2003,23
8026,2004,23
8026,2005,23.7
8026,2006,23.2
8026,2007,23.7
8026,2008,22.5
8026,2009,24.7
8026,2010,26
8026,2011,25.5
8026,2012,24.5
8026,2013,23.4
8026,2014,22.9
8026,2015,23.6
8026,2016,23.8
8026,2017,25.4
8037,2000,32
8037,2001,32
8037,2002,32
8037,2003,32
8037,2004,32
8037,2005,32
8037,2006,32.4
8037,2007,33.1
8037,2008,33.3
8037,2009,35.4
8037,2010,37.2
8037,2011,37.3
8037,2012,39.8
8037,2013,41.9
8037,2014,41.1
8037,2015,41.9
8037,2016,44.4
8037,2017,44.4
8038,2000,29.9
8038,2001,29.9
8038,2002,29.9
8038,2003,29.9
8038,2004,29.9
8038,2005,33.3
8038,2006,36
8038,2007,34
8038,2008,33.2
8038,2009,35.4
8038,2010,35.3
8038,2011,38.9
8038,2012,38.4
8038,2013,38
8038,2014,39.7
8038,2015,39.7
8038,2016,38.6
8038,2017,38.6
8039,2000,23.5
8039,2001,23.5
8039,2002,23.5
8039,2003,23.5
8039,2004,23.5
8039,2005,25.6
8039,2006,26.9
8039,2007,29.5
8039,2008,31.9
8039,2009,34.2
8039,2010,35.7
8039,2011,36.7
8039,2012,37.7
8039,2013,38.8
8039,2014,39.1
8039,2015,38.3
8039,2016,37.5
8039,2017,38.8
8041,2000,8.5
8041,2001,8.5
8041,2002,8.5
8041,2003,8.5
8041,2004,8.5
8041,2005,9.8
8041,2006,13.8
8041,2007,14.7
8041,2008,13
8041,2009,13.1
8041,2010,13.1
8041,2011,14.4
8041,2012,15.2
8041,2013,18.4
8041,2014,21.4
8041,2015,22.1
8041,2016,22
8041,2017,20.5
8042,2000,12.7
8042,2001,12.7
8042,2002,12.7
8042,2003,12.7
8042,2004,12.7
8042,2005,12.5
8042,2006,18.5
8042,2007,20.4
8042,2008,20
8042,2009,20.3
8042,2010,21.1
8042,2011,18.2
8042,2012,19.5
8042,2013,16.9
8042,2014,18.6
8042,2015,21.6
8042,2016,19.8
8042,2017,20.6
8043,2000,6
8043,2001,6
8043,2002,6
8043,2003,6
8043,2004,6
8043,2005,7.6
8043,2006,10.5
8043,2007,11.5
8043,2008,9.5
8043,2009,10
8043,2010,13.2
8043,2011,10.4
8043,2012,11.6
8043,2013,9.7
8043,2014,10.9
8043,2015,12.5
8043,2016,12.7
8043,2017,12.7
8044,2000,24.7
8044,2001,24.7
8044,2002,24.7
8044,2003,24.7
8044,2004,24.7
8044,2005,27.6
8044,2006,27.5
8044,2007,26.1
8044,2008,27.6
8044,2009,29.2
8044,2010,33
8044,2011,30.2
8044,2012,31.6
8044,2013,30.7
8044,2014,33.5
8044,2015,32.4
8044,2016,32.4
8044,2017,31
8045,2000,11
8045,2001,11
8045,2002,11
8045,2003,11
8045,2004,11
8045,2005,10.8
8045,2006,11.3
8045,2007,11.3
8045,2008,11.5
8045,2009,11.4
8045,2010,11.3
8045,2011,14.8
8045,2012,14.8
8045,2013,13.2
8045,2014,17.3
8045,2015,19.5
8045,2016,20.3
8045,2017,21.5
8057,2000,21
8057,2001,21
8057,2002,21
8057,2003,21
8057,2004,21
8057,2005,21.2
8057,2006,21.1
8057,2007,21.9
8057,2008,22.3
8057,2009,22.9
8057,2010,23.1
8057,2011,24
8057,2012,24.4
8057,2013,25.5
8057,2014,26.5
8057,2015,28.4
8057,2016,29.6
8057,2017,28.4
8061,2000,26.5
8061,2001,26.5
8061,2002,26.5
8061,2003,26.5
8061,2004,26.5
8061,2005,27.9
8061,2006,28.3
8061,2007,29.1
8061,2008,29.2
8061,2009,29.1
8061,2010,30.5
8061,2011,30.1
8061,2012,29.1
8061,2013,29.8
8061,2014,30.6
8061,2015,32.1
8061,2016,34
8061,2017,35.3
8062,2000,28.7
8062,2001,28.7
8062,2002,28.7
8062,2003,28.7
8062,2004,28.7
8062,2005,30.8
8062,2006,31.3
8062,2007,32.3
8062,2008,32.5
8062,2009,33.3
8062,2010,33.9
8062,2011,34.1
8062,2012,34.3
8062,2013,35.1
8062,2014,36.3
8062,2015,36.3
8062,2016,36.2
8062,2017,37.7
8063,2000,0
