geo,time,forvarvsfrekvens_man
8018,2013,80.7
8018,2014,82.4
8018,2015,82.3
8018,2016,84.3
8019,2000,83.1
8019,2001,83.1
8019,2002,82.4
8019,2003,81.7
8019,2004,81.7
8019,2005,84.3
8019,2006,83.3
8019,2007,83
8019,2008,84.3
8019,2009,81.4
8019,2010,86.2
8019,2011,85.5
8019,2012,84
8019,2013,86.6
8019,2014,88.5
8019,2015,85.9
8019,2016,84.7
8021,2000,80.5
8021,2001,80.5
8021,2002,84.5
8021,2003,80.3
8021,2004,78.8
8021,2005,82.8
8021,2006,79.6
8021,2007,80.2
8021,2008,80.7
8021,2009,78.8
8021,2010,78.7
8021,2011,78.8
8021,2012,74
8021,2013,77.8
8021,2014,65.8
8021,2015,61.3
8021,2016,72
8022,2000,51.4
8022,2001,51.4
8022,2002,50.5
8022,2003,48.4
8022,2004,49.9
8022,2005,51.2
8022,2006,49.6
8022,2007,50.2
8022,2008,49.1
8022,2009,38.3
8022,2010,42
8022,2011,39.6
8022,2012,38.7
8022,2013,38.9
8022,2014,40
8022,2015,39.4
8022,2016,44.2
8023,2000,46.9
8023,2001,46.9
8023,2002,68.6
8023,2003,51.8
8023,2004,51
8023,2005,52.5
8023,2006,64.8
8023,2007,69.6
8023,2008,74.5
8023,2009,72.2
8023,2010,51.9
8023,2011,51.5
8023,2012,53
8023,2013,48.3
8023,2014,54.9
8023,2015,42.9
8023,2016,44.3
8024,2000,46.7
8024,2001,46.7
8024,2002,45
8024,2003,40.2
8024,2004,35.1
8024,2005,31.3
8024,2006,30.5
8024,2007,27.7
8024,2008,26.5
8024,2009,25
8024,2010,22.7
8024,2011,21.1
8024,2012,28.5
8024,2013,30.8
8024,2014,33.3
8024,2015,34.3
8024,2016,35
8025,2000,85.8
8025,2001,85.8
8025,2002,86.5
8025,2003,83.9
8025,2004,84.5
8025,2005,85.3
8025,2006,84.8
8025,2007,85.8
8025,2008,83.1
8025,2009,79.7
8025,2010,82.4
8025,2011,82.1
8025,2012,84.5
8025,2013,82.5
8025,2014,82.5
8025,2015,76.2
8025,2016,67.3
8026,2000,83.5
8026,2001,83.5
8026,2002,84.4
8026,2003,80.4
8026,2004,81.5
8026,2005,85.7
8026,2006,85.5
8026,2007,83.1
8026,2008,85.5
8026,2009,86.9
8026,2010,87.9
8026,2011,86.6
8026,2012,85.2
8026,2013,85.3
8026,2014,83
8026,2015,78.7
8026,2016,76.2
8037,2000,79.7
8037,2001,79.7
8037,2002,81.9
8037,2003,82.9
8037,2004,79.7
8037,2005,78.7
8037,2006,85.3
8037,2007,78.7
8037,2008,76.3
8037,2009,75
8037,2010,80
8037,2011,82
8037,2012,84
8037,2013,81.5
8037,2014,79.8
8037,2015,81.7
8037,2016,78.8
8038,2000,83.5
8038,2001,83.5
8038,2002,88.2
8038,2003,84.7
8038,2004,82
8038,2005,81
8038,2006,85.4
8038,2007,85.9
8038,2008,88.5
8038,2009,90.7
8038,2010,88.4
8038,2011,90.2
8038,2012,89.4
8038,2013,90.5
8038,2014,84.5
8038,2015,87.4
8038,2016,90.3
8039,2000,81.9
8039,2001,81.9
8039,2002,80.2
8039,2003,80.7
8039,2004,80.2
8039,2005,80.4
8039,2006,81.6
8039,2007,82.1
8039,2008,84.8
8039,2009,81.2
8039,2010,81.9
8039,2011,85.5
8039,2012,82.5
8039,2013,83
8039,2014,82.8
8039,2015,80.8
8039,2016,80.9
8041,2000,79
8041,2001,79
8041,2002,85
8041,2003,82.1
8041,2004,81.1
8041,2005,73.7
8041,2006,78.7
8041,2007,83
8041,2008,81.6
8041,2009,79.2
8041,2010,78.4
8041,2011,75.9
8041,2012,74.1
8041,2013,78
8041,2014,80.4
8041,2015,78.3
8041,2016,79.7
8042,2000,72.3
8042,2001,72.3
8042,2002,73.6
8042,2003,71.4
8042,2004,71.1
8042,2005,76.5
8042,2006,75.6
8042,2007,80.8
8042,2008,80.3
8042,2009,82.4
8042,2010,81.3
8042,2011,85.3
8042,2012,84.4
8042,2013,75.6
8042,2014,80.7
8042,2015,74.7
8042,2016,75.3
8043,2000,69.1
8043,2001,69.1
8043,2002,64.6
8043,2003,62
8043,2004,63.5
8043,2005,60.9
8043,2006,71.2
8043,2007,71.8
8043,2008,66.7
8043,2009,66.2
8043,2010,66.7
8043,2011,75
8043,2012,69.8
8043,2013,75.8
8043,2014,71.4
8043,2015,73.8
8043,2016,69.4
8044,2000,87.2
8044,2001,87.2
8044,2002,92.4
8044,2003,86.1
8044,2004,83.5
8044,2005,83.1
8044,2006,86.9
8044,2007,86.9
8044,2008,89.4
8044,2009,88.1
8044,2010,89.7
8044,2011,86.4
8044,2012,88.2
8044,2013,89.4
8044,2014,87.8
8044,2015,89.5
8044,2016,86.7
8045,2000,78.3
8045,2001,78.3
8045,2002,81.7
8045,2003,76.8
8045,2004,62.9
8045,2005,76.6
8045,2006,73.1
8045,2007,76
8045,2008,69.1
8045,2009,65.1
8045,2010,68.8
8045,2011,76.3
8045,2012,77.8
8045,2013,75.8
8045,2014,67.6
8045,2015,70.3
8045,2016,70.7
8057,2000,80.8
8057,2001,80.8
8057,2002,81.9
8057,2003,84.3
8057,2004,84.8
8057,2005,84.8
8057,2006,88.9
8057,2007,84.1
8057,2008,85.8
8057,2009,82.6
8057,2010,86.1
8057,2011,87.8
8057,2012,86.2
8057,2013,87.5
8057,2014,89.9
8057,2015,87.5
8057,2016,90.7
8061,2000,84.2
8061,2001,84.2
8061,2002,87.5
8061,2003,86.3
8061,2004,88.5
8061,2005,88
8061,2006,91.7
8061,2007,89.5
8061,2008,88.9
8061,2009,88.4
8061,2010,89.4
8061,2011,89.1
8061,2012,90.2
8061,2013,87.8
8061,2014,88.8
8061,2015,89.8
8061,2016,91.4
8062,2000,89.7
8062,2001,89.7
8062,2002,89.3
8062,2003,87.7
8062,2004,90
8062,2005,89.1
8062,2006,89.6
8062,2007,88.9
8062,2008,89.4
8062,2009,87.6
8062,2010,88
8062,2011,89.9
8062,2012,90.5
8062,2013,90.7
8062,2014,92
8062,2015,90
8062,2016,91.1
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,97.6
8063,2009,96.6
8063,2010,98.6
8063,2011,98.8
8063,2012,99
8063,2013,98.1
8063,2014,97.4
8063,2015,97.4
8063,2016,98.3
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,66.7
8064,2016,84.6
8065,2000,0
8065,2001,0
8065,2002,100
8065,2003,0
8065,2004,100
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,50
8065,2009,33.3
8065,2010,33.3
8065,2011,0
8065,2012,0
8065,2013,100
8065,2014,0
8065,2015,100
8065,2016,50
8066,2000,69.5
8066,2001,69.5
8066,2002,69.9
8066,2003,68.3
8066,2004,72.1
8066,2005,67.1
8066,2006,73.2
8066,2007,69.6
8066,2008,69.5
8066,2009,55.5
8066,2010,61.4
8066,2011,55.6
8066,2012,56.3
8066,2013,56.7
8066,2014,54.5
8066,2015,57.6
8066,2016,62.4
8067,2000,84
8067,2001,84
8067,2002,85.2
8067,2003,83.4
8067,2004,85
8067,2005,82.5
8067,2006,84.1
8067,2007,84.1
8067,2008,84.3
8067,2009,83.6
8067,2010,85.9
8067,2011,89.3
8067,2012,89.6
8067,2013,87.5
8067,2014,86.7
8067,2015,88.5
8067,2016,94.7
8068,2000,89
8068,2001,89
8068,2002,87.8
8068,2003,84.5
8068,2004,86.2
8068,2005,86.3
8068,2006,86.3
8068,2007,88.5
8068,2008,86
8068,2009,86.3
8068,2010,84.3
8068,2011,89.3
8068,2012,88.3
8068,2013,85.6
8068,2014,85.3
8068,2015,81.2
8068,2016,83
8069,2000,80.9
8069,2001,80.9
8069,2002,78.3
8069,2003,79.2
8069,2004,80
8069,2005,81.1
8069,2006,84.8
8069,2007,89.8
8069,2008,89.4
8069,2009,87.5
8069,2010,83.3
8069,2011,83.7
8069,2012,79.2
8069,2013,78.4
8069,2014,76.9
8069,2015,82.4
8069,2016,84
8071,2000,84.8
8071,2001,84.8
8071,2002,85.5
8071,2003,90.7
8071,2004,88.5
8071,2005,88
8071,2006,90.8
8071,2007,89.4
8071,2008,89.8
8071,2009,89.4
8071,2010,88.6
8071,2011,91.2
8071,2012,93.1
8071,2013,93.3
8071,2014,90.9
8071,2015,91.2
8071,2016,89.7
8072,2000,87.3
8072,2001,87.3
8072,2002,82.4
8072,2003,82.8
8072,2004,85.5
8072,2005,85.5
8072,2006,90.3
8072,2007,93.4
8072,2008,86.7
8072,2009,84.1
8072,2010,78.5
8072,2011,86.7
8072,2012,85
8072,2013,83.9
8072,2014,78.3
8072,2015,79.4
8072,2016,80.6
8073,2000,66.1
8073,2001,66.1
8073,2002,65
8073,2003,63.5
8073,2004,64.4
8073,2005,64.6
8073,2006,67.6
8073,2007,68.9
8073,2008,67.1
8073,2009,64.1
8073,2010,67.1
8073,2011,70.1
8073,2012,67.8
8073,2013,68.5
8073,2014,67.8
8073,2015,63.6
8073,2016,68.3
8074,2000,87.6
8074,2001,87.6
8074,2002,87.5
8074,2003,87.2
8074,2004,83.8
8074,2005,87.4
8074,2006,89
8074,2007,88.4
8074,2008,88.1
8074,2009,84.1
8074,2010,87.3
8074,2011,87.7
8074,2012,89.4
8074,2013,88.9
8074,2014,91.3
8074,2015,89.5
8074,2016,92.1
8075,2000,82.1
8075,2001,82.1
8075,2002,85.9
8075,2003,85
8075,2004,87.1
8075,2005,85.4
8075,2006,85.7
8075,2007,88.3
8075,2008,89.1
8075,2009,90
8075,2010,88.2
8075,2011,91.9
8075,2012,92.6
8075,2013,91
8075,2014,90.1
8075,2015,92.6
8075,2016,90
8076,2000,82.8
8076,2001,82.8
8076,2002,82.8
8076,2003,82.1
8076,2004,82.7
8076,2005,84
8076,2006,84.3
8076,2007,86.4
8076,2008,86.4
8076,2009,90.2
8076,2010,84.7
8076,2011,83.7
8076,2012,84.9
8076,2013,86.9
8076,2014,89.9
8076,2015,89.7
8076,2016,88.6
808,2000,89.1
808,2001,89.1
808,2002,89.5
808,2003,89.8
808,2004,88.3
808,2005,87.7
808,2006,87.9
808,2007,90.9
808,2008,89.1
808,2009,84.5
808,2010,78
808,2011,86.7
808,2012,82.8
808,2013,87.7
808,2014,84.2
808,2015,86
808,2016,89.3
11,2000,75.6
11,2001,75.6
11,2002,76.1
11,2003,75.5
11,2004,79.3
11,2005,78.6
11,2006,82.6
11,2007,81.1
11,2008,82.1
11,2009,79.3
11,2010,78.5
11,2011,81.6
11,2012,80
11,2013,81.5
11,2014,78.5
11,2015,77.6
11,2016,79.4
12,2000,81.4
12,2001,81.4
12,2002,82.6
12,2003,80.4
12,2004,83.5
12,2005,82.5
12,2006,86
12,2007,85.9
12,2008,84.7
12,2009,81.4
12,2010,82.2
12,2011,84
12,2012,85.1
12,2013,84.6
12,2014,84.9
12,2015,85.7
12,2016,88.1
13,2000,79.6
13,2001,79.6
13,2002,78
13,2003,77
13,2004,79.6
13,2005,79.1
13,2006,84.1
13,2007,84.7
13,2008,82.3
13,2009,80
13,2010,83.3
13,2011,82.1
13,2012,83.1
13,2013,81.2
13,2014,81.5
13,2015,83.4
13,2016,83
14,2000,78
14,2001,78
14,2002,80.2
14,2003,81.5
14,2004,82.4
14,2005,82.9
14,2006,85.2
14,2007,86.9
14,2008,84.8
14,2009,82.5
14,2010,82.3
14,2011,82.1
14,2012,80.5
14,2013,80.8
14,2014,84.4
14,2015,85
14,2016,85.4
15,2000,79.4
15,2001,79.4
15,2002,79.7
15,2003,80.8
15,2004,83.9
15,2005,82.8
15,2006,84.3
15,2007,83.7
15,2008,83.7
15,2009,83.8
15,2010,82.8
15,2011,87.1
15,2012,85.9
15,2013,87.9
15,2014,87.5
15,2015,86.5
15,2016,86
61,2000,76.6
61,2001,76.6
61,2002,74.8
61,2003,76.2
61,2004,79.7
61,2005,80.2
61,2006,81.9
61,2007,83.9
61,2008,81.6
61,2009,78.7
61,2010,79
61,2011,78.3
61,2012,78.8
61,2013,79.2
61,2014,80.8
61,2015,80.1
61,2016,81.4
62,2000,79
62,2001,79
62,2002,78.4
62,2003,79.8
62,2004,78.5
62,2005,81.8
62,2006,82.5
62,2007,83.5
62,2008,79.5
62,2009,76.8
62,2010,78
62,2011,78.3
62,2012,76.9
62,2013,79.2
62,2014,77.6
62,2015,77.2
62,2016,63.6
63,2000,74.6
63,2001,74.6
63,2002,77.2
63,2003,76.3
63,2004,78.8
63,2005,80.9
63,2006,80.3
63,2007,81.6
63,2008,83.9
63,2009,83
63,2010,82.4
63,2011,81.9
63,2012,80.6
63,2013,81.4
63,2014,77.8
63,2015,76.6
63,2016,80.4
81,2000,73.1
81,2001,73.1
81,2002,71.1
81,2003,71.3
81,2004,75.2
81,2005,77.5
81,2006,79.4
81,2007,79.9
81,2008,74.8
81,2009,72.7
81,2010,71
81,2011,80.7
81,2012,75.5
81,2013,75.7
81,2014,81
81,2015,75
81,2016,80.5
82,2000,83.7
82,2001,83.7
82,2002,83.5
82,2003,83.7
82,2004,86.3
82,2005,85.7
82,2006,85.5
82,2007,85.7
82,2008,86.7
82,2009,85.9
82,2010,85.5
82,2011,88.8
82,2012,89
82,2013,89.1
82,2014,89.5
82,2015,88.7
82,2016,91.3
83,2000,77.8
83,2001,77.8
83,2002,72.7
83,2003,73.7
83,2004,82.6
83,2005,80
83,2006,86.5
83,2007,84.3
83,2008,87.1
83,2009,80.5
83,2010,83.5
83,2011,93.8
83,2012,92.6
83,2013,94.7
83,2014,93.1
83,2015,90.5
83,2016,91.3
2,2000,78.7
2,2001,78.7
2,2002,80.7
2,2003,79.2
2,2004,80.9
2,2005,81
2,2006,83.9
2,2007,83.8
2,2008,82.4
2,2009,81.3
2,2010,85
2,2011,86.9
2,2012,83.1
2,2013,82.7
2,2014,84.3
2,2015,84.6
2,2016,84.2
5,2000,83.2
5,2001,83.2
5,2002,83.3
5,2003,83.2
5,2004,85.1
5,2005,85.2
5,2006,85.7
5,2007,87
5,2008,86.5
5,2009,85.3
5,2010,84.8
5,2011,86.2
5,2012,85.9
5,2013,86
5,2014,85.9
5,2015,86.1
5,2016,86
7,2000,83
7,2001,83
7,2002,85
7,2003,84.2
7,2004,84.3
7,2005,84.1
7,2006,85.3
7,2007,86.8
7,2008,85.8
7,2009,85.1
7,2010,86.3
7,2011,88.9
7,2012,87.5
7,2013,87
7,2014,86.3
7,2015,87.3
7,2016,88.7
