geo,time,medelinkomst_20_64_ar_man
8019,2002,365047
8019,2003,373846
8019,2004,375972
8019,2005,403283
8019,2006,416086
8019,2007,412737
8019,2008,417660
8019,2009,415993
8019,2010,440901
8019,2011,471823
8019,2012,480190
8019,2013,489072
8019,2014,513643
8019,2015,506716
8019,2016,522865
8019,2017,527342
8021,2000,236034
8021,2001,239396
8021,2002,260929
8021,2003,282857
8021,2004,262451
8021,2005,269459
8021,2006,262410
8021,2007,268095
8021,2008,273369
8021,2009,275522
8021,2010,269163
8021,2011,264753
8021,2012,274523
8021,2013,283861
8021,2014,262839
8021,2015,252141
8021,2016,269901
8021,2017,289233
8022,2000,127481
8022,2001,144925
8022,2002,145516
8022,2003,143440
8022,2004,142100
8022,2005,152771
8022,2006,151466
8022,2007,151027
8022,2008,153095
8022,2009,137403
8022,2010,139556
8022,2011,140178
8022,2012,138188
8022,2013,147271
8022,2014,142950
8022,2015,139736
8022,2016,148103
8022,2017,167121
8023,2000,174884
8023,2001,160392
8023,2002,245706
8023,2003,203630
8023,2004,210296
8023,2005,215155
8023,2006,254933
8023,2007,286322
8023,2008,293078
8023,2009,318206
8023,2010,253681
8023,2011,192482
8023,2012,187623
8023,2013,193613
8023,2014,227055
8023,2015,201307
8023,2016,208703
8023,2017,212046
8024,2000,109800
8024,2001,119944
8024,2002,120468
8024,2003,111934
8024,2004,100769
8024,2005,89517
8024,2006,81025
8024,2007,75878
8024,2008,73505
8024,2009,74324
8024,2010,68084
8024,2011,63068
8024,2012,86472
8024,2013,94953
8024,2014,100232
8024,2015,107911
8024,2016,116587
8024,2017,128372
8025,2000,262449
8025,2001,265683
8025,2002,277095
8025,2003,270339
8025,2004,276720
8025,2005,288558
8025,2006,306787
8025,2007,318629
8025,2008,318330
8025,2009,305761
8025,2010,317049
8025,2011,322863
8025,2012,332095
8025,2013,333652
8025,2014,325802
8025,2015,309091
8025,2016,284490
8025,2017,318650
8026,2000,278305
8026,2001,274459
8026,2002,286048
8026,2003,289903
8026,2004,308856
8026,2005,312661
8026,2006,334322
8026,2007,323801
8026,2008,335349
8026,2009,341503
8026,2010,354944
8026,2011,360095
8026,2012,358984
8026,2013,363516
8026,2014,357523
8026,2015,342185
8026,2016,342272
8026,2017,369236
8037,2000,338231
8037,2001,339932
8037,2002,410786
8037,2003,374742
8037,2004,403270
8037,2005,496287
8037,2006,444071
8037,2007,470812
8037,2008,462362
8037,2009,490095
8037,2010,482389
8037,2011,514627
8037,2012,513472
8037,2013,533728
8037,2014,547795
8037,2015,597179
8037,2016,594869
8037,2017,638147
8038,2000,355505
8038,2001,374221
8038,2002,388831
8038,2003,396399
8038,2004,383189
8038,2005,441452
8038,2006,447317
8038,2007,451225
8038,2008,463804
8038,2009,477419
8038,2010,476648
8038,2011,471217
8038,2012,467758
8038,2013,542461
8038,2014,473069
8038,2015,493464
8038,2016,479028
8038,2017,515648
8039,2000,254483
8039,2001,268836
8039,2002,286783
8039,2003,291041
8039,2004,303546
8039,2005,315653
8039,2006,332737
8039,2007,327700
8039,2008,350452
8039,2009,352299
8039,2010,348364
8039,2011,365359
8039,2012,380097
8039,2013,394564
8039,2014,417269
8039,2015,402238
8039,2016,415976
8039,2017,422171
8041,2000,440510
8041,2001,510966
8041,2002,311918
8041,2003,260836
8041,2004,274520
8041,2005,276020
8041,2006,287286
8041,2007,321311
8041,2008,330243
8041,2009,357794
8041,2010,348831
8041,2011,330052
8041,2012,340573
8041,2013,351370
8041,2014,374309
8041,2015,398472
8041,2016,399018
8041,2017,395797
8042,2000,229203
8042,2001,225245
8042,2002,243959
8042,2003,241799
8042,2004,255792
8042,2005,265632
8042,2006,288850
8042,2007,303512
8042,2008,306461
8042,2009,325641
8042,2010,324097
8042,2011,319724
8042,2012,334048
8042,2013,330463
8042,2014,354278
8042,2015,339903
8042,2016,332527
8042,2017,345450
8043,2000,192578
8043,2001,197668
8043,2002,216346
8043,2003,221776
8043,2004,220333
