geo,time,boende_efter_bostadstyp_bostadsratt
8022,2004,0
8022,2005,0
8022,2006,0
8022,2007,0
8022,2008,0
8022,2009,0
8022,2010,0
8022,2011,0
8022,2012,0
8022,2013,0
8022,2014,0
8022,2015,0
8022,2016,0
8022,2017,0
8023,2000,0
8023,2001,0
8023,2002,0
8023,2003,0
8023,2004,0
8023,2005,0
8023,2006,0
8023,2007,0
8023,2008,0
8023,2009,0
8023,2010,0
8023,2011,0
8023,2012,0
8023,2013,0
8023,2014,0
8023,2015,0
8023,2016,0
8023,2017,0
8024,2000,0
8024,2001,0
8024,2002,0
8024,2003,0
8024,2004,0
8024,2005,0
8024,2006,0
8024,2007,0
8024,2008,0
8024,2009,0
8024,2010,0
8024,2011,0
8024,2012,0
8024,2013,0
8024,2014,0
8024,2015,0
8024,2016,0
8024,2017,0
8025,2000,0
8025,2001,0
8025,2002,0
8025,2003,0
8025,2004,0
8025,2005,0
8025,2006,0
8025,2007,0
8025,2008,0
8025,2009,0
8025,2010,0
8025,2011,0
8025,2012,0
8025,2013,0
8025,2014,0
8025,2015,0
8025,2016,0
8025,2017,0
8026,2000,171
8026,2001,171
8026,2002,179
8026,2003,179
8026,2004,169
8026,2005,169
8026,2006,167
8026,2007,169
8026,2008,167
8026,2009,180
8026,2010,182
8026,2011,173
8026,2012,177
8026,2013,181
8026,2014,178
8026,2015,169
8026,2016,170
8026,2017,174
8037,2000,0
8037,2001,0
8037,2002,0
8037,2003,0
8037,2004,0
8037,2005,0
8037,2006,0
8037,2007,0
8037,2008,0
8037,2009,0
8037,2010,0
8037,2011,0
8037,2012,0
8037,2013,0
8037,2014,0
8037,2015,0
8037,2016,0
8037,2017,0
8038,2000,0
8038,2001,0
8038,2002,0
8038,2003,0
8038,2004,0
8038,2005,0
8038,2006,0
8038,2007,0
8038,2008,0
8038,2009,0
8038,2010,0
8038,2011,0
8038,2012,0
8038,2013,0
8038,2014,0
8038,2015,0
8038,2016,0
8038,2017,0
8039,2000,0
8039,2001,0
8039,2002,0
8039,2003,0
8039,2004,0
8039,2005,0
8039,2006,0
8039,2007,0
8039,2008,0
8039,2009,0
8039,2010,0
8039,2011,0
8039,2012,0
8039,2013,0
8039,2014,0
8039,2015,0
8039,2016,0
8039,2017,0
8041,2000,0
8041,2001,0
8041,2002,0
8041,2003,0
8041,2004,0
8041,2005,0
8041,2006,0
8041,2007,0
8041,2008,0
8041,2009,0
8041,2010,0
8041,2011,0
8041,2012,0
8041,2013,0
8041,2014,0
8041,2015,0
8041,2016,0
8041,2017,0
8042,2000,0
8042,2001,0
8042,2002,0
8042,2003,0
8042,2004,0
8042,2005,0
8042,2006,0
8042,2007,0
8042,2008,0
8042,2009,0
8042,2010,0
8042,2011,0
8042,2012,0
8042,2013,0
8042,2014,0
8042,2015,0
8042,2016,0
8042,2017,0
8043,2000,144
8043,2001,144
8043,2002,150
8043,2003,150
8043,2004,140
8043,2005,140
8043,2006,137
8043,2007,144
8043,2008,141
8043,2009,141
8043,2010,136
8043,2011,138
8043,2012,134
8043,2013,144
8043,2014,138
8043,2015,138
8043,2016,138
8043,2017,140
8044,2000,0
8044,2001,0
8044,2002,0
8044,2003,0
8044,2004,0
8044,2005,0
8044,2006,0
8044,2007,0
8044,2008,0
8044,2009,0
8044,2010,0
8044,2011,0
8044,2012,0
8044,2013,0
8044,2014,0
8044,2015,0
8044,2016,0
8044,2017,0
8045,2000,0
8045,2001,0
8045,2002,0
8045,2003,0
8045,2004,0
8045,2005,0
8045,2006,0
8045,2007,30
8045,2008,28
8045,2009,0
8045,2010,0
8045,2011,0
8045,2012,0
8045,2013,0
8045,2014,0
8045,2015,0
8045,2016,0
8045,2017,0
8057,2000,0
8057,2001,0
8057,2002,0
8057,2003,0
8057,2004,0
8057,2005,0
8057,2006,0
8057,2007,0
8057,2008,0
8057,2009,0
8057,2010,0
8057,2011,0
8057,2012,0
8057,2013,0
8057,2014,0
8057,2015,0
8057,2016,0
8057,2017,0
8061,2000,0
8061,2001,0
8061,2002,0
8061,2003,0
8061,2004,0
8061,2005,0
8061,2006,0
8061,2007,0
8061,2008,0
8061,2009,0
8061,2010,0
8061,2011,0
8061,2012,0
8061,2013,0
8061,2014,0
8061,2015,0
8061,2016,0
8061,2017,0
8062,2000,0
8062,2001,0
8062,2002,0
8062,2003,0
8062,2004,0
8062,2005,0
8062,2006,0
8062,2007,0
8062,2008,0
8062,2009,0
8062,2010,0
8062,2011,0
8062,2012,0
8062,2013,0
8062,2014,0
8062,2015,0
8062,2016,0
8062,2017,0
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,0
8063,2009,0
8063,2010,0
8063,2011,0
8063,2012,0
8063,2013,0
8063,2014,0
8063,2015,0
8063,2016,0
8063,2017,0
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,0
8064,2016,0
8064,2017,0
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,0
8066,2001,0
8066,2002,0
8066,2003,0
8066,2004,0
8066,2005,0
8066,2006,0
8066,2007,0
8066,2008,0
8066,2009,0
8066,2010,0
8066,2011,0
8066,2012,0
8066,2013,0
8066,2014,0
8066,2015,0
8066,2016,0
8066,2017,0
8067,2000,0
8067,2001,0
8067,2002,0
8067,2003,0
8067,2004,0
8067,2005,0
8067,2006,0
8067,2007,0
8067,2008,0
8067,2009,0
8067,2010,0
8067,2011,0
8067,2012,0
8067,2013,0
8067,2014,0
8067,2015,0
8067,2016,0
8067,2017,0
8068,2000,0
8068,2001,0
8068,2002,0
8068,2003,0
8068,2004,0
8068,2005,0
8068,2006,0
8068,2007,0
8068,2008,0
8068,2009,0
8068,2010,0
8068,2011,0
8068,2012,0
8068,2013,0
8068,2014,0
8068,2015,0
8068,2016,0
8068,2017,0
8069,2000,0
8069,2001,0
8069,2002,0
8069,2003,0
8069,2004,0
8069,2005,0
8069,2006,0
8069,2007,0
8069,2008,0
8069,2009,0
8069,2010,0
8069,2011,0
8069,2012,0
8069,2013,0
8069,2014,0
8069,2015,0
8069,2016,0
8069,2017,0
8071,2000,0
8071,2001,0
8071,2002,0
8071,2003,0
8071,2004,0
8071,2005,0
8071,2006,0
8071,2007,0
8071,2008,0
8071,2009,0
8071,2010,0
8071,2011,0
8071,2012,0
8071,2013,0
8071,2014,0
8071,2015,0
8071,2016,0
8071,2017,0
8072,2000,0
8072,2001,0
8072,2002,0
8072,2003,0
8072,2004,0
8072,2005,0
8072,2006,0
8072,2007,0
8072,2008,0
8072,2009,0
8072,2010,0
8072,2011,0
8072,2012,0
8072,2013,0
8072,2014,0
8072,2015,0
8072,2016,0
8072,2017,0
8073,2000,0
8073,2001,0
8073,2002,0
8073,2003,0
8073,2004,0
8073,2005,0
8073,2006,0
8073,2007,0
8073,2008,0
8073,2009,0
8073,2010,0
8073,2011,0
8073,2012,0
8073,2013,0
8073,2014,0
8073,2015,0
8073,2016,0
8073,2017,0
8074,2000,0
8074,2001,0
8074,2002,0
8074,2003,0
8074,2004,0
8074,2005,0
8074,2006,0
8074,2007,0
8074,2008,0
8074,2009,0
8074,2010,0
8074,2011,0
8074,2012,0
8074,2013,0
8074,2014,0
8074,2015,0
8074,2016,0
8074,2017,0
8075,2000,0
8075,2001,0
8075,2002,0
8075,2003,0
8075,2004,0
8075,2005,0
8075,2006,0
8075,2007,0
8075,2008,0
8075,2009,0
8075,2010,0
8075,2011,0
8075,2012,0
8075,2013,0
8075,2014,0
8075,2015,0
8075,2016,0
8075,2017,0
8076,2000,0
8076,2001,0
8076,2002,0
8076,2003,0
8076,2004,0
8076,2005,0
8076,2006,0
8076,2007,0
8076,2008,0
8076,2009,0
8076,2010,0
8076,2011,0
8076,2012,0
8076,2013,0
8076,2014,0
8076,2015,0
8076,2016,0
8076,2017,0
808,2000,0
808,2001,0
808,2002,0
808,2003,0
808,2004,0
808,2005,0
808,2006,0
808,2007,0
808,2008,0
808,2009,0
808,2010,0
808,2011,0
