geo,time,utbildningsniva_andel_man
8017,2013,24.3
8017,2014,27.2
8017,2015,29.5
8017,2016,32.8
8017,2017,29.6
8018,2000,37.6
8018,2001,37.6
8018,2002,37.6
8018,2003,37.6
8018,2004,37.6
8018,2005,36.7
8018,2006,34.9
8018,2007,38.2
8018,2008,38.7
8018,2009,40.2
8018,2010,40.1
8018,2011,39.6
8018,2012,39.5
8018,2013,38.2
8018,2014,41.4
8018,2015,39.8
8018,2016,42.6
8018,2017,42
8019,2000,40.2
8019,2001,40.2
8019,2002,40.2
8019,2003,40.2
8019,2004,40.2
8019,2005,44.7
8019,2006,45.2
8019,2007,43.6
8019,2008,43.4
8019,2009,43.6
8019,2010,46.1
8019,2011,44.7
8019,2012,45.5
8019,2013,45.2
8019,2014,50
8019,2015,49.7
8019,2016,50.3
8019,2017,48.2
8021,2000,16.3
8021,2001,16.3
8021,2002,16.3
8021,2003,16.3
8021,2004,16.3
8021,2005,13.8
8021,2006,18.3
8021,2007,13.2
8021,2008,17
8021,2009,15.3
8021,2010,15.7
8021,2011,16.5
8021,2012,21.9
8021,2013,20.8
8021,2014,15.2
8021,2015,16.3
8021,2016,17.1
8021,2017,18.9
8022,2000,13.2
8022,2001,13.2
8022,2002,13.2
8022,2003,13.2
8022,2004,13.2
8022,2005,12.1
8022,2006,14
8022,2007,16.3
8022,2008,17.3
8022,2009,15.5
8022,2010,16.1
8022,2011,13.8
8022,2012,13
8022,2013,14.5
8022,2014,13.7
8022,2015,15
8022,2016,14
8022,2017,14.5
8023,2000,17.6
8023,2001,17.6
8023,2002,17.6
8023,2003,17.6
8023,2004,17.6
8023,2005,32.8
8023,2006,31.5
8023,2007,28.6
8023,2008,29.1
8023,2009,29.6
8023,2010,33.3
8023,2011,34
8023,2012,33
8023,2013,34.7
8023,2014,38.1
8023,2015,35.3
8023,2016,33
8023,2017,36.1
8024,2000,14.7
8024,2001,14.7
8024,2002,14.7
8024,2003,14.7
8024,2004,14.7
8024,2005,16.9
8024,2006,15.8
8024,2007,21
8024,2008,24.3
8024,2009,25.4
8024,2010,27.8
8024,2011,28.2
8024,2012,19.2
8024,2013,20.4
8024,2014,19.6
8024,2015,20
8024,2016,20.5
8024,2017,20.3
8025,2000,15.5
8025,2001,15.5
8025,2002,15.5
8025,2003,15.5
8025,2004,15.5
8025,2005,15.4
8025,2006,14.5
8025,2007,15.4
8025,2008,15.7
8025,2009,15.1
8025,2010,16.4
8025,2011,16.2
8025,2012,16.7
8025,2013,16.4
8025,2014,16.4
8025,2015,16.8
8025,2016,16.6
8025,2017,18.4
8026,2000,24.2
8026,2001,24.2
8026,2002,24.2
8026,2003,24.2
8026,2004,24.2
8026,2005,23
8026,2006,21.9
8026,2007,22.5
8026,2008,22.3
8026,2009,24
8026,2010,27
8026,2011,25.4
8026,2012,23.6
8026,2013,21
8026,2014,19.8
8026,2015,20.4
8026,2016,20.6
8026,2017,21.8
8037,2000,32.4
8037,2001,32.4
8037,2002,32.4
8037,2003,32.4
8037,2004,32.4
8037,2005,32
8037,2006,34.7
8037,2007,33.3
8037,2008,34.2
8037,2009,36.1
8037,2010,36.5
8037,2011,32
8037,2012,32.1
8037,2013,35.2
8037,2014,34.9
8037,2015,34.8
8037,2016,37.2
8037,2017,36.8
8038,2000,31
8038,2001,31
8038,2002,31
8038,2003,31
8038,2004,31
8038,2005,35
8038,2006,35.9
8038,2007,33.3
8038,2008,32.3
8038,2009,33
8038,2010,33.7
8038,2011,37
8038,2012,37.2
8038,2013,35.8
8038,2014,36.1
8038,2015,35.8
8038,2016,35
8038,2017,33.3
8039,2000,26.1
8039,2001,26.1
8039,2002,26.1
8039,2003,26.1
8039,2004,26.1
8039,2005,28
8039,2006,28.3
8039,2007,30.2
8039,2008,32.5
8039,2009,33.9
8039,2010,34.9
8039,2011,36.1
8039,2012,36.3
8039,2013,38.4
8039,2014,38.9
8039,2015,37.5
8039,2016,35.6
8039,2017,36
8041,2000,13.5
8041,2001,13.5
8041,2002,13.5
8041,2003,13.5
8041,2004,13.5
8041,2005,13.2
8041,2006,17
8041,2007,17
8041,2008,16.3
8041,2009,16.7
8041,2010,15.7
8041,2011,16.7
8041,2012,18.5
8041,2013,24
8041,2014,25
8041,2015,26.7
8041,2016,25
8041,2017,23.5
8042,2000,15.7
8042,2001,15.7
8042,2002,15.7
8042,2003,15.7
8042,2004,15.7
8042,2005,14.8
8042,2006,20.5
8042,2007,23.1
8042,2008,21.1
8042,2009,19.1
8042,2010,20
8042,2011,20
8042,2012,20.8
8042,2013,18.3
8042,2014,19.3
8042,2015,20.7
8042,2016,16.9
8042,2017,17.7
8043,2000,6.8
8043,2001,6.8
8043,2002,6.8
8043,2003,6.8
8043,2004,6.8
8043,2005,7.2
8043,2006,10.6
8043,2007,9.9
8043,2008,7.2
8043,2009,8.1
8043,2010,11.6
8043,2011,5.9
8043,2012,4.8
8043,2013,4.5
8043,2014,6.3
8043,2015,6.2
8043,2016,6.5
8043,2017,4.9
8044,2000,26.4
8044,2001,26.4
8044,2002,26.4
8044,2003,26.4
8044,2004,26.4
8044,2005,29.2
8044,2006,29.8
8044,2007,28.6
8044,2008,29.4
8044,2009,28.6
8044,2010,29.9
8044,2011,27.3
8044,2012,29.4
8044,2013,28.2
8044,2014,29.3
8044,2015,27.9
8044,2016,26.5
8044,2017,23.7
8045,2000,7.1
8045,2001,7.1
8045,2002,7.1
8045,2003,7.1
8045,2004,7.1
8045,2005,7.8
8045,2006,9
8045,2007,8
8045,2008,8.8
8045,2009,7.9
8045,2010,7.8
8045,2011,10.2
8045,2012,9.5
8045,2013,9.1
8045,2014,10.3
8045,2015,12.2
8045,2016,13.3
8045,2017,16.2
8057,2000,19.6
8057,2001,19.6
8057,2002,19.6
8057,2003,19.6
8057,2004,19.6
8057,2005,20.5
8057,2006,18.5
8057,2007,18.6
8057,2008,18.6
8057,2009,18.2
8057,2010,18
8057,2011,18.7
8057,2012,19.8
8057,2013,20.5
8057,2014,21.1
8057,2015,22.1
8057,2016,24.3
8057,2017,22.2
8061,2000,29.6
8061,2001,29.6
8061,2002,29.6
8061,2003,29.6
8061,2004,29.6
8061,2005,30.3
8061,2006,30.7
8061,2007,31.1
8061,2008,31.4
8061,2009,31
8061,2010,32.2
8061,2011,31.2
8061,2012,28.9
8061,2013,29.3
8061,2014,29.8
8061,2015,29.4
8061,2016,30.7
8061,2017,32.3
8062,2000,32.8
8062,2001,32.8
8062,2002,32.8
8062,2003,32.8
8062,2004,32.8
8062,2005,33.5
8062,2006,32.9
8062,2007,34.9
8062,2008,34.4
8062,2009,34.5
8062,2010,34.6
8062,2011,34.6
8062,2012,34.3
8062,2013,35.3
8062,2014,35.3
8062,2015,34.5
8062,2016,34.7
8062,2017,35.3
