geo,time,befolkning_alder_6_15_ar
8001,2000,80
8001,2001,81
8001,2002,87
8001,2003,83
8001,2004,86
8001,2005,85
8001,2006,85
8001,2007,92
8001,2008,105
8001,2009,98
8001,2010,103
8001,2011,112
8001,2012,113
8001,2013,118
8001,2014,113
8001,2015,110
8001,2016,109
8001,2017,100
8002,2000,51
8002,2001,47
8002,2002,45
8002,2003,51
8002,2004,52
8002,2005,50
8002,2006,52
8002,2007,44
8002,2008,46
8002,2009,43
8002,2010,40
8002,2011,42
8002,2012,52
8002,2013,55
8002,2014,58
8002,2015,60
8002,2016,66
8002,2017,58
8003,2000,87
8003,2001,95
8003,2002,100
8003,2003,96
8003,2004,90
8003,2005,89
8003,2006,95
8003,2007,87
8003,2008,95
8003,2009,85
8003,2010,88
8003,2011,97
8003,2012,119
8003,2013,125
8003,2014,109
8003,2015,100
8003,2016,110
8003,2017,131
8004,2000,27
8004,2001,32
8004,2002,32
8004,2003,34
8004,2004,30
8004,2005,33
8004,2006,34
8004,2007,27
8004,2008,32
8004,2009,29
8004,2010,23
8004,2011,29
8004,2012,31
8004,2013,33
8004,2014,33
8004,2015,29
8004,2016,32
8004,2017,37
8005,2000,35
8005,2001,29
8005,2002,30
8005,2003,30
8005,2004,29
8005,2005,33
8005,2006,36
8005,2007,28
8005,2008,23
8005,2009,28
8005,2010,30
8005,2011,29
8005,2012,29
8005,2013,32
8005,2014,34
8005,2015,44
8005,2016,55
8005,2017,61
8006,2000,34
8006,2001,29
8006,2002,31
8006,2003,41
8006,2004,40
8006,2005,41
8006,2006,39
8006,2007,38
8006,2008,40
8006,2009,37
8006,2010,36
8006,2011,31
8006,2012,33
8006,2013,33
8006,2014,30
8006,2015,32
8006,2016,35
8006,2017,32
8007,2000,57
8007,2001,54
8007,2002,68
8007,2003,68
8007,2004,68
8007,2005,67
8007,2006,65
8007,2007,63
8007,2008,56
8007,2009,67
8007,2010,70
8007,2011,66
8007,2012,63
8007,2013,75
8007,2014,93
8007,2015,95
8007,2016,96
8007,2017,113
8008,2000,59
8008,2001,50
8008,2002,47
8008,2003,36
8008,2004,41
8008,2005,50
8008,2006,51
8008,2007,45
8008,2008,54
8008,2009,51
8008,2010,43
8008,2011,51
8008,2012,48
8008,2013,40
8008,2014,41
8008,2015,50
8008,2016,56
8008,2017,48
8009,2000,113
8009,2001,109
8009,2002,95
8009,2003,89
8009,2004,89
8009,2005,90
8009,2006,86
8009,2007,87
8009,2008,76
8009,2009,78
8009,2010,82
8009,2011,75
8009,2012,94
8009,2013,114
8009,2014,121
8009,2015,119
8009,2016,127
8009,2017,135
8011,2000,107
8011,2001,107
8011,2002,110
8011,2003,105
8011,2004,105
8011,2005,102
8011,2006,95
8011,2007,94
8011,2008,86
8011,2009,88
8011,2010,94
8011,2011,100
8011,2012,91
8011,2013,96
8011,2014,94
8011,2015,105
8011,2016,112
8011,2017,111
8012,2000,78
8012,2001,82
8012,2002,85
8012,2003,85
8012,2004,77
8012,2005,77
8012,2006,69
8012,2007,56
8012,2008,59
8012,2009,84
8012,2010,84
8012,2011,79
8012,2012,66
8012,2013,80
8012,2014,80
8012,2015,93
8012,2016,101
8012,2017,93
8013,2000,9
8013,2001,8
8013,2002,6
8013,2003,10
8013,2004,13
8013,2005,14
8013,2006,20
8013,2007,23
8013,2008,21
8013,2009,19
8013,2010,21
8013,2011,16
8013,2012,14
8013,2013,15
8013,2014,17
8013,2015,18
8013,2016,8
8013,2017,13
8014,2000,96
8014,2001,103
8014,2002,106
8014,2003,112
8014,2004,118
8014,2005,133
8014,2006,128
8014,2007,110
8014,2008,110
8014,2009,110
8014,2010,107
8014,2011,100
8014,2012,103
8014,2013,118
8014,2014,117
8014,2015,127
8014,2016,122
8014,2017,125
8015,2000,65
8015,2001,73
8015,2002,74
8015,2003,65
8015,2004,63
8015,2005,62
8015,2006,63
8015,2007,64
8015,2008,65
8015,2009,71
8015,2010,68
8015,2011,77
8015,2012,74
8015,2013,76
8015,2014,83
8015,2015,82
8015,2016,78
8015,2017,71
8016,2000,104
8016,2001,96
8016,2002,94
8016,2003,85
8016,2004,86
8016,2005,88
8016,2006,88
8016,2007,97
8016,2008,99
8016,2009,101
8016,2010,101
8016,2011,99
8016,2012,95
8016,2013,98
8016,2014,107
8016,2015,108
8016,2016,97
8016,2017,95
8017,2000,40
8017,2001,40
8017,2002,39
8017,2003,42
8017,2004,42
8017,2005,44
8017,2006,42
8017,2007,43
8017,2008,41
8017,2009,39
8017,2010,41
8017,2011,38
8017,2012,45
8017,2013,45
8017,2014,46
8017,2015,56
8017,2016,63
8017,2017,59
8018,2000,154
8018,2001,161
8018,2002,144
8018,2003,147
8018,2004,156
8018,2005,153
8018,2006,152
8018,2007,134
8018,2008,143
8018,2009,127
8018,2010,123
8018,2011,114
8018,2012,126
8018,2013,122
8018,2014,123
8018,2015,124
8018,2016,122
8018,2017,117
8019,2000,100
8019,2001,100
8019,2002,99
8019,2003,93
8019,2004,94
8019,2005,89
8019,2006,86
8019,2007,80
8019,2008,79
8019,2009,74
8019,2010,73
8019,2011,75
8019,2012,78
8019,2013,85
8019,2014,83
8019,2015,89
8019,2016,92
8019,2017,89
8021,2000,21
8021,2001,19
8021,2002,15
8021,2003,21
8021,2004,22
8021,2005,21
8021,2006,25
8021,2007,25
8021,2008,23
8021,2009,25
8021,2010,26
8021,2011,26
8021,2012,21
8021,2013,23
8021,2014,22
8021,2015,17
8021,2016,16
8021,2017,19
8022,2000,104
8022,2001,115
8022,2002,107
8022,2003,106
8022,2004,111
8022,2005,109
8022,2006,105
8022,2007,114
8022,2008,99
8022,2009,100
8022,2010,96
8022,2011,104
8022,2012,93
8022,2013,107
8022,2014,124
8022,2015,159
8022,2016,158
8022,2017,180
8023,2000,13
8023,2001,14
8023,2002,22
8023,2003,24
8023,2004,33
8023,2005,39
8023,2006,44
8023,2007,42
8023,2008,39
8023,2009,42
8023,2010,43
8023,2011,38
8023,2012,35
8023,2013,38
8023,2014,34
8023,2015,30
8023,2016,45
8023,2017,46
8024,2000,200
8024,2001,220
8024,2002,232
8024,2003,213
8024,2004,214
8024,2005,225
8024,2006,263
8024,2007,249
8024,2008,260
8024,2009,287
8024,2010,296
8024,2011,305
8024,2012,305
8024,2013,331
8024,2014,345
8024,2015,358
8024,2016,404
8024,2017,461
8025,2000,53
8025,2001,55
8025,2002,61
8025,2003,66
8025,2004,76
8025,2005,66
8025,2006,65
8025,2007,60
8025,2008,55
8025,2009,56
8025,2010,66
8025,2011,59
8025,2012,60
8025,2013,64
8025,2014,75
8025,2015,78
8025,2016,79
8025,2017,77
8026,2000,106
8026,2001,105
8026,2002,101
8026,2003,102
8026,2004,99
