geo,time,nettoflytt_arb_ackumulerat
8021,2010,-6
8021,2011,-15
8021,2012,-24
8021,2013,-16
8021,2014,-21
8021,2015,-19
8021,2016,-14
8021,2017,-14
8022,2000,20
8022,2001,10
8022,2002,0
8022,2003,-23
8022,2004,-51
8022,2005,-88
8022,2006,-117
8022,2007,-137
8022,2008,-142
8022,2009,-160
8022,2010,-171
8022,2011,-189
8022,2012,-218
8022,2013,-239
8022,2014,-263
8022,2015,-287
8022,2016,-316
8022,2017,-316
8023,2000,3
8023,2001,5
8023,2002,3
8023,2003,8
8023,2004,11
8023,2005,16
8023,2006,22
8023,2007,27
8023,2008,29
8023,2009,23
8023,2010,35
8023,2011,34
8023,2012,25
8023,2013,39
8023,2014,44
8023,2015,48
8023,2016,52
8023,2017,52
8024,2000,6
8024,2001,19
8024,2002,13
8024,2003,5
8024,2004,-47
8024,2005,-86
8024,2006,-109
8024,2007,-151
8024,2008,-208
8024,2009,-239
8024,2010,-280
8024,2011,-309
8024,2012,-334
8024,2013,-350
8024,2014,-381
8024,2015,-402
8024,2016,-442
8024,2017,-442
8025,2000,4
8025,2001,-1
8025,2002,5
8025,2003,16
8025,2004,27
8025,2005,30
8025,2006,34
8025,2007,46
8025,2008,65
8025,2009,70
8025,2010,75
8025,2011,81
8025,2012,86
8025,2013,89
8025,2014,113
8025,2015,118
8025,2016,116
8025,2017,116
8026,2000,0
8026,2001,14
8026,2002,11
8026,2003,23
8026,2004,21
8026,2005,41
8026,2006,37
8026,2007,29
8026,2008,30
8026,2009,42
8026,2010,41
8026,2011,45
8026,2012,48
8026,2013,55
8026,2014,31
8026,2015,37
8026,2016,32
8026,2017,32
8037,2000,12
8037,2001,10
8037,2002,12
8037,2003,21
8037,2004,20
8037,2005,21
8037,2006,22
8037,2007,19
8037,2008,18
8037,2009,15
8037,2010,30
8037,2011,65
8037,2012,72
8037,2013,74
8037,2014,75
8037,2015,88
8037,2016,80
8037,2017,80
8038,2000,10
8038,2001,14
8038,2002,15
8038,2003,21
8038,2004,20
8038,2005,19
8038,2006,22
8038,2007,23
8038,2008,23
8038,2009,22
8038,2010,23
8038,2011,27
8038,2012,22
8038,2013,19
8038,2014,17
8038,2015,14
8038,2016,18
8038,2017,18
8039,2000,-1
8039,2001,-17
8039,2002,-6
8039,2003,17
8039,2004,20
8039,2005,24
8039,2006,28
8039,2007,58
8039,2008,82
8039,2009,84
8039,2010,93
8039,2011,99
8039,2012,84
8039,2013,72
8039,2014,67
8039,2015,91
8039,2016,93
8039,2017,93
8041,2000,-1
8041,2001,3
8041,2002,6
8041,2003,5
8041,2004,8
8041,2005,7
8041,2006,18
8041,2007,21
8041,2008,24
8041,2009,23
8041,2010,22
8041,2011,21
8041,2012,21
8041,2013,12
8041,2014,22
8041,2015,36
8041,2016,43
8041,2017,43
8042,2000,2
8042,2001,8
8042,2002,10
8042,2003,9
8042,2004,6
8042,2005,0
8042,2006,-2
8042,2007,-1
8042,2008,-6
8042,2009,-12
8042,2010,-9
8042,2011,-12
8042,2012,-13
8042,2013,-15
8042,2014,-9
8042,2015,-19
8042,2016,-20
8042,2017,-20
8043,2000,4
8043,2001,2
8043,2002,1
8043,2003,-6
8043,2004,-2
8043,2005,-5
8043,2006,-7
8043,2007,0
8043,2008,-5
8043,2009,0
8043,2010,-3
8043,2011,6
8043,2012,1
8043,2013,8
8043,2014,9
8043,2015,14
8043,2016,14
8043,2017,14
8044,2000,-3
8044,2001,-5
8044,2002,1
8044,2003,3
8044,2004,7
8044,2005,5
8044,2006,4
8044,2007,2
8044,2008,3
8044,2009,1
8044,2010,4
8044,2011,2
8044,2012,-4
8044,2013,-10
8044,2014,-11
8044,2015,-9
8044,2016,-10
8044,2017,-10
8045,2000,6
8045,2001,4
8045,2002,11
8045,2003,9
8045,2004,-1
8045,2005,-4
8045,2006,-4
8045,2007,10
8045,2008,-1
8045,2009,-4
8045,2010,0
8045,2011,-3
8045,2012,1
8045,2013,9
8045,2014,13
8045,2015,21
8045,2016,24
8045,2017,24
8057,2000,-2
8057,2001,2
8057,2002,1
8057,2003,7
8057,2004,15
8057,2005,14
8057,2006,12
8057,2007,18
8057,2008,20
8057,2009,26
8057,2010,20
8057,2011,18
8057,2012,13
8057,2013,8
8057,2014,9
8057,2015,-2
8057,2016,3
8057,2017,3
8061,2000,-10
8061,2001,-24
8061,2002,-35
8061,2003,-40
8061,2004,-46
8061,2005,-52
8061,2006,-60
8061,2007,-61
8061,2008,-57
8061,2009,-61
8061,2010,-69
8061,2011,-73
8061,2012,-82
8061,2013,-81
8061,2014,-84
8061,2015,-84
8061,2016,-96
8061,2017,-96
8062,2000,-6
8062,2001,6
8062,2002,-9
8062,2003,-8
8062,2004,10
8062,2005,6
8062,2006,-4
8062,2007,-20
8062,2008,-21
8062,2009,-24
8062,2010,-29
8062,2011,-24
8062,2012,-31
8062,2013,-39
8062,2014,-44
8062,2015,-47
8062,2016,-56
8062,2017,-56
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,-1
8063,2006,-1
8063,2007,-1
8063,2008,75
8063,2009,112
8063,2010,138
8063,2011,160
8063,2012,190
8063,2013,202
8063,2014,213
8063,2015,216
8063,2016,217
8063,2017,217
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,8
8064,2016,23
8064,2017,23
8065,2000,0
8065,2001,0
8065,2002,1
8065,2003,1
8065,2004,1
8065,2005,1
8065,2006,1
8065,2007,1
8065,2008,2
8065,2009,2
8065,2010,2
8065,2011,1
8065,2012,0
8065,2013,1
8065,2014,0
8065,2015,2
8065,2016,1
8065,2017,1
8066,2000,-4
8066,2001,-13
8066,2002,-12
8066,2003,-12
8066,2004,-13
8066,2005,-30
8066,2006,-21
8066,2007,-31
8066,2008,-56
8066,2009,-58
8066,2010,-54
8066,2011,-61
8066,2012,-54
8066,2013,-66
8066,2014,-72
8066,2015,-74
8066,2016,-80
8066,2017,-80
8067,2000,-8
8067,2001,-11
8067,2002,-15
8067,2003,-22
8067,2004,-21
8067,2005,-31
8067,2006,-35
8067,2007,-35
8067,2008,-31
8067,2009,-36
8067,2010,-35
8067,2011,-35
8067,2012,-42
8067,2013,-33
8067,2014,-31
8067,2015,-30
8067,2016,-32
8067,2017,-32
8068,2000,1
8068,2001,2
8068,2002,28
8068,2003,25
8068,2004,14
8068,2005,9
8068,2006,10
8068,2007,10
8068,2008,7
8068,2009,11
8068,2010,2
8068,2011,16
8068,2012,10
8068,2013,8
8068,2014,-8
8068,2015,4
8068,2016,6
8068,2017,6
8069,2000,-6
8069,2001,-7
8069,2002,-9
8069,2003,-9
8069,2004,-6
8069,2005,-6
8069,2006,-12
8069,2007,-9
8069,2008,-10
8069,2009,-10
8069,2010,-10
8069,2011,-9
8069,2012,-11
8069,2013,-10
8069,2014,-9
8069,2015,-11
8069,2016,-11
8069,2017,-11
8071,2000,2
8071,2001,0
8071,2002,-3
8071,2003,-3
8071,2004,1
8071,2005,-3
8071,2006,2
8071,2007,6
8071,2008,2
8071,2009,-1
8071,2010,4
8071,2011,0
8071,2012,4
8071,2013,6
8071,2014,10
8071,2015,23
8071,2016,24
8071,2017,24
8072,2000,-1
8072,2001,-2
8072,2002,-3
8072,2003,-3
8072,2004,-5
8072,2005,-8
8072,2006,-3
8072,2007,-1
8072,2008,3
8072,2009,3
8072,2010,6
8072,2011,1
8072,2012,5
8072,2013,4
8072,2014,0
8072,2015,7
8072,2016,3
8072,2017,3
8073,2000,-20
8073,2001,-15
8073,2002,-21
8073,2003,-24
8073,2004,-28
8073,2005,-44
8073,2006,-66
8073,2007,-69
8073,2008,-79
8073,2009,-77
8073,2010,-83
8073,2011,-97
8073,2012,-102
8073,2013,-100
8073,2014,-116
8073,2015,-132
8073,2016,-131
8073,2017,-131
8074,2000,-2
8074,2001,-1
8074,2002,-3
8074,2003,-2
8074,2004,6
8074,2005,20
8074,2006,22
8074,2007,32
8074,2008,30
8074,2009,31
8074,2010,36
8074,2011,39
8074,2012,41
8074,2013,40
8074,2014,31
8074,2015,40
8074,2016,39
8074,2017,39
8075,2000,7
8075,2001,10
8075,2002,14
8075,2003,20
8075,2004,17
8075,2005,20
8075,2006,23
8075,2007,30
8075,2008,30
8075,2009,33
8075,2010,31
8075,2011,32
8075,2012,29
8075,2013,22
8075,2014,18
8075,2015,23
8075,2016,28
8075,2017,28
8076,2000,-1
8076,2001,3
8076,2002,-1
8076,2003,-3
8076,2004,1
8076,2005,4
8076,2006,-1
8076,2007,0
8076,2008,2
8076,2009,7
8076,2010,10
8076,2011,12
8076,2012,13
8076,2013,14
8076,2014,12
8076,2015,21
8076,2016,17
8076,2017,17
808,2000,-4
808,2001,4
808,2002,2
808,2003,6
808,2004,8
808,2005,4
808,2006,9
808,2007,7
808,2008,5
808,2009,8
808,2010,12
808,2011,16
808,2012,16
808,2013,12
808,2014,11
808,2015,10
808,2016,13
808,2017,13
11,2000,14
11,2001,10
11,2002,8
11,2003,7
11,2004,20
11,2005,21
11,2006,10
11,2007,1
11,2008,16
11,2009,19
11,2010,4
11,2011,-3
11,2012,-15
11,2013,-16
11,2014,1
11,2015,9
11,2016,20
11,2017,20
12,2000,-4
12,2001,-20
12,2002,-29
12,2003,-38
12,2004,-62
12,2005,-69
12,2006,-77
12,2007,-84
12,2008,-94
12,2009,-91
12,2010,-92
12,2011,-106
12,2012,-103
12,2013,-129
12,2014,-125
12,2015,-116
12,2016,-132
12,2017,-132
13,2000,13
13,2001,19
13,2002,21
13,2003,21
13,2004,25
13,2005,24
13,2006,15
13,2007,11
13,2008,8
13,2009,2
13,2010,-8
13,2011,-18
13,2012,-36
13,2013,-41
13,2014,-38
13,2015,-31
13,2016,-25
13,2017,-25
14,2000,12
14,2001,20
14,2002,2
14,2003,9
14,2004,16
14,2005,20
14,2006,8
14,2007,8
14,2008,7
14,2009,10
14,2010,12
14,2011,15
14,2012,21
14,2013,43
14,2014,48
14,2015,58
14,2016,50
14,2017,50
15,2000,21
15,2001,31
15,2002,47
15,2003,79
15,2004,84
15,2005,104
15,2006,95
15,2007,107
15,2008,134
15,2009,167
15,2010,180
15,2011,180
15,2012,183
15,2013,189
15,2014,197
15,2015,246
15,2016,307
15,2017,307
61,2000,4
61,2001,7
61,2002,15
61,2003,-8
61,2004,20
61,2005,8
61,2006,-6
61,2007,-2
61,2008,1
61,2009,-23
61,2010,-18
61,2011,-18
61,2012,-7
61,2013,-19
61,2014,-23
61,2015,-21
61,2016,-26
61,2017,-26
62,2000,-5
62,2001,-6
62,2002,-11
62,2003,-9
62,2004,-22
62,2005,-16
62,2006,-17
