geo,time,befolkning_total
8021,2006,256
8021,2007,251
8021,2008,240
8021,2009,246
8021,2010,251
8021,2011,243
8021,2012,233
8021,2013,237
8021,2014,247
8021,2015,246
8021,2016,272
8021,2017,276
8022,2000,1189
8022,2001,1190
8022,2002,1207
8022,2003,1189
8022,2004,1215
8022,2005,1145
8022,2006,1174
8022,2007,1186
8022,2008,1178
8022,2009,1268
8022,2010,1284
8022,2011,1272
8022,2012,1236
8022,2013,1246
8022,2014,1287
8022,2015,1375
8022,2016,1392
8022,2017,1464
8023,2000,175
8023,2001,185
8023,2002,179
8023,2003,203
8023,2004,201
8023,2005,225
8023,2006,229
8023,2007,248
8023,2008,261
8023,2009,258
8023,2010,323
8023,2011,332
8023,2012,314
8023,2013,346
8023,2014,337
8023,2015,422
8023,2016,487
8023,2017,485
8024,2000,1534
8024,2001,1629
8024,2002,1684
8024,2003,1733
8024,2004,1791
8024,2005,1860
8024,2006,2095
8024,2007,2221
8024,2008,2291
8024,2009,2331
8024,2010,2422
8024,2011,2505
8024,2012,2238
8024,2013,2328
8024,2014,2383
8024,2015,2463
8024,2016,2610
8024,2017,2630
8025,2000,679
8025,2001,658
8025,2002,680
8025,2003,682
8025,2004,691
8025,2005,677
8025,2006,656
8025,2007,659
8025,2008,665
8025,2009,659
8025,2010,650
8025,2011,651
8025,2012,674
8025,2013,671
8025,2014,695
8025,2015,707
8025,2016,741
8025,2017,735
8026,2000,880
8026,2001,896
8026,2002,885
8026,2003,900
8026,2004,883
8026,2005,873
8026,2006,885
8026,2007,873
8026,2008,860
8026,2009,880
8026,2010,862
8026,2011,867
8026,2012,876
8026,2013,905
8026,2014,867
8026,2015,881
8026,2016,889
8026,2017,895
8037,2000,242
8037,2001,238
8037,2002,248
8037,2003,260
8037,2004,258
8037,2005,268
8037,2006,261
8037,2007,263
8037,2008,269
8037,2009,262
8037,2010,287
8037,2011,344
8037,2012,358
8037,2013,369
8037,2014,365
8037,2015,375
8037,2016,377
8037,2017,387
8038,2000,314
8038,2001,319
8038,2002,335
8038,2003,348
8038,2004,344
8038,2005,346
8038,2006,357
8038,2007,359
8038,2008,354
8038,2009,342
8038,2010,350
8038,2011,347
8038,2012,341
8038,2013,340
8038,2014,345
8038,2015,341
8038,2016,351
8038,2017,358
8039,2000,641
8039,2001,633
8039,2002,654
8039,2003,676
8039,2004,695
8039,2005,704
8039,2006,710
8039,2007,768
8039,2008,810
8039,2009,815
8039,2010,842
8039,2011,852
8039,2012,836
8039,2013,836
8039,2014,846
8039,2015,903
8039,2016,904
8039,2017,919
8041,2000,200
8041,2001,201
8041,2002,229
8041,2003,254
8041,2004,274
8041,2005,273
8041,2006,286
8041,2007,289
8041,2008,298
8041,2009,293
8041,2010,285
8041,2011,286
8041,2012,277
8041,2013,274
8041,2014,336
8041,2015,399
8041,2016,410
8041,2017,414
8042,2000,285
8042,2001,300
8042,2002,302
8042,2003,295
8042,2004,289
8042,2005,282
8042,2006,285
8042,2007,296
8042,2008,287
8042,2009,277
8042,2010,290
8042,2011,278
8042,2012,287
8042,2013,277
8042,2014,284
8042,2015,281
8042,2016,291
8042,2017,274
8043,2000,397
8043,2001,391
8043,2002,383
8043,2003,369
8043,2004,378
8043,2005,372
