geo,time,befolkning_alder_65_war
8022,2005,218
8022,2006,210
8022,2007,199
8022,2008,191
8022,2009,190
8022,2010,188
8022,2011,190
8022,2012,188
8022,2013,190
8022,2014,182
8022,2015,183
8022,2016,176
8022,2017,172
8023,2000,39
8023,2001,43
8023,2002,44
8023,2003,41
8023,2004,39
8023,2005,42
8023,2006,46
8023,2007,55
8023,2008,59
8023,2009,55
8023,2010,64
8023,2011,62
8023,2012,61
8023,2013,55
8023,2014,55
8023,2015,59
8023,2016,64
8023,2017,70
8024,2000,226
8024,2001,227
8024,2002,215
8024,2003,217
8024,2004,221
8024,2005,223
8024,2006,225
8024,2007,224
8024,2008,226
8024,2009,225
8024,2010,231
8024,2011,231
8024,2012,235
8024,2013,236
8024,2014,237
8024,2015,245
8024,2016,236
8024,2017,238
8025,2000,259
8025,2001,240
8025,2002,249
8025,2003,234
8025,2004,232
8025,2005,225
8025,2006,213
8025,2007,220
8025,2008,215
8025,2009,214
8025,2010,203
8025,2011,196
8025,2012,205
8025,2013,203
8025,2014,196
8025,2015,204
8025,2016,207
8025,2017,213
8026,2000,208
8026,2001,214
8026,2002,221
8026,2003,219
8026,2004,219
8026,2005,204
8026,2006,215
8026,2007,224
8026,2008,231
8026,2009,241
8026,2010,247
8026,2011,258
8026,2012,261
8026,2013,265
8026,2014,268
8026,2015,272
8026,2016,282
8026,2017,290
8037,2000,19
8037,2001,22
8037,2002,25
8037,2003,29
8037,2004,27
8037,2005,30
8037,2006,30
8037,2007,34
8037,2008,34
8037,2009,37
8037,2010,38
8037,2011,40
8037,2012,41
8037,2013,39
8037,2014,43
8037,2015,42
8037,2016,43
8037,2017,48
8038,2000,20
8038,2001,18
8038,2002,18
8038,2003,16
8038,2004,17
8038,2005,15
8038,2006,16
8038,2007,19
8038,2008,26
8038,2009,26
8038,2010,32
8038,2011,32
8038,2012,36
8038,2013,36
8038,2014,38
8038,2015,39
8038,2016,43
8038,2017,44
8039,2000,67
8039,2001,79
8039,2002,82
8039,2003,83
8039,2004,82
8039,2005,82
8039,2006,84
8039,2007,94
8039,2008,99
8039,2009,111
8039,2010,125
8039,2011,127
8039,2012,126
8039,2013,138
8039,2014,145
8039,2015,140
8039,2016,145
8039,2017,141
8041,2000,87
8041,2001,86
8041,2002,111
8041,2003,132
8041,2004,149
8041,2005,146
8041,2006,137
8041,2007,134
8041,2008,140
8041,2009,137
8041,2010,135
8041,2011,134
8041,2012,128
8041,2013,135
8041,2014,183
8041,2015,222
8041,2016,221
8041,2017,229
8042,2000,45
8042,2001,49
8042,2002,41
8042,2003,38
8042,2004,44
8042,2005,48
8042,2006,48
8042,2007,48
8042,2008,48
8042,2009,50
8042,2010,51
8042,2011,53
8042,2012,51
8042,2013,48
8042,2014,41
8042,2015,41
8042,2016,43
8042,2017,47
8043,2000,174
8043,2001,180
8043,2002,186
8043,2003,189
8043,2004,190
8043,2005,188
8043,2006,192
8043,2007,198
8043,2008,188
8043,2009,192
8043,2010,200
8043,2011,200
8043,2012,204
8043,2013,204
8043,2014,204
8043,2015,195
8043,2016,197
8043,2017,190
8044,2000,53
8044,2001,58
8044,2002,54
8044,2003,48
8044,2004,47
8044,2005,46
8044,2006,49
8044,2007,55
8044,2008,54
8044,2009,56
8044,2010,55
8044,2011,56
8044,2012,60
8044,2013,63
8044,2014,60
8044,2015,63
8044,2016,68
8044,2017,72
8045,2000,26
8045,2001,27
8045,2002,25
8045,2003,27
8045,2004,28
8045,2005,29
8045,2006,23
8045,2007,36
8045,2008,42
8045,2009,49
8045,2010,50
8045,2011,54
8045,2012,53
8045,2013,58
8045,2014,58
8045,2015,62
8045,2016,67
8045,2017,70
8057,2000,63
8057,2001,60
8057,2002,58
8057,2003,58
8057,2004,60
8057,2005,56
8057,2006,53
8057,2007,55
8057,2008,51
8057,2009,48
8057,2010,47
8057,2011,48
8057,2012,52
8057,2013,53
8057,2014,61
8057,2015,62
8057,2016,67
8057,2017,65
8061,2000,28
8061,2001,33
8061,2002,36
8061,2003,36
8061,2004,39
8061,2005,45
8061,2006,51
8061,2007,54
8061,2008,55
8061,2009,63
8061,2010,74
8061,2011,85
8061,2012,97
8061,2013,108
8061,2014,128
8061,2015,142
8061,2016,168
8061,2017,175
8062,2000,11
8062,2001,13
8062,2002,18
8062,2003,18
8062,2004,21
8062,2005,23
8062,2006,26
8062,2007,27
8062,2008,31
8062,2009,45
8062,2010,50
8062,2011,60
8062,2012,66
8062,2013,78
8062,2014,83
8062,2015,93
8062,2016,90
8062,2017,97
8063,2000,1
8063,2001,1
8063,2002,1
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,2
8063,2009,3
8063,2010,4
8063,2011,5
8063,2012,6
8063,2013,4
8063,2014,5
8063,2015,5
8063,2016,6
8063,2017,6
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,0
8064,2016,0
8064,2017,0
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,1
8065,2007,1
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,74
8066,2001,71
8066,2002,75
8066,2003,73
8066,2004,83
8066,2005,85
8066,2006,84
8066,2007,76
8066,2008,71
8066,2009,64
8066,2010,70
8066,2011,70
8066,2012,70
8066,2013,79
8066,2014,83
8066,2015,81
8066,2016,85
8066,2017,82
8067,2000,78
8067,2001,84
8067,2002,84
8067,2003,84
8067,2004,88
8067,2005,96
8067,2006,106
8067,2007,111
8067,2008,122
8067,2009,140
8067,2010,154
8067,2011,165
8067,2012,177
8067,2013,192
8067,2014,210
8067,2015,214
8067,2016,215
8067,2017,209
8068,2000,22
8068,2001,26
8068,2002,31
8068,2003,31
8068,2004,34
8068,2005,36
8068,2006,39
8068,2007,41
8068,2008,46
8068,2009,50
8068,2010,61
8068,2011,69
8068,2012,74
8068,2013,79
8068,2014,81
8068,2015,87
8068,2016,95
8068,2017,102
8069,2000,13
8069,2001,12
8069,2002,10
8069,2003,11
8069,2004,10
8069,2005,9
8069,2006,8
8069,2007,8
8069,2008,5
8069,2009,4
8069,2010,6
8069,2011,8
8069,2012,9
8069,2013,9
8069,2014,11
8069,2015,13
8069,2016,12
8069,2017,16
8071,2000,61
8071,2001,65
8071,2002,63
8071,2003,61
8071,2004,63
8071,2005,64
8071,2006,68
8071,2007,67
8071,2008,69
8071,2009,74
8071,2010,74
8071,2011,74
8071,2012,78
8071,2013,77
8071,2014,73
8071,2015,73
8071,2016,73
8071,2017,79
8072,2000,36
8072,2001,43
8072,2002,50
8072,2003,48
8072,2004,49
8072,2005,53
8072,2006,52
8072,2007,54
8072,2008,59
8072,2009,61
8072,2010,59
8072,2011,66
8072,2012,67
8072,2013,62
8072,2014,59
8072,2015,57
8072,2016,60
8072,2017,61
8073,2000,133
8073,2001,144
8073,2002,139
8073,2003,144
8073,2004,144
8073,2005,149
8073,2006,148
8073,2007,146
8073,2008,160
8073,2009,153
8073,2010,152
8073,2011,146
8073,2012,157
8073,2013,158
8073,2014,160
8073,2015,159
8073,2016,152
8073,2017,146
8074,2000,63
8074,2001,65
8074,2002,64
8074,2003,65
8074,2004,68
8074,2005,64
8074,2006,63
8074,2007,65
8074,2008,65
8074,2009,57
8074,2010,59
8074,2011,60
8074,2012,57
8074,2013,59
8074,2014,61
8074,2015,59
8074,2016,61
8074,2017,61
8075,2000,66
8075,2001,66
8075,2002,77
8075,2003,82
8075,2004,82
8075,2005,78
8075,2006,71
8075,2007,74
8075,2008,76
8075,2009,86
8075,2010,88
8075,2011,93
8075,2012,102
8075,2013,97
8075,2014,95
8075,2015,94
8075,2016,90
8075,2017,89
8076,2000,36
8076,2001,40
8076,2002,48
8076,2003,54
8076,2004,56
8076,2005,59
8076,2006,63
8076,2007,60
8076,2008,59
8076,2009,60
8076,2010,63
8076,2011,67
8076,2012,65
8076,2013,69
8076,2014,67
8076,2015,64
8076,2016,62
8076,2017,62
808,2000,21
808,2001,21
808,2002,20
808,2003,23
808,2004,22
808,2005,19
808,2006,19
808,2007,20
808,2008,19
808,2009,19
808,2010,21
808,2011,23
808,2012,25
808,2013,27
808,2014,25
808,2015,29
808,2016,31
808,2017,36
11,2000,332
11,2001,334
11,2002,329
11,2003,316
11,2004,316
11,2005,309
11,2006,322
11,2007,323
11,2008,321
11,2009,325
11,2010,334
11,2011,348
11,2012,350
11,2013,347
11,2014,351
11,2015,359
11,2016,358
11,2017,368
12,2000,608
12,2001,617
12,2002,630
12,2003,623
12,2004,631
12,2005,651
12,2006,665
12,2007,684
12,2008,710
12,2009,731
12,2010,749
12,2011,761
12,2012,797
12,2013,813
12,2014,840
12,2015,840
12,2016,850
12,2017,860
13,2000,292
13,2001,293
13,2002,301
13,2003,303
13,2004,300
13,2005,297
13,2006,290
13,2007,301
13,2008,297
13,2009,315
13,2010,324
13,2011,332
13,2012,341
13,2013,349
13,2014,365
13,2015,383
13,2016,397
13,2017,420
14,2000,383
14,2001,388
14,2002,402
14,2003,408
14,2004,422
14,2005,417
14,2006,415
14,2007,414
14,2008,423
14,2009,437
14,2010,428
14,2011,432
14,2012,439
14,2013,444
14,2014,451
14,2015,462
14,2016,479
14,2017,484
15,2000,400
15,2001,395
15,2002,393
15,2003,408
15,2004,418
15,2005,430
15,2006,437
15,2007,442
15,2008,458
15,2009,469
15,2010,499
15,2011,530
15,2012,540
15,2013,553
15,2014,580
15,2015,591
15,2016,604
15,2017,615
61,2000,319
61,2001,329
61,2002,326
61,2003,329
61,2004,337
61,2005,359
61,2006,354
61,2007,363
61,2008,377
61,2009,396
61,2010,419
61,2011,428
61,2012,442
61,2013,467
61,2014,469
61,2015,479
61,2016,481
61,2017,496
62,2000,235
62,2001,238
62,2002,237
62,2003,239
62,2004,248
62,2005,242
62,2006,241
62,2007,251
62,2008,247
62,2009,249
62,2010,256
62,2011,259
62,2012,275
62,2013,278
62,2014,287
62,2015,283
62,2016,291
62,2017,299
63,2000,261
63,2001,260
63,2002,260
63,2003,256
63,2004,254
63,2005,260
63,2006,266
63,2007,267
63,2008,276
63,2009,274
63,2010,276
63,2011,283
63,2012,286
63,2013,291
63,2014,299
63,2015,303
63,2016,307
63,2017,309
81,2000,115
81,2001,112
81,2002,111
81,2003,111
81,2004,111
81,2005,111
81,2006,112
81,2007,116
81,2008,118
81,2009,128
81,2010,138
81,2011,153
81,2012,162
81,2013,168
81,2014,178
81,2015,199
81,2016,212
81,2017,215
82,2000,217
82,2001,218
82,2002,209
82,2003,220
82,2004,216
82,2005,212
82,2006,220
82,2007,217
82,2008,220
82,2009,228
82,2010,239
82,2011,245
82,2012,254
82,2013,263
82,2014,258
82,2015,266
82,2016,276
82,2017,293
83,2000,88
83,2001,89
83,2002,83
83,2003,77
83,2004,79
83,2005,80
83,2006,77
83,2007,75
83,2008,77
83,2009,79
83,2010,78
83,2011,82
83,2012,75
83,2013,71
83,2014,71
83,2015,72
83,2016,70
83,2017,68
2,2000,339
2,2001,345
2,2002,348
2,2003,361
2,2004,377
2,2005,382
2,2006,377
2,2007,380
2,2008,387
2,2009,393
2,2010,419
2,2011,442
2,2012,445
2,2013,458
2,2014,467
2,2015,479
2,2016,474
2,2017,483
5,2000,814
5,2001,834
5,2002,841
5,2003,862
5,2004,877
5,2005,875
5,2006,884
5,2007,914
5,2008,940
5,2009,985
5,2010,988
5,2011,1021
5,2012,1049
5,2013,1062
5,2014,1056
5,2015,1063
5,2016,1060
5,2017,1060
7,2000,584
7,2001,588
7,2002,585
7,2003,598
7,2004,612
7,2005,627
7,2006,639
7,2007,665
7,2008,692
7,2009,721
7,2010,742
7,2011,769
7,2012,797
7,2013,798
7,2014,804
7,2015,816
7,2016,833
7,2017,846
