kommundel,alternative_4_cdiac,gapminder_list,latitude,longitude,name,pandg,upper_case_name,kommun_5delar,kommun_13delar
8066,Södra Mölletorp,Södra Mölletorp,15,66552948,56,20595553,Södra Mölletorp,SÖDRA MÖLLETORP,SÖDRA MÖLLETORP,kna502,k806
8067,Spandelstorp,Spandelstorp,15,66067946,56,20968625,Spandelstorp,SPANDELSTORP,SPANDELSTORP,kna502,k806
8068,Vedeby gata, Musikgatan,Vedeby gata, Musikgatan,15,65198372,56,2113168,Vedeby gata, Musikgatan,VEDEBY GATA, MUSIKGATAN,VEDEBY GATA, MUSIKGATAN,kna502,k806
8069,Västra Gärde I, Mölletorp,Västra Gärde I, Mölletorp,15,66691092,56,21361513,Västra Gärde I, Mölletorp,VÄSTRA GÄRDE I, MÖLLETORP,VÄSTRA GÄRDE I, MÖLLETORP,kna502,k806
8071,Norra Torp, Bellevue,Norra Torp, Bellevue,15,67287074,56,19936635,Norra Torp, Bellevue,NORRA TORP, BELLEVUE,NORRA TORP, BELLEVUE,kna502,k807
8072,Östra Torp,Östra Torp,15,67912079,56,197121,Östra Torp,ÖSTRA TORP,ÖSTRA TORP,kna502,k807
8073,Kronotorp,Kronotorp,15,66924426,56,19607776,Kronotorp,KRONOTORP,KRONOTORP,kna502,k807
8074,Södra Beseboda,Södra Beseboda,15,66216041,56,19448626,Södra Beseboda,SÖDRA BESEBODA,SÖDRA BESEBODA,kna502,k807
8075,Torp- Söder G:a Riksvägen,Torp- Söder G:a Riksvägen,15,67313773,56,19312041,Torp- Söder G:a Riksvägen,TORP- SÖDER G:A RIKSVÄGEN,TORP- SÖDER G:A RIKSVÄGEN,kna502,k807
8076,Köpingegårdsområdet,Köpingegårdsområdet,15,6636838,56,1895316,Köpingegårdsområdet,KÖPINGEGÅRDSOMRÅDET,KÖPINGEGÅRDSOMRÅDET,kna502,k807
808,Lösen o Lyckeåborg,Lösen o Lyckeåborg,15,69126275,56,2126559,Lösen o Lyckeåborg,LÖSEN O LYCKEÅBORG,LÖSEN O LYCKEÅBORG,kna502,k808
11,Fågelmara,Fågelmara,15,98402062,56,26485333,Fågelmara,FÅGELMARA,FÅGELMARA,kna503,k1
