geo,time,befolkning_alder_0_5_ar
8001,2000,46
8001,2001,45
8001,2002,42
8001,2003,51
8001,2004,57
8001,2005,59
8001,2006,56
8001,2007,58
8001,2008,52
8001,2009,58
8001,2010,67
8001,2011,59
8001,2012,62
8001,2013,65
8001,2014,53
8001,2015,52
8001,2016,47
8001,2017,37
8002,2000,31
8002,2001,38
8002,2002,33
8002,2003,35
8002,2004,30
8002,2005,37
8002,2006,31
8002,2007,35
8002,2008,30
8002,2009,36
8002,2010,36
8002,2011,32
8002,2012,27
8002,2013,30
8002,2014,26
8002,2015,26
8002,2016,24
8002,2017,22
8003,2000,74
8003,2001,60
8003,2002,64
8003,2003,73
8003,2004,81
8003,2005,74
8003,2006,91
8003,2007,98
8003,2008,102
8003,2009,102
8003,2010,119
8003,2011,114
8003,2012,110
8003,2013,112
8003,2014,107
8003,2015,106
8003,2016,120
8003,2017,115
8004,2000,29
8004,2001,23
8004,2002,29
8004,2003,26
8004,2004,20
8004,2005,20
8004,2006,24
8004,2007,31
8004,2008,30
8004,2009,34
8004,2010,49
8004,2011,47
8004,2012,41
8004,2013,35
8004,2014,41
8004,2015,48
8004,2016,50
8004,2017,38
8005,2000,30
8005,2001,24
8005,2002,26
8005,2003,30
8005,2004,27
8005,2005,29
8005,2006,28
8005,2007,23
8005,2008,21
8005,2009,18
8005,2010,27
8005,2011,41
8005,2012,43
8005,2013,36
8005,2014,44
8005,2015,56
8005,2016,54
8005,2017,48
8006,2000,22
8006,2001,26
8006,2002,21
8006,2003,28
8006,2004,29
8006,2005,25
8006,2006,29
8006,2007,29
8006,2008,33
8006,2009,31
8006,2010,38
8006,2011,43
8006,2012,39
8006,2013,42
8006,2014,36
8006,2015,23
8006,2016,39
8006,2017,29
8007,2000,37
8007,2001,45
8007,2002,56
8007,2003,58
8007,2004,50
8007,2005,65
8007,2006,54
8007,2007,67
8007,2008,68
8007,2009,74
8007,2010,71
8007,2011,77
8007,2012,60
8007,2013,66
8007,2014,72
8007,2015,70
8007,2016,70
8007,2017,95
8008,2000,53
8008,2001,54
8008,2002,49
8008,2003,52
8008,2004,47
8008,2005,39
8008,2006,44
8008,2007,47
8008,2008,37
8008,2009,45
8008,2010,51
8008,2011,47
8008,2012,40
8008,2013,50
8008,2014,57
8008,2015,47
8008,2016,51
8008,2017,43
8009,2000,71
8009,2001,53
8009,2002,65
8009,2003,76
8009,2004,72
8009,2005,90
8009,2006,93
8009,2007,77
8009,2008,89
8009,2009,88
8009,2010,112
8009,2011,105
8009,2012,106
8009,2013,94
8009,2014,92
8009,2015,93
8009,2016,89
8009,2017,90
8011,2000,46
8011,2001,45
8011,2002,40
8011,2003,34
8011,2004,34
8011,2005,37
8011,2006,43
8011,2007,53
8011,2008,61
8011,2009,59
8011,2010,57
8011,2011,50
8011,2012,52
8011,2013,45
8011,2014,42
8011,2015,37
8011,2016,43
8011,2017,41
8012,2000,58
8012,2001,44
8012,2002,42
8012,2003,54
8012,2004,67
8012,2005,70
8012,2006,69
8012,2007,62
