geo,time,utbildningsniva_andel_kvinnor
8026,2016,27.3
8026,2017,29.3
8037,2000,31.5
8037,2001,31.5
8037,2002,31.5
8037,2003,31.5
8037,2004,31.5
8037,2005,32
8037,2006,30.1
8037,2007,32.9
8037,2008,32.4
8037,2009,34.7
8037,2010,38
8037,2011,43
8037,2012,48.4
8037,2013,49
8037,2014,48
8037,2015,50
8037,2016,52.5
8037,2017,53
8038,2000,28.7
8038,2001,28.7
8038,2002,28.7
8038,2003,28.7
8038,2004,28.7
8038,2005,31.5
8038,2006,36.2
8038,2007,34.7
8038,2008,34
8038,2009,38
8038,2010,36.8
8038,2011,40.8
8038,2012,39.6
8038,2013,40.4
8038,2014,43.5
8038,2015,43.8
8038,2016,42.6
8038,2017,44.2
8039,2000,21
8039,2001,21
8039,2002,21
8039,2003,21
8039,2004,21
8039,2005,23.1
8039,2006,25.6
8039,2007,28.8
8039,2008,31.4
8039,2009,34.5
8039,2010,36.5
8039,2011,37.3
8039,2012,39.4
8039,2013,39.1
8039,2014,39.3
8039,2015,39.1
8039,2016,39.3
8039,2017,41.7
8041,2000,4.4
8041,2001,4.4
8041,2002,4.4
8041,2003,4.4
8041,2004,4.4
8041,2005,6.8
8041,2006,10.6
8041,2007,12.5
8041,2008,9.8
8041,2009,9.8
8041,2010,10.4
8041,2011,12
8041,2012,11.8
8041,2013,12.5
8041,2014,17
8041,2015,17.7
8041,2016,19
8041,2017,16.9
8042,2000,9.6
8042,2001,9.6
8042,2002,9.6
8042,2003,9.6
8042,2004,9.6
8042,2005,10.1
8042,2006,16.5
8042,2007,17.7
8042,2008,18.9
8042,2009,21.3
8042,2010,22.1
8042,2011,16.4
8042,2012,18.1
8042,2013,15.3
8042,2014,17.8
8042,2015,22.7
8042,2016,23.1
8042,2017,23.7
8043,2000,5.3
8043,2001,5.3
8043,2002,5.3
8043,2003,5.3
8043,2004,5.3
8043,2005,7.9
8043,2006,10.4
8043,2007,13.2
8043,2008,11.8
8043,2009,12.1
8043,2010,15
8043,2011,15.2
8043,2012,19
8043,2013,15.5
8043,2014,16.1
8043,2015,19
8043,2016,18.8
8043,2017,19.2
8044,2000,23.1
8044,2001,23.1
8044,2002,23.1
8044,2003,23.1
8044,2004,23.1
8044,2005,26.1
8044,2006,25.5
8044,2007,23.9
8044,2008,25.8
8044,2009,29.9
8044,2010,35.9
8044,2011,33
8044,2012,33.7
8044,2013,33
8044,2014,37.4
8044,2015,36.8
8044,2016,37.8
8044,2017,39.1
8045,2000,15.8
8045,2001,15.8
8045,2002,15.8
8045,2003,15.8
8045,2004,15.8
8045,2005,14.3
8045,2006,14
8045,2007,15.2
8045,2008,14.3
8045,2009,15
8045,2010,15
8045,2011,19
8045,2012,20
8045,2013,17.5
8045,2014,23.9
8045,2015,26.7
8045,2016,27.4
8045,2017,27.1
8057,2000,22.4
8057,2001,22.4
8057,2002,22.4
8057,2003,22.4
8057,2004,22.4
8057,2005,22
8057,2006,23.8
8057,2007,25.5
8057,2008,26.2
8057,2009,28.2
8057,2010,29
8057,2011,30.2
