geo,time,inrikes_fodda_kvinnor
8022,2003,367
8022,2004,375
8022,2005,341
8022,2006,343
8022,2007,331
8022,2008,319
8022,2009,325
8022,2010,323
8022,2011,330
8022,2012,334
8022,2013,319
8022,2014,321
8022,2015,299
8022,2016,291
8022,2017,293
8023,2000,94
8023,2001,94
8023,2002,94
8023,2003,102
8023,2004,102
8023,2005,112
8023,2006,113
8023,2007,122
8023,2008,127
8023,2009,129
8023,2010,146
8023,2011,148
8023,2012,137
8023,2013,136
8023,2014,134
8023,2015,150
8023,2016,161
8023,2017,159
8024,2000,482
8024,2001,482
8024,2002,482
8024,2003,481
8024,2004,443
8024,2005,429
8024,2006,435
8024,2007,422
8024,2008,399
8024,2009,409
8024,2010,396
8024,2011,401
8024,2012,391
8024,2013,407
8024,2014,413
8024,2015,417
8024,2016,425
8024,2017,432
8025,2000,345
8025,2001,345
8025,2002,345
8025,2003,348
8025,2004,342
8025,2005,336
8025,2006,327
8025,2007,325
8025,2008,317
8025,2009,316
8025,2010,301
8025,2011,298
8025,2012,306
8025,2013,306
8025,2014,310
8025,2015,318
8025,2016,304
8025,2017,292
8026,2000,424
8026,2001,424
8026,2002,424
8026,2003,425
8026,2004,421
8026,2005,412
8026,2006,423
8026,2007,410
8026,2008,411
8026,2009,411
8026,2010,417
8026,2011,424
8026,2012,420
8026,2013,427
8026,2014,411
8026,2015,398
8026,2016,398
8026,2017,408
8037,2000,113
8037,2001,113
8037,2002,113
8037,2003,114
8037,2004,113
8037,2005,121
8037,2006,117
8037,2007,116
8037,2008,118
8037,2009,117
8037,2010,121
8037,2011,150
8037,2012,155
8037,2013,159
8037,2014,159
8037,2015,160
8037,2016,154
8037,2017,161
8038,2000,164
8038,2001,164
8038,2002,164
8038,2003,170
8038,2004,164
8038,2005,161
8038,2006,160
8038,2007,156
8038,2008,153
8038,2009,147
8038,2010,148
8038,2011,145
8038,2012,145
8038,2013,142
8038,2014,145
8038,2015,143
8038,2016,145
8038,2017,147
8039,2000,303
8039,2001,303
8039,2002,303
8039,2003,315
8039,2004,327
8039,2005,319
8039,2006,324
8039,2007,336
8039,2008,363
8039,2009,359
8039,2010,376
8039,2011,385
8039,2012,368
8039,2013,366
8039,2014,371
8039,2015,379
8039,2016,383
8039,2017,384
8041,2000,122
8041,2001,122
8041,2002,122
8041,2003,139
8041,2004,151
8041,2005,151
8041,2006,149
8041,2007,155
8041,2008,160
8041,2009,154
8041,2010,150
8041,2011,154
8041,2012,150
8041,2013,147
8041,2014,181
8041,2015,219
8041,2016,221
8041,2017,226
8042,2000,131
8042,2001,131
8042,2002,131
8042,2003,142
8042,2004,138
8042,2005,131
8042,2006,129
8042,2007,136
8042,2008,128
8042,2009,127
8042,2010,134
8042,2011,129
8042,2012,133
8042,2013,128
8042,2014,132
8042,2015,124
8042,2016,123
8042,2017,120
8043,2000,198
8043,2001,198
8043,2002,198
8043,2003,198
8043,2004,200
8043,2005,199
8043,2006,193
8043,2007,201
8043,2008,198
8043,2009,196
8043,2010,196
8043,2011,200
8043,2012,201
8043,2013,199
8043,2014,199
8043,2015,196
8043,2016,194
8043,2017,196
8044,2000,156
8044,2001,156
8044,2002,156
8044,2003,160
8044,2004,160
8044,2005,157
8044,2006,161
8044,2007,163
8044,2008,154
8044,2009,148
8044,2010,153
8044,2011,155
8044,2012,153
8044,2013,152
8044,2014,158
8044,2015,153
8044,2016,159
8044,2017,156
8045,2000,85
8045,2001,85
8045,2002,85
8045,2003,87
8045,2004,88
8045,2005,87
8045,2006,87
8045,2007,100
8045,2008,102
8045,2009,103
8045,2010,106
8045,2011,105
8045,2012,106
8045,2013,106
8045,2014,113
8045,2015,113
8045,2016,115
8045,2017,110
8057,2000,160
8057,2001,160
8057,2002,160
8057,2003,174
8057,2004,178
8057,2005,177
8057,2006,182
8057,2007,183
8057,2008,178
8057,2009,178
8057,2010,169
8057,2011,169
8057,2012,172
8057,2013,167
8057,2014,167
8057,2015,158
8057,2016,162
8057,2017,150
8061,2000,362
8061,2001,362
8061,2002,362
8061,2003,350
8061,2004,347
8061,2005,357
8061,2006,349
8061,2007,360
8061,2008,355
8061,2009,344
8061,2010,332
8061,2011,336
8061,2012,324
8061,2013,329
8061,2014,331
8061,2015,330
8061,2016,329
8061,2017,322
8062,2000,351
8062,2001,351
8062,2002,351
8062,2003,353
8062,2004,367
8062,2005,374
8062,2006,370
8062,2007,365
8062,2008,377
8062,2009,372
8062,2010,355
8062,2011,364
8062,2012,366
8062,2013,365
8062,2014,353
8062,2015,345
8062,2016,339
8062,2017,340
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,68
8063,2009,109
8063,2010,130
8063,2011,151
8063,2012,172
8063,2013,181
8063,2014,193
8063,2015,195
8063,2016,194
8063,2017,199
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,24
8064,2012,0
8064,2013,0
8064,2014,3
8064,2015,9
8064,2016,19
8064,2017,24
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,252
8066,2001,252
8066,2002,252
8066,2003,253
8066,2004,248
8066,2005,239
8066,2006,232
8066,2007,228
8066,2008,210
8066,2009,228
8066,2010,241
8066,2011,243
8066,2012,243
8066,2013,234
8066,2014,219
8066,2015,209
8066,2016,209
8066,2017,199
8067,2000,381
8067,2001,381
8067,2002,381
8067,2003,373
8067,2004,378
8067,2005,369
8067,2006,369
8067,2007,364
8067,2008,362
8067,2009,353
8067,2010,349
8067,2011,343
8067,2012,339
8067,2013,342
8067,2014,340
8067,2015,361
8067,2016,352
8067,2017,349
8068,2000,363
8068,2001,363
8068,2002,363
8068,2003,361
8068,2004,358
8068,2005,361
8068,2006,357
8068,2007,348
8068,2008,348
8068,2009,348
8068,2010,353
8068,2011,366
8068,2012,361
8068,2013,365
8068,2014,356
8068,2015,364
8068,2016,361
8068,2017,352
8069,2000,74
8069,2001,74
8069,2002,74
8069,2003,71
8069,2004,72
8069,2005,67
8069,2006,65
8069,2007,68
8069,2008,67
8069,2009,65
8069,2010,64
8069,2011,65
8069,2012,59
8069,2013,64
8069,2014,66
8069,2015,65
8069,2016,67
8069,2017,66
8071,2000,177
8071,2001,177
8071,2002,177
8071,2003,176
8071,2004,181
8071,2005,180
8071,2006,180
8071,2007,182
8071,2008,182
8071,2009,183
8071,2010,181
8071,2011,171
8071,2012,168
8071,2013,171
8071,2014,172
8071,2015,179
8071,2016,184
8071,2017,186
8072,2000,122
8072,2001,122
8072,2002,122
8072,2003,123
8072,2004,121
8072,2005,119
8072,2006,113
8072,2007,113
8072,2008,109
8072,2009,108
8072,2010,108
8072,2011,103
8072,2012,110
8072,2013,104
8072,2014,97
8072,2015,102
8072,2016,101
8072,2017,104
8073,2000,413
8073,2001,413
8073,2002,413
8073,2003,419
8073,2004,431
8073,2005,422
8073,2006,403
8073,2007,406
8073,2008,391
8073,2009,395
8073,2010,399
8073,2011,380
8073,2012,378
8073,2013,369
8073,2014,378
8073,2015,364
8073,2016,362
8073,2017,357
8074,2000,177
8074,2001,177
8074,2002,177
8074,2003,198
8074,2004,172
8074,2005,183
8074,2006,181
8074,2007,187
8074,2008,182
8074,2009,186
8074,2010,197
8074,2011,202
8074,2012,211
8074,2013,209
8074,2014,195
8074,2015,198
8074,2016,186
8074,2017,185
8075,2000,198
8075,2001,198
8075,2002,198
8075,2003,197
8075,2004,190
8075,2005,191
8075,2006,186
8075,2007,184
8075,2008,189
8075,2009,195
8075,2010,192
8075,2011,190
8075,2012,188
8075,2013,182
8075,2014,186
8075,2015,183
8075,2016,185
8075,2017,177
8076,2000,148
8076,2001,148
8076,2002,148
8076,2003,143
8076,2004,140
8076,2005,142
8076,2006,139
8076,2007,132
8076,2008,129
8076,2009,133
8076,2010,139
8076,2011,137
8076,2012,142
8076,2013,147
8076,2014,144
8076,2015,147
8076,2016,141
8076,2017,136
808,2000,86
808,2001,86
808,2002,86
808,2003,90
808,2004,88
808,2005,89
808,2006,89
808,2007,88
808,2008,81
808,2009,82
808,2010,84
808,2011,88
808,2012,87
808,2013,85
808,2014,87
808,2015,86
808,2016,84
808,2017,87
11,2000,702
11,2001,702
11,2002,702
11,2003,706
11,2004,701
11,2005,691
11,2006,685
11,2007,663
11,2008,669
11,2009,660
11,2010,663
11,2011,653
11,2012,635
11,2013,626
11,2014,643
11,2015,646
11,2016,656
11,2017,661
12,2000,1772
12,2001,1772
12,2002,1772
12,2003,1759
12,2004,1755
12,2005,1748
12,2006,1747
12,2007,1737
12,2008,1727
12,2009,1711
12,2010,1725
12,2011,1690
12,2012,1705
12,2013,1696
12,2014,1688
12,2015,1687
12,2016,1676
12,2017,1679
13,2000,753
13,2001,753
13,2002,753
13,2003,741
13,2004,747
13,2005,743
13,2006,729
13,2007,723
13,2008,712
13,2009,709
13,2010,690
13,2011,675
13,2012,646
13,2013,635
13,2014,618
13,2015,626
13,2016,630
13,2017,635
14,2000,801
14,2001,801
14,2002,801
14,2003,787
14,2004,786
14,2005,777
14,2006,769
14,2007,764
14,2008,764
14,2009,770
14,2010,759
14,2011,749
14,2012,748
14,2013,750
14,2014,741
14,2015,745
14,2016,742
14,2017,738
15,2000,1002
15,2001,1002
15,2002,1002
15,2003,1027
15,2004,1032
15,2005,1048
15,2006,1027
15,2007,1054
15,2008,1061
15,2009,1087
15,2010,1086
15,2011,1075
15,2012,1077
15,2013,1071
15,2014,1086
15,2015,1124
15,2016,1168
15,2017,1216
61,2000,1020
61,2001,1020
61,2002,1020
61,2003,989
61,2004,1015
61,2005,994
61,2006,961
61,2007,966
61,2008,981
61,2009,963
61,2010,974
61,2011,977
61,2012,962
61,2013,948
61,2014,943
61,2015,927
61,2016,927
61,2017,934
62,2000,481
62,2001,481
62,2002,481
62,2003,498
62,2004,500
62,2005,499
62,2006,486
62,2007,480
62,2008,466
62,2009,470
62,2010,451
62,2011,443
62,2012,444
62,2013,437
62,2014,436
62,2015,433
62,2016,434
62,2017,437
63,2000,625
63,2001,625
63,2002,625
63,2003,605
63,2004,598
63,2005,574
63,2006,571
63,2007,564
63,2008,540
63,2009,534
63,2010,532
63,2011,529
63,2012,519
63,2013,516
63,2014,530
63,2015,522
63,2016,536
63,2017,533
81,2000,226
81,2001,226
81,2002,226
81,2003,225
81,2004,225
81,2005,227
81,2006,221
81,2007,223
81,2008,228
81,2009,221
81,2010,223
81,2011,218
81,2012,237
81,2013,242
81,2014,243
81,2015,257
81,2016,272
81,2017,274
82,2000,732
82,2001,732
82,2002,732
82,2003,742
82,2004,737
82,2005,737
82,2006,746
82,2007,742
82,2008,746
82,2009,736
82,2010,738
82,2011,735
82,2012,728
82,2013,725
82,2014,714
82,2015,710
82,2016,708
82,2017,708
83,2000,137
83,2001,137
83,2002,137
83,2003,138
83,2004,137
83,2005,140
83,2006,136
83,2007,137
83,2008,140
83,2009,138
83,2010,139
83,2011,134
83,2012,132
83,2013,131
83,2014,125
83,2015,127
83,2016,127
83,2017,120
2,2000,789
2,2001,789
2,2002,789
2,2003,793
2,2004,813
2,2005,824
2,2006,815
2,2007,830
2,2008,818
2,2009,793
2,2010,802
2,2011,785
2,2012,785
2,2013,786
2,2014,802
2,2015,791
2,2016,791
2,2017,802
5,2000,2381
5,2001,2381
5,2002,2381
5,2003,2398
5,2004,2365
5,2005,2371
