geo,time,medelinkomst_20_64_ar_totalt
8026,2011,299 115
8026,2012,306 151
8026,2013,308 668
8026,2014,312 210
8026,2015,316 004
8026,2016,319 045
8026,2017,336 823
8037,2000,267 157
8037,2001,272 782
8037,2002,309 253
8037,2003,301 456
8037,2004,322 316
8037,2005,367 563
8037,2006,353 835
8037,2007,372 099
8037,2008,369 242
8037,2009,386 634
8037,2010,396 249
8037,2011,427 297
8037,2012,423 392
8037,2013,434 577
8037,2014,462 413
8037,2015,500 023
8037,2016,512 779
8037,2017,545 604
8038,2000,278 995
8038,2001,288 352
8038,2002,295 240
8038,2003,307 426
8038,2004,318 480
8038,2005,349 224
8038,2006,370 098
8038,2007,372 326
8038,2008,393 637
8038,2009,385 174
8038,2010,390 003
8038,2011,392 158
8038,2012,392 361
8038,2013,444 606
8038,2014,410 654
8038,2015,427 760
8038,2016,420 703
8038,2017,451 773
8039,2000,212 978
8039,2001,224 786
8039,2002,236 755
8039,2003,245 434
8039,2004,253 527
8039,2005,261 131
8039,2006,271 407
8039,2007,279 696
8039,2008,295 017
8039,2009,303 140
8039,2010,300 509
8039,2011,316 470
8039,2012,336 029
8039,2013,342 410
8039,2014,354 405
8039,2015,354 763
8039,2016,371 359
8039,2017,383 589
8041,2000,302 348
8041,2001,338 531
8041,2002,248 852
8041,2003,223 280
8041,2004,223 206
8041,2005,229 025
8041,2006,245 751
8041,2007,270 831
8041,2008,276 475
8041,2009,294 737
8041,2010,297 975
8041,2011,286 452
8041,2012,292 699
8041,2013,303 753
8041,2014,328 610
8041,2015,331 765
8041,2016,342 378
8041,2017,357 401
8042,2000,201 280
8042,2001,199 815
8042,2002,213 827
8042,2003,209 584
8042,2004,223 628
8042,2005,232 000
8042,2006,246 615
8042,2007,252 721
8042,2008,261 056
8042,2009,275 689
8042,2010,272 217
8042,2011,280 021
8042,2012,300 384
8042,2013,294 607
8042,2014,317 041
8042,2015,310 731
8042,2016,308 458
8042,2017,327 900
8043,2000,173 344
8043,2001,181 892
8043,2002,192 891
8043,2003,199 890
8043,2004,201 492
8043,2005,203 015
8043,2006,225 709
8043,2007,222 675
8043,2008,220 962
8043,2009,226 616
8043,2010,235 831
8043,2011,228 099
8043,2012,242 158
8043,2013,240 558
8043,2014,248 001
8043,2015,241 287
8043,2016,239 579
8043,2017,255 721
8044,2000,235 410
8044,2001,247 354
8044,2002,258 881
8044,2003,257 106
8044,2004,249 257
8044,2005,267 638
8044,2006,275 792
8044,2007,280 875
8044,2008,298 293
8044,2009,307 438
8044,2010,312 699
8044,2011,318 332
8044,2012,310 519
8044,2013,316 681
8044,2014,334 376
8044,2015,373 011
8044,2016,345 701
8044,2017,339 680
8045,2000,173 910
8045,2001,181 429
8045,2002,194 253
8045,2003,200 623
8045,2004,191 901
8045,2005,202 773
8045,2006,206 092
8045,2007,211 343
8045,2008,229 459
8045,2009,231 814
8045,2010,230 616
8045,2011,231 266
8045,2012,249 226
8045,2013,261 963
8045,2014,263 972
8045,2015,272 507
8045,2016,280 543
8045,2017,287 863
8057,2000,214 187
8057,2001,211 566
8057,2002,227 609
8057,2003,235 953
8057,2004,248 906
8057,2005,256 187
8057,2006,265 501
8057,2007,267 585
8057,2008,281 963
8057,2009,285 562
8057,2010,289 457
8057,2011,291 238
8057,2012,294 271
8057,2013,301 189
8057,2014,317 294
8057,2015,322 191
8057,2016,338 732
8057,2017,353 183
8061,2000,238 806
8061,2001,244 088
8061,2002,253 884
8061,2003,271 212
8061,2004,279 394
8061,2005,292 542
8061,2006,309 699
8061,2007,317 012
8061,2008,319 295
8061,2009,333 449
8061,2010,342 708
8061,2011,343 051
8061,2012,354 427
8061,2013,359 683
8061,2014,369 171
8061,2015,375 125
8061,2016,389 175
8061,2017,409 546
8062,2000,231 055
8062,2001,240 446
8062,2002,254 081
8062,2003,259 024
8062,2004,270 472
8062,2005,272 162
8062,2006,287 620
8062,2007,304 517
8062,2008,306 444
8062,2009,314 221
8062,2010,322 951
8062,2011,331 079
8062,2012,346 837
8062,2013,360 363
8062,2014,369 686
8062,2015,381 480
8062,2016,397 441
8062,2017,407 752
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,298 710
8063,2009,313 528
8063,2010,327 460
8063,2011,343 427
8063,2012,377 212
8063,2013,379 970
8063,2014,391 709
8063,2015,405 492
8063,2016,419 279
8063,2017,444 316
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,98 313
8064,2015,285 345
8064,2016,353 794
8064,2017,368 147
8065,2000,0
8065,2001,0
8065,2002,232 960
8065,2003,59 892
8065,2004,199 820
8065,2005,0
8065,2006,91 704
8065,2007,93 144
8065,2008,180 512
8065,2009,125 501
8065,2010,145 987
8065,2011,161 634
8065,2012,0
8065,2013,216 568
8065,2014,0
8065,2015,278 288
8065,2016,198 976
8065,2017,269 699
8066,2000,161 683
8066,2001,171 141
8066,2002,174 842
8066,2003,185 096
8066,2004,186 913
8066,2005,192 594
8066,2006,198 917
8066,2007,199 788
8066,2008,209 202
8066,2009,191 387
8066,2010,200 799
8066,2011,187 905
8066,2012,192 867
8066,2013,191 453
8066,2014,199 180
8066,2015,214 774
8066,2016,220 362
8066,2017,218 373
8067,2000,236 535
8067,2001,254 776
8067,2002,257 740
8067,2003,264 541
8067,2004,269 529
8067,2005,282 626
8067,2006,290 950
8067,2007,290 853
8067,2008,314 686
8067,2009,323 428
8067,2010,325 737
8067,2011,328 208
8067,2012,341 228
8067,2013,342 663
8067,2014,344 554
8067,2015,358 375
8067,2016,373 210
8067,2017,380 524
8068,2000,221 618
8068,2001,239 477
8068,2002,244 076
8068,2003,248 322
8068,2004,253 524
8068,2005,263 367
8068,2006,272 737
8068,2007,285 857
8068,2008,296 251
8068,2009,299 941
8068,2010,298 780
8068,2011,307 220
8068,2012,326 805
8068,2013,319 744
8068,2014,329 649
8068,2015,327 256
8068,2016,344 287
8068,2017,365 065
8069,2000,237 825
8069,2001,242 186
8069,2002,263 648
8069,2003,261 763
8069,2004,260 897
8069,2005,284 852
8069,2006,301 701
8069,2007,304 747
8069,2008,318 525
8069,2009,320 096
8069,2010,322 362
8069,2011,331 159
8069,2012,336 176
8069,2013,338 293
8069,2014,347 527
8069,2015,368 052
8069,2016,367 633
8069,2017,371 085
8071,2000,232 743
8071,2001,234 370
8071,2002,244 332
8071,2003,251 936
8071,2004,252 338
8071,2005,258 948
8071,2006,276 998
8071,2007,284 310
8071,2008,290 489
8071,2009,311 526
8071,2010,312 199
8071,2011,307 933
8071,2012,321 114
8071,2013,326 240
8071,2014,328 891
8071,2015,335 385
8071,2016,355 738
8071,2017,363 121
8072,2000,223 342
8072,2001,218 727
8072,2002,225 793
8072,2003,237 112
8072,2004,252 499
8072,2005,253 542
8072,2006,265 566
8072,2007,282 810
8072,2008,283 483
8072,2009,288 625
8072,2010,289 482
8072,2011,292 706
8072,2012,296 195
8072,2013,314 956
8072,2014,325 931
8072,2015,322 353
8072,2016,353 608
8072,2017,345 457
8073,2000,163 284
