geo,time,boende_efter_bostadstyp_smahus
8022,2005,0
8022,2006,0
8022,2007,0
8022,2008,0
8022,2009,0
8022,2010,0
8022,2011,4
8022,2012,5
8022,2013,5
8022,2014,3
8022,2015,3
8022,2016,3
8022,2017,4
8023,2000,18
8023,2001,18
8023,2002,26
8023,2003,26
8023,2004,38
8023,2005,38
8023,2006,75
8023,2007,94
8023,2008,102
8023,2009,102
8023,2010,106
8023,2011,99
8023,2012,96
8023,2013,120
8023,2014,143
8023,2015,168
8023,2016,185
8023,2017,189
8024,2000,0
8024,2001,0
8024,2002,0
8024,2003,0
8024,2004,0
8024,2005,0
8024,2006,0
8024,2007,0
8024,2008,0
8024,2009,0
8024,2010,0
8024,2011,0
8024,2012,0
8024,2013,0
8024,2014,0
8024,2015,0
8024,2016,0
8024,2017,0
8025,2000,581
8025,2001,581
8025,2002,598
8025,2003,598
8025,2004,615
8025,2005,615
8025,2006,588
8025,2007,592
8025,2008,596
8025,2009,589
8025,2010,582
8025,2011,594
8025,2012,608
8025,2013,604
8025,2014,622
8025,2015,628
8025,2016,642
8025,2017,643
8026,2000,693
8026,2001,693
8026,2002,686
8026,2003,686
8026,2004,688
8026,2005,688
8026,2006,694
8026,2007,688
8026,2008,673
8026,2009,683
8026,2010,664
8026,2011,676
8026,2012,674
8026,2013,691
8026,2014,660
8026,2015,673
8026,2016,671
8026,2017,685
8037,2000,225
8037,2001,225
8037,2002,235
8037,2003,235
8037,2004,242
8037,2005,242
8037,2006,245
8037,2007,245
8037,2008,249
8037,2009,242
8037,2010,266
8037,2011,323
8037,2012,337
8037,2013,348
8037,2014,344
8037,2015,354
8037,2016,355
8037,2017,363
8038,2000,311
8038,2001,311
8038,2002,335
8038,2003,335
8038,2004,344
8038,2005,344
8038,2006,357
8038,2007,359
8038,2008,354
8038,2009,342
8038,2010,350
8038,2011,347
8038,2012,341
8038,2013,340
8038,2014,345
8038,2015,341
8038,2016,349
8038,2017,358
8039,2000,480
8039,2001,480
8039,2002,503
8039,2003,503
8039,2004,542
8039,2005,542
8039,2006,553
8039,2007,617
8039,2008,667
8039,2009,677
8039,2010,692
8039,2011,702
8039,2012,690
